timestamp,gpu,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
1784978705.0232885,0,96,23750,32607,50,176.48
1784978706.0855837,0,95,21391,32607,50,169.75
1784978707.1593854,0,96,21731,32607,50,172.18
1784978708.2675087,0,95,23152,32607,50,171.13
1784978709.3781922,0,96,22774,32607,51,173.59
1784978710.4800503,0,95,21635,32607,51,171.00
1784978711.5639102,0,95,21729,32607,51,170.79
1784978712.6264334,0,97,22964,32607,51,172.74
1784978713.677731,0,96,23060,32607,51,173.75
1784978714.7611158,0,93,23062,32607,51,172.71
1784978715.8178074,0,95,21091,32607,51,170.00
1784978716.873483,0,96,21935,32607,51,172.12
1784978717.9676912,0,96,23988,32607,51,174.67
1784978719.0256348,0,97,23050,32607,51,175.88
1784978720.1141388,0,94,20365,32607,51,170.98
1784978721.2187262,0,90,19015,32607,51,163.63
1784978722.328075,0,93,20067,32607,51,165.05
1784978723.389458,0,95,23404,32607,52,175.61
1784978724.4850194,0,94,24778,32607,52,184.18
1784978725.5886385,0,96,22995,32607,52,182.67
1784978726.6874902,0,95,21767,32607,52,177.10
1784978727.7831442,0,91,23653,32607,52,178.18
1784978728.8791041,0,91,21279,32607,52,175.48
1784978729.9503226,0,93,21377,32607,52,179.89
1784978731.0513952,0,95,23265,32607,53,185.53
1784978732.1465867,0,93,21498,32607,53,185.35
1784978733.2261736,0,88,17721,32607,52,174.30
1784978734.3258789,0,85,15334,32607,52,166.33
1784978735.3836038,0,85,15334,32607,52,163.15
1784978736.442963,0,85,15334,32607,52,163.14
1784978737.5217905,0,80,13764,32607,52,161.12
1784978738.57608,0,70,12529,32607,52,156.53
1784978739.6767848,0,69,10143,32607,51,145.27
1784978740.7556436,0,70,10143,32607,51,145.12
1784978741.8528147,0,70,10143,32607,51,144.83
1784978742.9289227,0,70,10143,32607,51,145.23
1784978744.0094037,0,70,10143,32607,51,144.94
1784978745.113469,0,70,10143,32607,51,144.83
1784978746.2177305,0,62,10143,32607,51,141.77
1784978747.2748594,0,64,8360,32607,51,137.62
1784978748.3698568,0,63,8360,32607,51,137.15
1784978749.426736,0,63,8360,32607,51,136.89
1784978750.505866,0,54,8360,32607,51,136.05
1784978751.6059225,0,54,7017,32607,51,133.45
1784978752.699417,0,55,7017,32607,51,133.14
1784978753.758845,0,55,7017,32607,51,132.67
1784978754.8651493,0,54,7017,32607,51,132.53
1784978755.9225936,0,54,7017,32607,51,132.67
1784978757.020541,0,54,7017,32607,51,132.85
1784978758.0998182,0,54,7017,32607,51,132.65
1784978759.2046115,0,54,7017,32607,51,132.21
1784978760.2601757,0,54,7017,32607,51,132.63
1784978761.334956,0,54,7017,32607,51,132.98
1784978762.3893611,0,54,7017,32607,51,132.67
1784978763.466547,0,54,7017,32607,51,132.79
1784978764.5622342,0,54,7017,32607,51,132.61
1784978765.6183538,0,44,7017,32607,51,129.42
1784978766.6951823,0,44,5251,32607,51,127.24
1784978767.7523723,0,44,5251,32607,51,126.84
1784978768.8080976,0,44,5251,32607,51,126.68
1784978769.8864148,0,44,5251,32607,51,126.57
1784978770.9456718,0,44,5251,32607,51,126.75
1784978772.0009718,0,45,5251,32607,51,126.81
1784978773.0785213,0,44,5251,32607,51,127.00
1784978774.1324146,0,44,5251,32607,51,126.65
1784978775.2175446,0,44,5251,32607,51,126.56
1784978776.316128,0,45,5251,32607,51,126.63
1784978777.3922508,0,44,5251,32607,51,126.42
1784978778.4481668,0,44,5251,32607,51,126.11
1784978779.5046628,0,44,5251,32607,51,126.28
1784978780.5592017,0,45,5251,32607,51,126.95
1784978781.617889,0,32,3484,32607,50,119.94
1784978782.693122,0,33,3484,32607,50,119.64
1784978783.7466598,0,32,3484,32607,50,119.69
1784978784.8223855,0,32,3484,32607,50,119.73
1784978785.8949573,0,32,3484,32607,50,119.77
1784978786.9472728,0,32,3484,32607,50,120.25
1784978788.0036952,0,32,3484,32607,50,119.71
1784978789.0587513,0,32,3484,32607,50,119.61
1784978790.1968417,0,32,3484,32607,50,119.96
1784978791.272882,0,32,3484,32607,50,119.77
1784978792.3499453,0,32,3484,32607,50,119.61
1784978793.4458683,0,32,3484,32607,50,119.33
1784978794.5007017,0,32,3484,32607,50,119.44
1784978795.555288,0,32,3484,32607,50,119.30
1784978796.6129065,0,32,3484,32607,50,119.35
1784978797.6639168,0,17,2142,32607,50,112.61
1784978798.7605538,0,17,2142,32607,50,111.10
1784978799.8381655,0,17,2142,32607,50,110.96
1784978800.8910851,0,17,2142,32607,49,111.05
1784978801.9688258,0,17,2142,32607,50,110.94
1784978803.020176,0,17,2142,32607,49,111.32
1784978804.075583,0,0,2142,32607,48,100.13
