scenario,seed,variable,domain,sigma1_truth,sigma2_truth,sigma3_truth,truth_tail_energy,truth_sigma2_sigma1,truth_spectral_gap,truth_rank_class
AR-S3,1,0,core,0.02550026382077826,0.0008870389911160411,2.637271272708451e-18,0.03476445624570764,0.034785482901289015,0.0008870389911160385,weak_rank2
AR-S3,1,0,fit,0.027586431951773925,0.006323417902812095,4.477135042470703e-18,0.2234274261796815,0.22922202892590726,0.00632341790281209,strong_rank2
AR-S3,1,1,core,0.024798838539230195,0.015631947266580064,8.685377627248383e-18,0.5332495836558291,0.6303499755382217,0.009166891272650132,strong_rank2
AR-S3,1,1,fit,0.12456957352708761,0.01720615260470211,1.3746040822271387e-17,0.13682579469169603,0.13812484154455773,0.017206152604702096,weak_rank2
AR-S3,1,2,core,0.0238423203550255,0.017501966500296173,7.059646881967943e-18,0.5917505211461024,0.7340714426986171,0.0063403538547293255,strong_rank2
AR-S3,1,2,fit,0.11811752316242509,0.016799197452146697,3.327510861415298e-17,0.14080744847871854,0.14222443040094807,0.016799197452146662,weak_rank2
AR-S3,2,0,core,0.025751494372927522,0.0008801907478476186,5.769838856875221e-18,0.03416023274014641,0.03418018135572593,0.0008801907478476128,weak_rank2
AR-S3,2,0,fit,0.027662690981944463,0.005575148009249288,3.596907520529208e-18,0.19756781810442722,0.20154033506314362,0.005575148009249285,strong_rank2
AR-S3,2,1,core,0.027005919086656005,0.01592646624692209,8.030519463402571e-18,0.5079826198578092,0.5897398342866093,0.011079452839733914,strong_rank2
AR-S3,2,1,fit,0.10435405003155902,0.017199856529457377,2.154284755313284e-17,0.16262792736944104,0.16482212740431015,0.017199856529457356,strong_rank2
AR-S3,2,2,core,0.023898501176014227,0.017481130375395712,6.523136725621179e-18,0.5903872972374354,0.7314739215922327,0.0064173708006185146,strong_rank2
AR-S3,2,2,fit,0.2169401593715296,0.019429141499458107,6.881613161646585e-17,0.08920287897010581,0.08955991161684337,0.019429141499458038,weak_rank2
AR-S3,3,0,core,0.02580338447128807,0.0008770216389400659,7.913663264453865e-18,0.03396901282213962,0.0339886281164374,0.0008770216389400579,weak_rank2
AR-S3,3,0,fit,0.027897663224924353,0.003994536433363695,2.8694602397263364e-18,0.14173973626744735,0.1431853414086271,0.003994536433363692,weak_rank2
AR-S3,3,1,core,0.02487955744019356,0.015807112216471225,5.46743760962166e-18,0.5362636261030505,0.6353453936819001,0.009072445223722334,strong_rank2
AR-S3,3,1,fit,0.10007764301076007,0.017161281529866027,2.214216008147041e-17,0.16901274372466332,0.17147967331745506,0.017161281529866006,strong_rank2
AR-S3,3,2,core,0.023752291591835017,0.017711477006492626,7.40563952288573e-18,0.597778411226787,0.745674451579276,0.006040814585342391,strong_rank2
AR-S3,3,2,fit,0.12416045140071218,0.017142649644235633,3.6420498860928836e-17,0.13677104574871568,0.13806851900779496,0.0171426496442356,weak_rank2
AR-S3,4,0,core,0.025525452148138325,0.0008853626224837947,3.4203338935365076e-18,0.03466463650472283,0.03468548244887281,0.0008853626224837912,weak_rank2
AR-S3,4,0,fit,0.027825213555554403,0.0044990098459556736,2.961307119799932e-18,0.1596152841873534,0.16168824138485693,0.004499009845955671,strong_rank2
AR-S3,4,1,core,0.024356594475264354,0.015810306411339053,4.952546509912395e-18,0.5444682327636091,0.6491181034111895,0.008546288063925302,strong_rank2
AR-S3,4,1,fit,0.11756591651017649,0.01705574000605897,2.667834660547571e-17,0.1435708889610751,0.1450738488869997,0.01705574000605894,weak_rank2
AR-S3,4,2,core,0.023778433087418813,0.01745615543683438,7.532354452440406e-18,0.5917744617591608,0.7341171460986823,0.006322277650584435,strong_rank2
AR-S3,4,2,fit,0.1505743609667892,0.018262914134409804,5.24909902503457e-17,0.12040593486549052,0.12128833897849241,0.018262914134409752,weak_rank2
AR-S4U,0,0,core,0.024263921128842566,0.01317636437299274,0.0068025851723364575,0.541967111977477,0.543043488438065,0.006373779200656283,strong_rank2
AR-S4U,0,0,fit,0.028648610053782306,0.016658964608694392,0.00585507103479688,0.5360243227835141,0.5814929442447769,0.010803893573897511,strong_rank2
AR-S4U,0,1,core,0.03161412257477008,0.026231554841090073,0.006645653176610825,0.6567674257111026,0.8297416693773557,0.005382567733680007,strong_rank2
AR-S4U,0,1,fit,0.1944031135693983,0.13317741746462206,0.006547626490054858,0.5658119446974827,0.6850580477821421,0.06122569610477624,strong_rank2
AR-S4U,0,2,core,0.021565596663297857,0.012585893326381445,0.00751968216142427,0.5994230877084884,0.5836097893735153,0.005066211164957175,strong_rank2
AR-S4U,0,2,fit,0.027411851822286264,0.02169040085788071,0.007326512169483989,0.6534643621202076,0.7912782032568144,0.005721450964405555,strong_rank2
