scenario,seed,variable,domain,lag_basis_type,lag_basis_count,amplitude_basis_count,epsilon_lag,epsilon_amplitude,epsilon_amplitude_given_lag,epsilon_lag_given_amplitude,epsilon_joint,operator_error,sigma1_truth,sigma2_truth,sigma3_truth,truth_tail_energy,truth_sigma2_sigma1,operator_error_over_sigma2,operator_error_over_gap,truth_rank_class
AR-S1,0,2,core,cubic_bspline,32,28,0.00030302151217621816,8.636764816561711e-05,8.636764420039676e-05,0.0003030215110460435,0.00031508952189225164,5.694694107967761e-06,0.018793035732651585,5.661151423526225e-18,8.267190581961922e-19,3.116704999276585e-16,3.0123666575540906e-16,25646622262.63257,25646622262.63257,rank1
AR-S1,0,2,core,cubic_bspline,40,28,4.920953897642639e-05,8.636764816561711e-05,8.636764806104434e-05,4.920953879289034e-05,9.940296453259328e-05,1.6231102990660848e-06,0.018793035732651585,5.661151423526225e-18,8.267190581961922e-19,3.116704999276585e-16,3.0123666575540906e-16,7309838938.055234,7309838938.055234,rank1
AR-S1,0,2,core,cubic_bspline,48,28,1.779361480480233e-05,8.636764816561711e-05,8.636764815194484e-05,1.7793614738437767e-05,8.818153647516407e-05,1.623110298133015e-06,0.018793035732651585,5.661151423526225e-18,8.267190581961922e-19,3.116704999276585e-16,3.0123666575540906e-16,7309838933.853061,7309838933.853061,rank1
AR-S1,0,2,core,discrete_identity,64,28,0.0,8.636764816561711e-05,8.636764816561711e-05,0.0,8.636764816562754e-05,1.6231102981217183e-06,0.018793035732651585,5.661151423526225e-18,8.267190581961922e-19,3.116704999276585e-16,3.0123666575540906e-16,7309838933.802185,7309838933.802185,rank1
AR-S1,0,2,core,cubic_bspline,32,32,0.00030302151217621816,4.637295085992717e-05,4.637294873089984e-05,0.0003030215118504013,0.0003065493226473673,5.69469410623661e-06,0.018793035732651585,5.661151423526225e-18,8.267190581961922e-19,3.116704999276585e-16,3.0123666575540906e-16,25646622254.836155,25646622254.836155,rank1
AR-S1,0,2,core,cubic_bspline,40,32,4.920953897642639e-05,4.637295085992717e-05,4.637295080378458e-05,4.920953892351498e-05,6.761678262474955e-05,9.247966322581049e-07,0.018793035732651585,5.661151423526225e-18,8.267190581961922e-19,3.116704999276585e-16,3.0123666575540906e-16,4164913768.431091,4164913768.431091,rank1
AR-S1,0,2,core,cubic_bspline,48,32,1.779361480480233e-05,4.637295085992717e-05,4.63729508525906e-05,1.7793614785670164e-05,4.966954095417565e-05,8.714885225629968e-07,0.018793035732651585,5.661151423526225e-18,8.267190581961922e-19,3.116704999276585e-16,3.0123666575540906e-16,3924835385.4723763,3924835385.4723763,rank1
AR-S1,0,2,core,discrete_identity,64,32,0.0,4.637295085992717e-05,4.637295085992717e-05,0.0,4.637295085993667e-05,8.714885225392858e-07,0.018793035732651585,5.661151423526225e-18,8.267190581961922e-19,3.116704999276585e-16,3.0123666575540906e-16,3924835385.3655915,3924835385.3655915,rank1
AR-S1,0,2,fit,cubic_bspline,32,24,0.0003030215121762175,0.00018195423648362949,0.00018195422812992192,0.0003030215071600989,0.00035345350185832843,5.770953616819265e-06,0.019044699241011563,4.829169172223866e-18,8.021226312399006e-19,2.654090491352771e-16,2.535702512867493e-16,25990064558.27966,25990064558.27966,rank1
AR-S1,0,2,fit,cubic_bspline,40,24,4.920953897642658e-05,0.00018195423648362949,0.00018195423626331933,4.9209538161828024e-05,0.0001884911743834196,3.4652637097896804e-06,0.019044699241011563,4.829169172223866e-18,8.021226312399006e-19,2.654090491352771e-16,2.535702512867493e-16,15606160352.149307,15606160352.149307,rank1
AR-S1,0,2,fit,cubic_bspline,48,24,1.7793614804802216e-05,0.00018195423648362949,0.0001819542364548259,1.7793614510252553e-05,0.0001828222002156082,3.465263709463695e-06,0.019044699241011563,4.829169172223866e-18,8.021226312399006e-19,2.654090491352771e-16,2.535702512867493e-16,15606160350.6812,15606160350.6812,rank1
AR-S1,0,2,fit,discrete_identity,64,24,0.0,0.00018195423648362949,0.00018195423648362949,0.0,0.00018195423648360468,3.4652637094581458e-06,0.019044699241011563,4.829169172223866e-18,8.021226312399006e-19,2.654090491352771e-16,2.535702512867493e-16,15606160350.656208,15606160350.656208,rank1
AR-S1,0,2,fit,cubic_bspline,32,28,0.0003030215121762175,8.643766027833949e-05,8.643765630990926e-05,0.0003030215110442096,0.00031510871976179,5.770953564862283e-06,0.019044699241011563,4.829169172223866e-18,8.021226312399006e-19,2.654090491352771e-16,2.535702512867493e-16,25990064324.286213,25990064324.286213,rank1
AR-S1,0,2,fit,cubic_bspline,40,28,4.920953897642658e-05,8.643766027833949e-05,8.643766017367716e-05,4.9209538792592806e-05,9.946380156908574e-05,1.6461792440536128e-06,0.019044699241011563,4.829169172223866e-18,8.021226312399006e-19,2.654090491352771e-16,2.535702512867493e-16,7413732230.104896,7413732230.104896,rank1
AR-S1,0,2,fit,cubic_bspline,48,28,1.7793614804802216e-05,8.643766027833949e-05,8.643766026465714e-05,1.7793614738329994e-05,8.82501095741528e-05,1.6461792431092533e-06,0.019044699241011563,4.829169172223866e-18,8.021226312399006e-19,2.654090491352771e-16,2.535702512867493e-16,7413732225.851878,7413732225.851878,rank1
AR-S1,0,2,fit,discrete_identity,64,28,0.0,8.643766027833949e-05,8.643766027833949e-05,0.0,8.643766027834696e-05,1.6461792430978497e-06,0.019044699241011563,4.829169172223866e-18,8.021226312399006e-19,2.654090491352771e-16,2.535702512867493e-16,7413732225.800521,7413732225.800521,rank1
AR-S1,0,2,fit,cubic_bspline,32,32,0.0003030215121762175,4.632811257592857e-05,4.632811044894428e-05,0.00030302151185103085,0.0003065425429843861,5.770953563100884e-06,0.019044699241011563,4.829169172223866e-18,8.021226312399006e-19,2.654090491352771e-16,2.535702512867493e-16,25990064316.353577,25990064316.353577,rank1
AR-S1,0,2,fit,cubic_bspline,40,32,4.920953897642658e-05,4.632811257592857e-05,4.632811251983667e-05,4.92095389236175e-05,6.758603950464539e-05,9.371808774363875e-07,0.019044699241011563,4.829169172223866e-18,8.021226312399006e-19,2.654090491352771e-16,2.535702512867493e-16,4220687450.4012694,4220687450.4012694,rank1
AR-S1,0,2,fit,cubic_bspline,48,32,1.7793614804802216e-05,4.632811257592857e-05,4.6328112568589284e-05,1.779361478570704e-05,4.962768120707234e-05,8.8230497043662e-07,0.019044699241011563,4.829169172223866e-18,8.021226312399006e-19,2.654090491352771e-16,2.535702512867493e-16,3973548336.0854983,3973548336.0854983,rank1
