direction,information_set,alpha,seed,mode,active_signature,rmse_delta,mae_delta,r2_delta,r2_level_reconstructed,persistence_skill
Rod_1_to_Rod_2,input_only,1.0,1,N2_REIDENTIFICATION,W,0.9010659226022325,0.7862373749521194,0.013729218497333662,-1.8004281788258254,0.007723137783204326
Rod_1_to_Rod_2,input_only,1.0,2,N2_REIDENTIFICATION,K+W,0.8331705070225153,0.7190786882521929,0.15676075108908638,-1.3943028612732684,0.0824913076145336
Rod_1_to_Rod_2,input_only,1.0,3,N2_REIDENTIFICATION,W,0.8839092172912953,0.759200503625367,0.05092974615561885,-1.6948005886393571,0.026616540901535424
Rod_1_to_Rod_2,input_only,1.0,4,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,1.0,5,N2_REIDENTIFICATION,K+W,0.8513874230403656,0.738454911767345,0.11948350308402733,-1.50014829206195,0.06243037332322643
Rod_1_to_Rod_2,input_only,1.0,6,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,1.0,7,N2_REIDENTIFICATION,K+W,0.8401846853066226,0.724978553892061,0.14250310032989355,-1.434786192726182,0.07476711491764076
Rod_1_to_Rod_2,input_only,1.0,8,N2_REIDENTIFICATION,K+W,0.8487695396727696,0.7364066715613892,0.12489007953742604,-1.484796799008489,0.06531325350822537
Rod_1_to_Rod_2,input_only,1.0,9,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,dynamic,0.0,0,N2_REIDENTIFICATION,A,0.5409521749452114,0.42012632492428603,0.6445317804785071,-0.009320398915562356,0.4042896159985625
Rod_1_to_Rod_2,dynamic,0.0,1,N2_REIDENTIFICATION,A,0.5409521749452114,0.42012632492428603,0.6445317804785071,-0.009320398915562356,0.4042896159985625
Rod_1_to_Rod_2,dynamic,0.0,2,N2_REIDENTIFICATION,A,0.5409521749452114,0.42012632492428603,0.6445317804785071,-0.009320398915562356,0.4042896159985625
