baseline,candidate,direction,block_min,observed_relative_improvement,median_relative_improvement,lower_95,upper_95,positive_probability
LIN-UOI,FULL-UOI,sheet2_to_sheet1,10,-272.7013501801599,-263.02491575935494,-436.3006869088909,-104.13362100622133,0.0
LIN-UOI,FULL-UOI,sheet2_to_sheet1,22,-272.7013501801599,-257.2450088840053,-486.89161137566526,-53.63003337757382,0.0
LIN-UOI,FULL-UOI,sheet2_to_sheet1,40,-272.7013501801599,-266.1985178290454,-469.15324159929713,-50.226915314926515,0.0
LIN-UOI,FULL-UOI,sheet2_to_sheet1,60,-272.7013501801599,-261.86444580771195,-438.9247707630487,-51.70167827568246,0.0
LIN-UOI,FULL-UOI,pooled,10,-135.7824126378036,-131.5275978492934,-241.59407234187697,-39.42471870075022,0.0
LIN-UOI,FULL-UOI,pooled,22,-135.7824126378036,-127.59196901194122,-286.6850725373663,-23.509159345790835,0.0
LIN-UOI,FULL-UOI,pooled,40,-135.7824126378036,-134.27224687417936,-286.4132123049915,-19.402538326218675,0.0
LIN-UOI,FULL-UOI,pooled,60,-135.7824126378036,-131.574636246108,-276.05104766252276,-19.292960731695715,0.0
R1-LIN-DERIVED,LIN-UOI,sheet1_to_sheet2,10,-0.5547707544458712,-0.5238949319889067,-2.0207297491603913,0.09148647095828108,0.061
R1-LIN-DERIVED,LIN-UOI,sheet1_to_sheet2,22,-0.5547707544458712,-0.5409946391196577,-2.810358529259421,0.31443166347914664,0.153
R1-LIN-DERIVED,LIN-UOI,sheet1_to_sheet2,40,-0.5547707544458712,-0.5372687970718327,-4.079083832254784,0.381709272727656,0.187
R1-LIN-DERIVED,LIN-UOI,sheet1_to_sheet2,60,-0.5547707544458712,-0.5046547751471371,-4.968942360573636,0.39799935281109106,0.221
R1-LIN-DERIVED,LIN-UOI,sheet2_to_sheet1,10,-14.828169753508488,-15.984336614039961,-37.77269962440129,-6.92251391417502,0.0
R1-LIN-DERIVED,LIN-UOI,sheet2_to_sheet1,22,-14.828169753508488,-15.576867246533423,-56.063269269545685,-5.586003875411138,0.0
R1-LIN-DERIVED,LIN-UOI,sheet2_to_sheet1,40,-14.828169753508488,-15.207387008915546,-92.6243317146387,-4.757348056618913,0.0
R1-LIN-DERIVED,LIN-UOI,sheet2_to_sheet1,60,-14.828169753508488,-16.2778779271376,-142.68876026973317,-3.755531946599104,0.0
R1-LIN-DERIVED,LIN-UOI,pooled,10,-1.797232324336757,-1.7962711884419367,-3.7959798908918634,-0.7116646185996268,0.0
R1-LIN-DERIVED,LIN-UOI,pooled,22,-1.797232324336757,-1.8577116451048723,-5.165713593076406,-0.4927468574713804,0.0
