scenario,seed,variable,resolution_role,truth_replay_max_abs_error,matrix_direct_max_abs_error
AR-S3,1,2,MOTHER,4.440892098500626e-16,1.7763568394002505e-15
AR-S3,2,0,PREDICTIVE,2.220446049250313e-16,7.771561172376096e-16
AR-S3,2,0,STRUCTURAL,2.220446049250313e-16,9.992007221626409e-16
AR-S3,2,0,MOTHER,2.220446049250313e-16,7.771561172376096e-16
AR-S3,2,1,PREDICTIVE,4.440892098500626e-16,1.9984014443252818e-15
AR-S3,2,1,STRUCTURAL,4.440892098500626e-16,1.9984014443252818e-15
AR-S3,2,1,MOTHER,4.440892098500626e-16,2.4424906541753444e-15
AR-S3,2,2,PREDICTIVE,8.881784197001252e-16,1.7763568394002505e-15
AR-S3,2,2,STRUCTURAL,8.881784197001252e-16,2.220446049250313e-15
AR-S3,2,2,MOTHER,8.881784197001252e-16,1.7763568394002505e-15
AR-S3,3,0,PREDICTIVE,2.220446049250313e-16,6.661338147750939e-16
AR-S3,3,0,STRUCTURAL,2.220446049250313e-16,1.1102230246251565e-15
AR-S3,3,0,MOTHER,2.220446049250313e-16,7.771561172376096e-16
AR-S3,3,1,PREDICTIVE,4.440892098500626e-16,1.762479051592436e-15
AR-S3,3,1,STRUCTURAL,4.440892098500626e-16,1.609823385706477e-15
AR-S3,3,1,MOTHER,4.440892098500626e-16,1.609823385706477e-15
AR-S3,3,2,PREDICTIVE,6.661338147750939e-16,1.3322676295501878e-15
AR-S3,3,2,STRUCTURAL,6.661338147750939e-16,8.881784197001252e-16
AR-S3,3,2,MOTHER,6.661338147750939e-16,1.1102230246251565e-15
AR-S3,4,0,PREDICTIVE,2.220446049250313e-16,9.992007221626409e-16
AR-S3,4,0,STRUCTURAL,2.220446049250313e-16,1.1102230246251565e-15
AR-S3,4,0,MOTHER,2.220446049250313e-16,7.771561172376096e-16
AR-S3,4,1,PREDICTIVE,4.440892098500626e-16,1.5543122344752192e-15
AR-S3,4,1,STRUCTURAL,4.440892098500626e-16,1.7763568394002505e-15
AR-S3,4,1,MOTHER,4.440892098500626e-16,1.6653345369377348e-15
AR-S3,4,2,PREDICTIVE,3.3306690738754696e-16,1.1102230246251565e-15
AR-S3,4,2,STRUCTURAL,3.3306690738754696e-16,1.5543122344752192e-15
AR-S3,4,2,MOTHER,3.3306690738754696e-16,1.5543122344752192e-15
AR-S4U,0,0,PREDICTIVE,0.0,7.771561172376096e-16
AR-S4U,0,0,STRUCTURAL,0.0,9.992007221626409e-16
AR-S4U,0,0,MOTHER,0.0,8.881784197001252e-16
AR-S4U,0,1,PREDICTIVE,0.0,2.220446049250313e-15
AR-S4U,0,1,STRUCTURAL,0.0,2.6645352591003757e-15
AR-S4U,0,1,MOTHER,0.0,2.0539125955565396e-15
AR-S4U,0,2,PREDICTIVE,0.0,7.771561172376096e-16
AR-S4U,0,2,STRUCTURAL,0.0,1.2212453270876722e-15
AR-S4U,0,2,MOTHER,0.0,7.771561172376096e-16
AR-S4U,1,0,PREDICTIVE,0.0,8.881784197001252e-16
AR-S4U,1,0,STRUCTURAL,0.0,1.3322676295501878e-15
AR-S4U,1,0,MOTHER,0.0,7.771561172376096e-16
AR-S4U,1,1,PREDICTIVE,0.0,1.8041124150158794e-15
AR-S4U,1,1,STRUCTURAL,0.0,2.220446049250313e-15
AR-S4U,1,1,MOTHER,0.0,2.6645352591003757e-15
AR-S4U,1,2,PREDICTIVE,0.0,7.771561172376096e-16
AR-S4U,1,2,STRUCTURAL,0.0,1.4432899320127035e-15
AR-S4U,1,2,MOTHER,0.0,7.771561172376096e-16
AR-S4U,2,0,PREDICTIVE,0.0,7.771561172376096e-16
AR-S4U,2,0,STRUCTURAL,0.0,9.992007221626409e-16
AR-S4U,2,0,MOTHER,0.0,8.881784197001252e-16
AR-S4U,2,1,PREDICTIVE,0.0,1.7763568394002505e-15
AR-S4U,2,1,STRUCTURAL,0.0,3.1086244689504383e-15
AR-S4U,2,1,MOTHER,0.0,1.7763568394002505e-15
AR-S4U,2,2,PREDICTIVE,0.0,9.992007221626409e-16
AR-S4U,2,2,STRUCTURAL,0.0,1.3322676295501878e-15
AR-S4U,2,2,MOTHER,0.0,7.771561172376096e-16
AR-S4U,3,0,PREDICTIVE,0.0,9.992007221626409e-16
AR-S4U,3,0,STRUCTURAL,0.0,1.3322676295501878e-15
AR-S4U,3,0,MOTHER,0.0,6.661338147750939e-16
AR-S4U,3,1,PREDICTIVE,0.0,1.7763568394002505e-15
AR-S4U,3,1,STRUCTURAL,0.0,3.1086244689504383e-15
AR-S4U,3,1,MOTHER,0.0,1.3322676295501878e-15
AR-S4U,3,2,PREDICTIVE,0.0,8.881784197001252e-16
AR-S4U,3,2,STRUCTURAL,0.0,1.1102230246251565e-15
AR-S4U,3,2,MOTHER,0.0,7.771561172376096e-16
AR-S4U,4,0,PREDICTIVE,0.0,8.881784197001252e-16
AR-S4U,4,0,STRUCTURAL,0.0,1.1102230246251565e-15
AR-S4U,4,0,MOTHER,0.0,7.771561172376096e-16
AR-S4U,4,1,PREDICTIVE,0.0,2.6645352591003757e-15
AR-S4U,4,1,STRUCTURAL,0.0,2.6645352591003757e-15
AR-S4U,4,1,MOTHER,0.0,1.3877787807814457e-15
AR-S4U,4,2,PREDICTIVE,0.0,8.881784197001252e-16
AR-S4U,4,2,STRUCTURAL,0.0,1.1102230246251565e-15
AR-S4U,4,2,MOTHER,0.0,7.771561172376096e-16
