scenario,seed,variable,lag_basis,amplitude_basis,is_fallback,projection_surface_nrmse
AR-S1,4,2,5,8,False,0.25970145721433413
AR-S1,4,2,5,12,False,0.2596263688027721
AR-S1,4,2,8,8,False,0.11010797654510154
AR-S1,4,2,8,12,False,0.10992023337109655
AR-S2,0,0,5,8,False,0.6771279892645126
AR-S2,0,0,5,12,False,0.6771264121089329
AR-S2,0,0,8,8,False,0.6720855286301524
AR-S2,0,0,8,12,False,0.6720839196775944
AR-S2,0,1,5,8,False,0.7922686838387145
AR-S2,0,1,5,12,False,0.7922682251949807
AR-S2,0,1,8,8,False,0.6096987301876498
AR-S2,0,1,8,12,False,0.6096977244785663
AR-S2,0,2,5,8,False,0.782359449698443
AR-S2,0,2,5,12,False,0.7823504440971459
AR-S2,0,2,8,8,False,0.6250980839475452
AR-S2,0,2,8,12,False,0.6250803813636834
AR-S2,1,0,5,8,False,0.6771277139306443
AR-S2,1,0,5,12,False,0.6771264085673376
AR-S2,1,0,8,8,False,0.6720852477452952
AR-S2,1,0,8,12,False,0.6720839160645973
AR-S2,1,1,5,8,False,0.792277722677721
AR-S2,1,1,5,12,False,0.7922773035040828
AR-S2,1,1,8,8,False,0.6097185502376296
AR-S2,1,1,8,12,False,0.6097176310975855
AR-S2,1,2,5,8,False,0.7823613467446616
AR-S2,1,2,5,12,False,0.7823504873660854
AR-S2,1,2,8,8,False,0.6251018129909449
AR-S2,1,2,8,12,False,0.6250804664194627
AR-S2,2,0,5,8,False,0.6771273077437858
AR-S2,2,0,5,12,False,0.6771264202192216
AR-S2,2,0,8,8,False,0.6720848333693231
AR-S2,2,0,8,12,False,0.6720839279513949
AR-S2,2,1,5,8,False,0.7922471938234238
AR-S2,2,1,5,12,False,0.7922468397669096
AR-S2,2,1,8,8,False,0.6096516059547149
AR-S2,2,1,8,12,False,0.6096508295445144
AR-S2,2,2,5,8,False,0.7823615265026316
AR-S2,2,2,5,12,False,0.7823504686544368
AR-S2,2,2,8,8,False,0.6251021663423634
AR-S2,2,2,8,12,False,0.6250804296371003
AR-S2,3,0,5,8,False,0.6771273286163857
AR-S2,3,0,5,12,False,0.6771264231817795
AR-S2,3,0,8,8,False,0.6720848546627346
AR-S2,3,0,8,12,False,0.6720839309736808
AR-S2,3,1,5,8,False,0.7922518304201802
AR-S2,3,1,5,12,False,0.7922515434300419
AR-S2,3,1,8,8,False,0.6096617734841956
AR-S2,3,1,8,12,False,0.60966114415065
AR-S2,3,2,5,8,False,0.782360852268378
AR-S2,3,2,5,12,False,0.78235092336762
AR-S2,3,2,8,8,False,0.6251008409950651
AR-S2,3,2,8,12,False,0.6250813234877006
AR-S2,4,0,5,8,False,0.6771273689555993
AR-S2,4,0,5,12,False,0.6771264090580429
AR-S2,4,0,8,8,False,0.6720848958152256
AR-S2,4,0,8,12,False,0.6720839165651954
AR-S2,4,1,5,8,False,0.7922414020814952
AR-S2,4,1,5,12,False,0.7922411232384515
AR-S2,4,1,8,8,False,0.6096389051686031
AR-S2,4,1,8,12,False,0.6096382936857366
AR-S2,4,2,5,8,False,0.7823614283237607
AR-S2,4,2,5,12,False,0.7823510617062022
AR-S2,4,2,8,8,False,0.6251019733515285
AR-S2,4,2,8,12,False,0.6250815954260585
AR-S3,0,0,5,8,False,0.6959302691498099
AR-S3,0,0,5,12,False,0.6959290106261763
AR-S3,0,0,8,8,False,0.47927199546446614
AR-S3,0,0,8,12,False,0.47926963152761015
AR-S3,0,1,5,8,False,0.7573629728828812
AR-S3,0,1,5,12,False,0.7573564988090422
AR-S3,0,1,8,8,False,0.5908099232694792
AR-S3,0,1,8,12,False,0.5907996995674416
AR-S3,0,2,5,8,False,0.7726728802726697
AR-S3,0,2,5,12,False,0.7726679619878651
AR-S3,0,2,8,8,False,0.6498012803484602
AR-S3,0,2,8,12,False,0.6497935579600203
AR-S3,1,0,5,8,False,0.6958770146065686
AR-S3,1,0,5,12,False,0.6958759729516959
AR-S3,1,0,8,8,False,0.47923180388495035
AR-S3,1,0,8,12,False,0.47922984531190477
AR-S3,1,1,5,8,False,0.7450612589324014
AR-S3,1,1,5,12,False,0.7450510146839207
AR-S3,1,1,8,8,False,0.594140354831458
AR-S3,1,1,8,12,False,0.5941256863490221
AR-S3,1,2,5,8,False,0.7739862607081952
AR-S3,1,2,5,12,False,0.7739807543450888
AR-S3,1,2,8,8,False,0.653663165089003
AR-S3,1,2,8,12,False,0.6536545588544828
AR-S3,2,0,5,8,False,0.6960410547159469
AR-S3,2,0,5,12,False,0.6960403475395507
AR-S3,2,0,8,8,False,0.4793550745983096
AR-S3,2,0,8,12,False,0.47935373840467693
AR-S3,2,1,5,8,False,0.7549753276556223
AR-S3,2,1,5,12,False,0.7549718206889513
AR-S3,2,1,8,8,False,0.5879930876158579
AR-S3,2,1,8,12,False,0.5879875051692862
AR-S3,2,2,5,8,False,0.7742038310771951
AR-S3,2,2,5,12,False,0.7741982457280603
AR-S3,2,2,8,8,False,0.6539312988763071
AR-S3,2,2,8,12,False,0.6539225875007306
AR-S3,3,0,5,8,False,0.6960800831064436
AR-S3,3,0,5,12,False,0.6960793616394133
AR-S3,3,0,8,8,False,0.47938422941767667
AR-S3,3,0,8,12,False,0.4793828666770173
AR-S3,3,1,5,8,False,0.7506232540257498
AR-S3,3,1,5,12,False,0.7506203655607865
AR-S3,3,1,8,8,False,0.5936672583176624
AR-S3,3,1,8,12,False,0.5936631239168999
AR-S3,3,2,5,8,False,0.7734545718266774
AR-S3,3,2,5,12,False,0.7734494848553807
AR-S3,3,2,8,8,False,0.6536418218164122
AR-S3,3,2,8,12,False,0.6536338586692686
AR-S3,4,0,5,8,False,0.6959196559917774
AR-S3,4,0,5,12,False,0.6959188906120902
AR-S3,4,0,8,8,False,0.47926395332216554
AR-S3,4,0,8,12,False,0.47926250981121815
AR-S3,4,1,5,8,False,0.751795188391418
AR-S3,4,1,5,12,False,0.7517934989015109
AR-S3,4,1,8,8,False,0.595403672606479
AR-S3,4,1,8,12,False,0.5954011666027802
AR-S3,4,2,5,8,False,0.7738800805015609
AR-S3,4,2,5,12,False,0.7738747944029292
AR-S3,4,2,8,8,False,0.6533836351753757
AR-S3,4,2,8,12,False,0.6533753678802366
AR-S4,0,0,5,8,False,0.6842716732820723
AR-S4,0,0,5,12,False,0.6841514261606716
AR-S4,0,0,8,8,False,0.6090842130956641
AR-S4,0,0,8,12,False,0.6084516937155705
AR-S4,0,1,5,8,False,0.7558213433120772
AR-S4,0,1,5,12,False,0.755791182636959
AR-S4,0,1,8,8,False,0.604025233835785
AR-S4,0,1,8,12,False,0.6034967948638235
AR-S4,0,2,5,8,False,0.6876381944969406
AR-S4,0,2,5,12,False,0.6872537242195638
AR-S4,0,2,8,8,False,0.5993111626637264
