scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,projection_surface_nrmse,identity_reference_nrmse,reference_ratio,prediction_grade_pass,structural_grade_pass
AR-S1,2,2,cubic_bspline,24,16,0.001585721349012954,0.00027247547072476504,5.819684776743572,True,False
AR-S1,2,2,cubic_bspline,28,16,0.0007461588185147495,0.00027247547072476504,2.7384440020601524,True,False
AR-S1,2,2,cubic_bspline,32,16,0.00040751062829221907,0.00027247547072476504,1.4955864731906703,True,True
AR-S1,2,2,cubic_bspline,40,16,0.00027688347854861264,0.00027247547072476504,1.0161776317410247,True,True
AR-S1,2,2,discrete_identity,64,16,0.00027247547072476504,0.00027247547072476504,1.0,True,True
AR-S1,3,0,cubic_bspline,24,16,0.008520003754090214,6.518177081854216e-05,130.71144964454604,True,False
AR-S1,3,0,cubic_bspline,28,16,0.00637477819347023,6.518177081854216e-05,97.80001545549919,True,False
AR-S1,3,0,cubic_bspline,32,16,0.0038742525642462143,6.518177081854216e-05,59.437669698045575,True,False
AR-S1,3,0,cubic_bspline,40,16,0.00031600824578220015,6.518177081854216e-05,4.848107711923435,True,False
AR-S1,3,0,discrete_identity,64,16,6.518177081854216e-05,6.518177081854216e-05,1.0,True,True
AR-S1,3,1,cubic_bspline,24,16,0.016780493251855082,0.016017196950977905,1.0476547989772065,True,True
AR-S1,3,1,cubic_bspline,28,16,0.016092293602105304,0.016017196950977905,1.0046885014498628,True,True
AR-S1,3,1,cubic_bspline,32,16,0.0160357909372121,0.016017196950977905,1.0011608764187083,True,True
AR-S1,3,1,cubic_bspline,40,16,0.01602447171304188,0.016017196950977905,1.0004541844672474,True,True
AR-S1,3,1,discrete_identity,64,16,0.016017196950977905,0.016017196950977905,1.0,True,True
AR-S1,3,2,cubic_bspline,24,16,0.0020890959444703006,0.0013871038406257146,1.5060847524781715,True,True
AR-S1,3,2,cubic_bspline,28,16,0.0015513111462324765,0.0013871038406257146,1.118381407936041,True,True
AR-S1,3,2,cubic_bspline,32,16,0.001419816510979273,0.0013871038406257146,1.02358343290204,True,True
AR-S1,3,2,cubic_bspline,40,16,0.0013879764546798478,0.0013871038406257146,1.0006290906481374,True,True
AR-S1,3,2,discrete_identity,64,16,0.0013871038406257146,0.0013871038406257146,1.0,True,True
AR-S1,4,0,cubic_bspline,24,16,0.008519941159773513,5.640906055290804e-05,151.03852246896332,True,False
AR-S1,4,0,cubic_bspline,28,16,0.006374694532144398,5.640906055290804e-05,113.00834422096692,True,False
AR-S1,4,0,cubic_bspline,32,16,0.0038741149010373933,5.640906055290804e-05,68.67894737235918,True,False
AR-S1,4,0,cubic_bspline,40,16,0.00031431597218369267,5.640906055290804e-05,5.572083085639845,True,False
AR-S1,4,0,discrete_identity,64,16,5.640906055290804e-05,5.640906055290804e-05,1.0,True,True
AR-S1,4,1,cubic_bspline,24,16,0.015402035179198066,0.014566647560731345,1.0573493396461895,True,True
AR-S1,4,1,cubic_bspline,28,16,0.014649185757919816,0.014566647560731345,1.005666245225221,True,True
AR-S1,4,1,cubic_bspline,32,16,0.014587091568272178,0.014566647560731345,1.0014034806193806,True,True
AR-S1,4,1,cubic_bspline,40,16,0.01457464672017066,0.014566647560731345,1.0005491421005392,True,True
AR-S1,4,1,discrete_identity,64,16,0.014566647560731345,0.014566647560731345,1.0,True,True
AR-S1,4,2,cubic_bspline,24,16,0.0022163552800820133,0.0015722491100561612,1.4096718299321183,True,True
AR-S1,4,2,cubic_bspline,28,16,0.0017188589841655372,0.0015722491100561612,1.093248501889207,True,True
AR-S1,4,2,cubic_bspline,32,16,0.0016011836477846074,0.0015722491100561612,1.0184032781722565,True,True
AR-S1,4,2,cubic_bspline,40,16,0.0015730190198508683,0.0015722491100561612,1.0004896869012567,True,True
AR-S1,4,2,discrete_identity,64,16,0.0015722491100561612,0.0015722491100561612,1.0,True,True
AR-S2,0,0,cubic_bspline,24,16,0.039494961599222465,6.56627529256142e-05,601.4819641199659,True,False
AR-S2,0,0,cubic_bspline,28,16,0.025083154582257586,6.56627529256142e-05,381.9997405633136,True,False
AR-S2,0,0,cubic_bspline,32,16,0.01231762987401179,6.56627529256142e-05,187.58930025315524,True,False
AR-S2,0,0,cubic_bspline,40,16,0.003844150859038222,6.56627529256142e-05,58.54385763254631,True,False
AR-S2,0,0,discrete_identity,64,16,6.56627529256142e-05,6.56627529256142e-05,1.0,True,True
AR-S2,0,1,cubic_bspline,24,16,0.08224863267549001,0.01808680677792083,4.547438012988212,True,False
AR-S2,0,1,cubic_bspline,28,16,0.02929689018315794,0.01808680677792083,1.619793396528216,True,True
AR-S2,0,1,cubic_bspline,32,16,0.023084459524086973,0.01808680677792083,1.276314819278489,True,True
AR-S2,0,1,cubic_bspline,40,16,0.018491452041233224,0.01808680677792083,1.0223723993008185,True,True
AR-S2,0,1,discrete_identity,64,16,0.01808680677792083,0.01808680677792083,1.0,True,True
AR-S2,0,2,cubic_bspline,24,16,0.06127515676058136,8.078562316711443e-05,758.4908596152881,True,False
AR-S2,0,2,cubic_bspline,28,16,0.03856481764472363,8.078562316711443e-05,477.3722864642367,True,False
