candidate,baseline,direction,block_min,mean_difference,median,lower_95,upper_95,positive_probability,relative_mse_improvement
Shared-Private-K,NLinear-U,sheet2_to_sheet1,22,-0.20994596904452004,-0.20786135479881918,-0.3336491422015217,-0.09016649064058466,0.0,-0.9411432853863702
Shared-Private-K,NLinear-U,sheet2_to_sheet1,40,-0.20994596904452004,-0.18673997669435366,-0.3174966587283801,-0.06339597409969464,0.0,-0.9411432853863702
Shared-Private-K,NLinear-U,sheet2_to_sheet1,60,-0.20994596904452004,-0.1913145675436779,-0.3278796542153083,-0.05435296048095909,0.0,-0.9411432853863702
Shared-Private-K,NLinear-U,pooled,10,-0.12938201242753716,-0.127909255090691,-0.19363795789635702,-0.0620647949998439,0.0,-0.9666239061135888
Shared-Private-K,NLinear-U,pooled,22,-0.12938201242753716,-0.12803037307935577,-0.20307307007291686,-0.06534337320857246,0.0,-0.9666239061135888
Shared-Private-K,NLinear-U,pooled,40,-0.12938201242753716,-0.12542978329128562,-0.2010899239661615,-0.05535105037641552,0.0,-0.9666239061135888
Shared-Private-K,NLinear-U,pooled,60,-0.12938201242753716,-0.1224131939488535,-0.21503424744298782,-0.04419685483955878,0.0,-0.9666239061135888
Shared-Private-K-to-Residual,Temporal Autoencoder,sheet1_to_sheet2,10,-0.0498462267011588,-0.04672597219416835,-0.08002415721097984,-0.019023765858144123,0.0,-1.0171771750313598
Shared-Private-K-to-Residual,Temporal Autoencoder,sheet1_to_sheet2,22,-0.0498462267011588,-0.04386788743222109,-0.08280782164390002,-0.011102611660943666,0.004,-1.0171771750313598
Shared-Private-K-to-Residual,Temporal Autoencoder,sheet1_to_sheet2,40,-0.0498462267011588,-0.04123557787142703,-0.0881804324174579,-0.00833146273185949,0.004,-1.0171771750313598
Shared-Private-K-to-Residual,Temporal Autoencoder,sheet1_to_sheet2,60,-0.0498462267011588,-0.0366288376743476,-0.092137803214566,-0.005511068942956578,0.008,-1.0171771750313598
Shared-Private-K-to-Residual,Temporal Autoencoder,sheet2_to_sheet1,10,-0.15658672043474098,-0.1557016621671926,-0.2436656892357536,-0.08513629986531544,0.0,-0.680274401063211
Shared-Private-K-to-Residual,Temporal Autoencoder,sheet2_to_sheet1,22,-0.15658672043474098,-0.15415678032404845,-0.25187143355543695,-0.066169479403208,0.0,-0.680274401063211
Shared-Private-K-to-Residual,Temporal Autoencoder,sheet2_to_sheet1,40,-0.15658672043474098,-0.13531229219663884,-0.20727349962366984,-0.059692675364513864,0.0,-0.680274401063211
Shared-Private-K-to-Residual,Temporal Autoencoder,sheet2_to_sheet1,60,-0.15658672043474098,-0.1254459318693219,-0.2154579498659218,-0.059114411820710255,0.0,-0.680274401063211
Shared-Private-K-to-Residual,Temporal Autoencoder,pooled,10,-0.10235255160861004,-0.1010036336557334,-0.14863680293498646,-0.05939023186471363,0.0,-0.7410048401514124
Shared-Private-K-to-Residual,Temporal Autoencoder,pooled,22,-0.10235255160861004,-0.0987754094816748,-0.1496283990156273,-0.04867115825411933,0.0,-0.7410048401514124
Shared-Private-K-to-Residual,Temporal Autoencoder,pooled,40,-0.10235255160861004,-0.09294820041636748,-0.1460799428817365,-0.05259419362429675,0.0,-0.7410048401514124
Shared-Private-K-to-Residual,Temporal Autoencoder,pooled,60,-0.10235255160861004,-0.08960570968295294,-0.15012569028842832,-0.04257545755135484,0.0,-0.7410048401514124
Shared-Private-K-to-Residual,Joint-K+AR,sheet1_to_sheet2,10,-0.04360589312044903,-0.04275822714651083,-0.07467622559641024,-0.013851086487807638,0.0,-0.789321195482818
Shared-Private-K-to-Residual,Joint-K+AR,sheet1_to_sheet2,22,-0.04360589312044903,-0.03955047517765081,-0.08387492888761622,-0.0018722987695770352,0.018,-0.789321195482818
Shared-Private-K-to-Residual,Joint-K+AR,sheet1_to_sheet2,40,-0.04360589312044903,-0.03913025376778481,-0.08468600564271038,0.006359825834255412,0.058,-0.789321195482818
Shared-Private-K-to-Residual,Joint-K+AR,sheet1_to_sheet2,60,-0.04360589312044903,-0.03557513176362331,-0.08076297332999179,0.007958068374266148,0.05,-0.789321195482818
Shared-Private-K-to-Residual,Joint-K+AR,sheet2_to_sheet1,10,-0.19245763500040758,-0.1951239061400789,-0.2910062403179172,-0.10374888875233075,0.0,-0.9904629389231611
Shared-Private-K-to-Residual,Joint-K+AR,sheet2_to_sheet1,22,-0.19245763500040758,-0.18862529004158435,-0.3087840566488244,-0.09859507176886141,0.0,-0.9904629389231611
Shared-Private-K-to-Residual,Joint-K+AR,sheet2_to_sheet1,40,-0.19245763500040758,-0.17623286045312445,-0.30729157244904987,-0.05922489870824643,0.0,-0.9904629389231611
Shared-Private-K-to-Residual,Joint-K+AR,sheet2_to_sheet1,60,-0.19245763500040758,-0.17659211806782274,-0.31101400522045036,-0.062139078992758945,0.002,-0.9904629389231611
Shared-Private-K-to-Residual,Joint-K+AR,pooled,10,-0.11682700770229253,-0.11769658739943928,-0.17214829495567754,-0.07257858540601683,0.0,-0.9448029903032397
Shared-Private-K-to-Residual,Joint-K+AR,pooled,22,-0.11682700770229253,-0.11299955839533357,-0.18781360073040315,-0.05774658081219187,0.0,-0.9448029903032397
Shared-Private-K-to-Residual,Joint-K+AR,pooled,40,-0.11682700770229253,-0.11193785869534127,-0.19492495601015414,-0.04521424415051034,0.0,-0.9448029903032397
Shared-Private-K-to-Residual,Joint-K+AR,pooled,60,-0.11682700770229253,-0.10788663927406167,-0.20159557593508076,-0.04353666482944452,0.0,-0.9448029903032397
