direction,mother_space,support,support_mask,lambda_0,lambda_2,oof_mse,oof_se,maximum_kkt,maximum_condition
sheet1_to_sheet2,V0,[0],1,1000000.0,1.0,0.42311460877536156,0.23379563666457756,1.934575242531045e-16,1.0003161363460735
sheet1_to_sheet2,V0,[0],1,1000000.0,100.0,0.42311460903589587,0.23379563667022435,2.919161187895747e-16,1.0015551058427945
sheet1_to_sheet2,V0,[0],1,1000000.0,10000.0,0.42311463439999214,0.23379563727551558,4.031720046793591e-16,1.1555760657248497
sheet2_to_sheet1,V0,[0],1,1e-06,0.0,0.0636315194488661,0.011748225720180994,3.702306906429109e-15,916203.9909221833
sheet2_to_sheet1,V0,[0],1,1e-06,0.0001,0.06350354145485419,0.011793265058376525,2.5383504119245696e-15,320517.0288842273
sheet2_to_sheet1,V0,[0],1,1e-06,0.01,0.058768208514701936,0.010131217072172283,1.7567172743484026e-15,30379.643180482235
sheet2_to_sheet1,V0,[0],1,1e-06,1.0,0.047200607100314415,0.010145262393248809,1.4290805858245664e-15,7554.918067849136
sheet2_to_sheet1,V0,[0],1,1e-06,100.0,0.02664402609583489,0.009100712493121617,9.283002128890598e-15,2165.3498463626242
sheet2_to_sheet1,V0,[0],1,1e-06,10000.0,0.026249862464372845,0.007926885915068377,6.195799161990528e-13,34171.440250913125
sheet2_to_sheet1,V0,[0],1,0.0001,0.0,0.06355789501628367,0.011770306565532162,3.96157325730735e-15,750930.7954126308
sheet2_to_sheet1,V0,[0],1,0.0001,0.0001,0.06345250626765557,0.011792797711499338,2.783015900370955e-15,297603.176513016
sheet2_to_sheet1,V0,[0],1,0.0001,0.01,0.05874043832843729,0.010127514787899375,1.7055046290372053e-15,30159.55173580682
sheet2_to_sheet1,V0,[0],1,0.0001,1.0,0.04717697091243138,0.01013964570895893,1.3033117887955647e-15,7541.2365407299385
sheet2_to_sheet1,V0,[0],1,0.0001,100.0,0.02664420916061136,0.009100711808331401,5.5046743097598025e-15,2165.051686877017
sheet2_to_sheet1,V0,[0],1,0.0001,10000.0,0.02625014232560672,0.00792706310200195,7.833001447143764e-13,34170.697274581624
sheet2_to_sheet1,V0,[0],1,0.01,0.0,0.06117077746692423,0.01158704607015694,1.735409842721037e-15,39442.81130220306
sheet2_to_sheet1,V0,[0],1,0.01,0.0001,0.06105786960993597,0.011550645686286526,2.745629545593076e-15,36520.85970692571
sheet2_to_sheet1,V0,[0],1,0.01,0.01,0.05711290132240375,0.00994331298275531,1.945669785114221e-15,17489.348394819935
sheet2_to_sheet1,V0,[0],1,0.01,1.0,0.04526499123794355,0.00970192799247508,1.1191966855748547e-15,6384.980854472357
sheet2_to_sheet1,V0,[0],1,0.01,100.0,0.026662603020985796,0.00910074275502237,6.7908000070320945e-15,2135.6449510536813
sheet2_to_sheet1,V0,[0],1,0.01,10000.0,0.026278126389376696,0.007944781322777589,6.438845955417591e-13,34096.56244690483
sheet2_to_sheet1,V0,[0],1,1.0,0.0,0.03781583802493291,0.008444550941597732,8.507982984048767e-16,412.9352330069136
sheet2_to_sheet1,V0,[0],1,1.0,0.0001,0.037814158593923855,0.008444230717209638,7.270082618718177e-16,412.590476314488
sheet2_to_sheet1,V0,[0],1,1.0,0.01,0.03765701157087163,0.008415570455327958,7.785786132110156e-16,407.59254139775965
sheet2_to_sheet1,V0,[0],1,1.0,1.0,0.03362450569228461,0.00859498671453226,4.220621234820452e-16,391.82865288119206
sheet2_to_sheet1,V0,[0],1,1.0,100.0,0.028379194650416162,0.009467011993035407,5.6613923987801046e-15,905.9423355046898
sheet2_to_sheet1,V0,[0],1,1.0,10000.0,0.02899798080300217,0.009662502629746973,5.061892643221773e-13,28017.97815993782
sheet2_to_sheet1,V0,[0],1,100.0,0.0,0.051401993663828555,0.02283818824854962,2.453335433619722e-16,5.121182652983511
sheet2_to_sheet1,V0,[0],1,100.0,0.0001,0.051401995620908844,0.022838189960178633,2.463672566904596e-16,5.121139926350622
sheet2_to_sheet1,V0,[0],1,100.0,0.01,0.05140218932500873,0.022838359367704675,1.994840995268159e-16,5.120519574921359
sheet2_to_sheet1,V0,[0],1,100.0,1.0,0.051421133368836545,0.02285489995509934,3.604246698660882e-16,5.119276751888507
sheet2_to_sheet1,V0,[0],1,100.0,100.0,0.05234354683592579,0.023625094111324487,1.0078242554420626e-15,16.440885904726695
sheet2_to_sheet1,V0,[0],1,100.0,10000.0,0.055956410760416214,0.026315136880993274,4.3918256139191846e-14,1489.042198692541
sheet2_to_sheet1,V0,[0],1,10000.0,0.0,0.05656861557309349,0.025608145677644592,2.783723523208624e-16,1.0412120096442656
