direction,candidate,lambda,oof_mse,oof_se,fold_mse
sheet1_to_sheet2,AR:20,100.0,0.6844889640851948,0.34657292093419795,"[0.0408358088857623, 0.20364663657833995, 0.9607212330731847, 1.5327521778034925]"
sheet1_to_sheet2,AR:20,10000.0,0.6916815028135717,0.36524522846034957,"[0.04844387052033484, 0.1450908683067506, 0.9861898295206851, 1.5870014429065158]"
sheet1_to_sheet2,AR:20,1000000.0,0.691799100396433,0.3654619181014326,"[0.048556464447807146, 0.14447335628399793, 0.9865039578726762, 1.587662622981251]"
sheet1_to_sheet2,AR:40,1e-06,1.133653172222716,0.5861056184650779,"[0.4371736292872231, 0.6574627221927848, 0.553193628666808, 2.8867827087440485]"
sheet1_to_sheet2,AR:40,0.0001,1.1412572367195943,0.5980334535733264,"[0.43516485295932955, 0.6486781648598061, 0.5506095794740925, 2.930576349585149]"
sheet1_to_sheet2,AR:40,0.01,1.111321243558166,0.5753980002740549,"[0.42719089767604496, 0.6073023056040449, 0.5773277305496678, 2.833464040402907]"
sheet1_to_sheet2,AR:40,1.0,0.836894367637888,0.2258703755665327,"[0.31779366328738773, 0.6024672529218037, 1.1695821028936702, 1.2577344514486906]"
sheet1_to_sheet2,AR:40,100.0,0.766249473804714,0.38289558092975,"[0.053005312223246705, 0.22860072370626275, 1.6909937411872566, 1.0923981181020899]"
sheet1_to_sheet2,AR:40,10000.0,0.7609129365634727,0.4008339751564918,"[0.031166731727299824, 0.17032960624978247, 1.7169334742911315, 1.125221933985677]"
sheet1_to_sheet2,AR:40,1000000.0,0.7608819078457598,0.4010313135751418,"[0.030966653730887958, 0.16969868328982032, 1.7172257509643838, 1.1256365433979474]"
sheet1_to_sheet2,STATE:2,1e-06,0.782483360412336,0.18061781280353062,"[0.3829265405654573, 0.6179919621086674, 0.9133531393780766, 1.2156617995971433]"
sheet1_to_sheet2,STATE:2,0.0001,0.7822638149174557,0.18093623206070097,"[0.38212974836756014, 0.6168901750017276, 0.9141868923796249, 1.2158484439209103]"
sheet1_to_sheet2,STATE:2,0.01,0.7654399323003105,0.2087352606264646,"[0.3172600111615005, 0.5269888151765563, 0.9875332586959854, 1.2299776441672]"
sheet1_to_sheet2,STATE:2,1.0,0.7498053470453612,0.38148718984505964,"[0.041330254864884806, 0.18292164429970062, 1.6218195430489768, 1.1531499459678825]"
sheet1_to_sheet2,STATE:2,100.0,0.7607346395896074,0.4008052742379343,"[0.031050774405672426, 0.16982316010263143, 1.716106423294439, 1.1259582005556867]"
sheet1_to_sheet2,STATE:2,10000.0,0.7608801237820162,0.4010310243902857,"[0.030965495180243326, 0.16969361448295314, 1.7172174640532172, 1.1256439214116514]"
sheet1_to_sheet2,STATE:2,1000000.0,0.7608815831949836,0.40103328583469017,"[0.03096464489301442, 0.16969231927211254, 1.717228594650537, 1.12564077396427]"
sheet1_to_sheet2,STATE:4,1e-06,0.948690212307408,0.45130424088369697,"[0.402095036216958, 0.590481229218638, 0.5045179869031508, 2.297666596890885]"
sheet1_to_sheet2,STATE:4,0.0001,0.8780737488108357,0.3019213367035565,"[0.3825370452337952, 0.6151527292221374, 0.7615381619739394, 1.753067058813471]"
sheet1_to_sheet2,STATE:4,0.01,0.782466866380281,0.19438164684753945,"[0.34593312232543677, 0.568007295939578, 1.05816427281623, 1.1577627744398793]"
sheet1_to_sheet2,STATE:4,1.0,0.7424656364333944,0.3625186952339582,"[0.059969611850472844, 0.2030533813188292, 1.5454371273128051, 1.1614024252514703]"
sheet1_to_sheet2,STATE:4,100.0,0.7605375490920934,0.40050809298117623,"[0.031183335526160982, 0.17005942666122625, 1.7148005457074975, 1.1261068884734888]"
sheet1_to_sheet2,STATE:4,10000.0,0.7608781319241174,0.4010280364371883,"[0.030966807874230392, 0.16969598101990013, 1.717204323384075, 1.1256454154182636]"
sheet1_to_sheet2,STATE:4,1000000.0,0.7608815632742957,0.4010332559535371,"[0.030964658018650167, 0.1696923429378694, 1.7172284632356152, 1.125640788905048]"
sheet2_to_sheet1,A0,,0.05653518166123943,0.0,
sheet2_to_sheet1,AR:2,1e-06,0.0318260088725229,0.01038942682132388,"[0.0389011248395373, 0.025940997175596253, 0.05582652009147868, 0.006635393383479355]"
sheet2_to_sheet1,AR:2,0.0001,0.03109805668992796,0.010334638342126048,"[0.03269667655630637, 0.027952314276545372, 0.05705106316238394, 0.006692172764476162]"
sheet2_to_sheet1,AR:2,0.01,0.03081006618591908,0.010609814375662902,"[0.02692918815507176, 0.031085595309749216, 0.058392398628559536, 0.006833082650295802]"
sheet2_to_sheet1,AR:2,1.0,0.036442678919069285,0.013764675055991958,"[0.02926681510235693, 0.03838596792086337, 0.07226014130202599, 0.005857791351030843]"
sheet2_to_sheet1,AR:2,100.0,0.04348308813545286,0.0158620396857436,"[0.036412462904674356, 0.043991985807181846, 0.0851532133277168, 0.008374690502238435]"
sheet2_to_sheet1,AR:2,10000.0,0.04363374076834262,0.01589786416961889,"[0.036576103718378654, 0.04410624160393718, 0.08540480621247036, 0.008447811538584291]"
sheet2_to_sheet1,AR:2,1000000.0,0.04363526410624233,0.015898224953440347,"[0.03657776095729107, 0.044107395964157727, 0.08540734594851213, 0.008448553555008396]"
sheet2_to_sheet1,AR:5,1e-06,0.030908738849751764,0.011176259127260925,"[0.0442189540088178, 0.021077135676879404, 0.05385781674211295, 0.0044810489711969]"
sheet2_to_sheet1,AR:5,0.0001,0.03070881166359953,0.011081922639267711,"[0.0424325065042159, 0.021569568763263807, 0.05441056131929281, 0.004422610067625598]"
sheet2_to_sheet1,AR:5,0.01,0.029986232849722554,0.010653028569472275,"[0.03644877939672862, 0.023415486309070893, 0.05530789249158123, 0.004772773201509465]"
sheet2_to_sheet1,AR:5,1.0,0.031801612493776596,0.012595764616931803,"[0.025565993710211878, 0.031956296243059144, 0.06522664584046342, 0.004457514181371946]"
sheet2_to_sheet1,AR:5,100.0,0.0430534801360367,0.01657457285710069,"[0.03477665177249241, 0.043072462333297055, 0.08714485637841102, 0.007219950059946322]"
sheet2_to_sheet1,AR:5,10000.0,0.04349335100836589,0.01668405983751065,"[0.03521037563853816, 0.04346597569359496, 0.08788007390543928, 0.00741697879589116]"
sheet2_to_sheet1,AR:5,1000000.0,0.04349787251401815,0.016685173720362944,"[0.035214859164373995, 0.04347001155948223, 0.08788759767218064, 0.007419021660035743]"
sheet2_to_sheet1,AR:10,1e-06,0.027675336685037345,0.008890600386520075,"[0.031713524519585354, 0.023330560561234583, 0.04919779393975023, 0.006459467719579212]"
sheet2_to_sheet1,AR:10,0.0001,0.027299771864593037,0.008940292383649306,"[0.031510447074825476, 0.02202240196372621, 0.04919894001421703, 0.006467298405603429]"
sheet2_to_sheet1,AR:10,0.01,0.027042980834215476,0.009126835940959867,"[0.03163410443915943, 0.020353917741504163, 0.04967396804006328, 0.006509933116135038]"
sheet2_to_sheet1,AR:10,1.0,0.026995282618153232,0.01117605268444426,"[0.022330635826312124, 0.02347322238944176, 0.05783910266079301, 0.004338169596066034]"
