baseline,candidate,direction,block_min,observed_relative_improvement,median_relative_improvement,lower_95,upper_95,positive_probability
LIN-UOI,FULL-UOI,sheet2_to_sheet1,22,0.30840691730582254,0.31525680431180303,0.179080662151744,0.4090133292069448,1.0
LIN-UOI,FULL-UOI,sheet2_to_sheet1,40,0.30840691730582254,0.3116073482053255,0.1645546119202991,0.4291279757515691,1.0
LIN-UOI,FULL-UOI,sheet2_to_sheet1,60,0.30840691730582254,0.3173365131314435,0.18340131685404873,0.44339044651156,1.0
LIN-UOI,FULL-UOI,pooled,10,0.2214582909874826,0.22512151943456132,0.13785712762408717,0.29732846787727996,1.0
LIN-UOI,FULL-UOI,pooled,22,0.2214582909874826,0.22640129623554694,0.11920695157621498,0.31990047822552053,1.0
LIN-UOI,FULL-UOI,pooled,40,0.2214582909874826,0.22556476787370475,0.09954868888581003,0.3211126020065372,1.0
LIN-UOI,FULL-UOI,pooled,60,0.2214582909874826,0.23019637021156042,0.11881958305236887,0.3217358726242075,1.0
R1-LIN-DERIVED,LIN-UOI,sheet1_to_sheet2,10,-0.0007531456466901772,-0.000771882282464231,-0.0011880113820896456,-0.0002918928762914926,0.0
R1-LIN-DERIVED,LIN-UOI,sheet1_to_sheet2,22,-0.0007531456466901772,-0.0007839142142453397,-0.0012944226321234616,-0.00026226028796349024,0.003
R1-LIN-DERIVED,LIN-UOI,sheet1_to_sheet2,40,-0.0007531456466901772,-0.0008339784201697743,-0.0012426459509225127,-0.00032876093693427776,0.0
R1-LIN-DERIVED,LIN-UOI,sheet1_to_sheet2,60,-0.0007531456466901772,-0.0008244720392316694,-0.0011000599652373462,-0.00040765343432646917,0.001
R1-LIN-DERIVED,LIN-UOI,sheet2_to_sheet1,10,-0.001565963638987591,-0.0018583536684175952,-0.04275254561769729,0.031041756831695518,0.454
R1-LIN-DERIVED,LIN-UOI,sheet2_to_sheet1,22,-0.001565963638987591,-0.0008394491071475203,-0.04880869392895967,0.0358139657259634,0.482
R1-LIN-DERIVED,LIN-UOI,sheet2_to_sheet1,40,-0.001565963638987591,-0.0005027532578313837,-0.05996081142667698,0.036033093466061636,0.491
R1-LIN-DERIVED,LIN-UOI,sheet2_to_sheet1,60,-0.001565963638987591,0.003139057470063545,-0.05084884479332827,0.04198336411414568,0.565
R1-LIN-DERIVED,LIN-UOI,pooled,10,-0.0013359471667246804,-0.0025309200740734677,-0.029932238328859318,0.022377571665960244,0.425
R1-LIN-DERIVED,LIN-UOI,pooled,22,-0.0013359471667246804,-0.0022443355796524667,-0.034979193963859616,0.027707666008442964,0.435
R1-LIN-DERIVED,LIN-UOI,pooled,40,-0.0013359471667246804,-0.0008382687515643655,-0.036184596768844765,0.02954397137030406,0.477
R1-LIN-DERIVED,LIN-UOI,pooled,60,-0.0013359471667246804,0.0024416906801118525,-0.036406157489224156,0.02860491942683562,0.567
FULL-UOI,FULL-UOI-PSAR,sheet1_to_sheet2,10,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet1_to_sheet2,22,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet1_to_sheet2,40,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet1_to_sheet2,60,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet2_to_sheet1,10,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet2_to_sheet1,22,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet2_to_sheet1,40,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet2_to_sheet1,60,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,pooled,10,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,pooled,22,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,pooled,40,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,pooled,60,0.0,0.0,0.0,0.0,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet1_to_sheet2,10,-0.8915677654022773,-0.8792929457972911,-1.698739025479778,-0.22036960892897528,0.001
Joint-K+AR,FULL-UOI-PSAR,sheet1_to_sheet2,22,-0.8915677654022773,-0.8289058488577046,-2.0067130478188324,-0.054279599470739064,0.018
Joint-K+AR,FULL-UOI-PSAR,sheet1_to_sheet2,40,-0.8915677654022773,-0.7919658855189353,-1.9419021678655848,0.08459786672120219,0.04
Joint-K+AR,FULL-UOI-PSAR,sheet1_to_sheet2,60,-0.8915677654022773,-0.7107701504146333,-1.7745082219964778,0.11863130980643849,0.056
Joint-K+AR,FULL-UOI-PSAR,sheet2_to_sheet1,10,0.024861979267386817,0.025522052319296582,-0.17655389877817607,0.20775932839740013,0.598
Joint-K+AR,FULL-UOI-PSAR,sheet2_to_sheet1,22,0.024861979267386817,0.0292936672912235,-0.1903364944115907,0.25611614792164905,0.589
Joint-K+AR,FULL-UOI-PSAR,sheet2_to_sheet1,40,0.024861979267386817,0.0376420711682343,-0.2034152951201301,0.2715567845776282,0.607
Joint-K+AR,FULL-UOI-PSAR,sheet2_to_sheet1,60,0.024861979267386817,0.04353424618595998,-0.21059632979352969,0.28962076998952424,0.618
Joint-K+AR,FULL-UOI-PSAR,pooled,10,-0.18317109402550072,-0.1728121615803021,-0.4092302523162074,0.03776068803765434,0.041
Joint-K+AR,FULL-UOI-PSAR,pooled,22,-0.18317109402550072,-0.1502798768111387,-0.4005073807426699,0.07400978063760552,0.107
Joint-K+AR,FULL-UOI-PSAR,pooled,40,-0.18317109402550072,-0.15942503594388396,-0.43468227251791736,0.10935633531672348,0.126
Joint-K+AR,FULL-UOI-PSAR,pooled,60,-0.18317109402550072,-0.13613356164945933,-0.40435855670774257,0.13673590431567423,0.186
