timestamp,gpu,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
1784974383.7322078,0,55,7443,32607,54,222.40
1784974384.8406506,0,54,7443,32607,55,227.84
1784974385.8980098,0,55,7443,32607,54,222.65
1784974386.9547815,0,55,7443,32607,55,222.51
1784974388.060122,0,48,7443,32607,54,216.76
1784974389.144349,0,49,6520,32607,55,210.03
1784974390.259201,0,50,6532,32607,54,213.53
1784974391.3219936,0,53,7375,32607,55,217.00
1784974392.4258714,0,64,7443,32607,56,245.62
1784974393.5074959,0,61,7443,32607,56,255.29
1784974394.593591,0,49,6520,32607,55,211.96
1784974395.6531434,0,51,6520,32607,55,213.44
1784974396.7348895,0,48,7133,32607,55,208.65
1784974397.8192356,0,55,7443,32607,56,221.13
1784974398.901868,0,55,7443,32607,56,226.56
1784974400.0068204,0,55,7443,32607,56,222.54
1784974401.114455,0,57,7443,32607,56,224.11
1784974402.2082002,0,50,6520,32607,56,214.79
1784974403.2832143,0,57,6520,32607,56,215.96
1784974404.373467,0,54,5610,32607,56,214.66
1784974405.4347758,0,43,6516,32607,56,199.70
1784974406.5362568,0,52,7133,32607,56,217.11
1784974407.644296,0,64,7443,32607,57,245.54
1784974408.7502482,0,60,7443,32607,57,243.67
1784974409.8296964,0,68,7443,32607,58,251.10
1784974410.8881812,0,64,7443,32607,58,246.49
1784974411.9895701,0,55,7443,32607,57,238.43
1784974413.0854418,0,61,6520,32607,58,229.94
1784974414.1656961,0,62,6520,32607,58,241.61
1784974415.2230518,0,59,7133,32607,58,242.94
1784974416.319683,0,56,7443,32607,57,224.30
1784974417.3817163,0,56,6520,32607,57,226.27
1784974418.4411972,0,58,6528,32607,58,229.98
1784974419.5193734,0,56,7439,32607,57,227.53
1784974420.5962272,0,55,7443,32607,57,225.47
1784974421.7036047,0,55,7443,32607,58,229.14
1784974422.8067162,0,57,7443,32607,58,225.85
1784974423.9112728,0,61,7443,32607,58,230.01
1784974425.0119305,0,58,7443,32607,58,229.22
1784974426.1161315,0,61,7443,32607,58,224.95
1784974427.2239234,0,58,7443,32607,58,230.93
1784974428.3302042,0,57,7443,32607,58,226.19
1784974429.4365132,0,62,7443,32607,58,230.44
1784974430.5123947,0,51,6520,32607,58,223.65
1784974431.5868595,0,52,6520,32607,58,221.41
1784974432.6424747,0,52,7133,32607,58,218.88
1784974433.7466135,0,51,7443,32607,58,211.64
1784974434.8461792,0,52,6520,32607,58,211.64
1784974435.9270282,0,54,6520,32607,58,223.34
1784974437.004493,0,50,7133,32607,58,214.96
1784974438.1120646,0,64,7443,32607,59,236.58
1784974439.1709735,0,48,6520,32607,58,218.48
1784974440.27893,0,49,6520,32607,58,224.53
1784974441.3761969,0,49,7133,32607,58,212.59
1784974442.4839358,0,55,7443,32607,58,218.02
