scenario,seed,variable,distribution,rank,normalized_excess_rmse,validation_contribution_r2,empirical_operator_nrmse,modal_gains,refit_intercept
AR-S3,3,0,PERM,4,0.0013087263921875317,0.9999396370235425,0.00776936139315792,"[1.0000200680427154, 0.9999127649599082, 0.8563171504415734, 0.8821988886393066]",0.02245626026075936
AR-S3,3,0,PERM,5,0.0012008011164159579,0.999939907864991,0.007751911700288541,"[1.0000202775281162, 0.9998090062682926, 0.9127390070758439, 0.898460711374558, 0.9020977647003265]",0.02245628511768063
AR-S3,3,0,PERM,6,0.0011269429373431867,0.9999400797879281,0.007740814690451662,"[1.0000211963492793, 0.9997896013934511, 0.9442311317651393, 0.9007993400052354, 0.9057364416851453, 0.9285783175846403]",0.022456278452389955
AR-S3,3,0,PERM,7,0.0008898401988885995,0.9999405579727325,0.0077098655803744505,"[1.0000233073705405, 0.9997704496428352, 0.9488306102916307, 0.9064995749365478, 0.9382922423202633, 0.968461600393479, 0.9468493780259624]",0.022456299942133485
AR-S3,3,0,PERM,8,0.0007588455103442099,0.9999407739418036,0.007695846814773156,"[1.0000180723117984, 0.9998599736884628, 0.9511205661542633, 0.9148864700487547, 0.9335839809584525, 0.9614601393131471, 0.9618343434839655, 0.9212812801206451]",0.022456301099036496
AR-S3,3,0,PERM,9,0.0006073607160757972,0.9999409809012727,0.0076823888685301975,"[1.0000180890853816, 0.9999142309541409, 0.9687294312267006, 0.9404467037745415, 0.9466705133752843, 0.9739677665588834, 0.9555016282482786, 0.9673312457438634, 0.8948492706609215]",0.022456298849112537
AR-S3,3,0,PERM,10,0.0005555318042558172,0.9999410411727265,0.007678465163912922,"[1.0000190309756498, 0.9998533797333538, 0.9781198199261658, 0.9516324471060252, 0.9561138838438441, 0.9567483208899271, 0.960828223537135, 0.9879151072512353, 0.9086650216012381, 0.9537917018111634]",0.022456303879512723
AR-S3,3,0,PERM,11,0.0005263871259518918,0.9999410727049057,0.007676411602712069,"[1.0000160570871124, 0.9998730954886497, 0.9811608739091178, 0.9657560437618644, 0.9557998521874049, 0.964323882029126, 0.9597399736063444, 0.9819295566950658, 0.9442235849913626, 0.9660728545301764, 0.9771389304201974]",0.022456298761598763
AR-S3,3,0,PERM,12,0.0004683359617181403,0.9999411304497391,0.007672649494204923,"[1.0000112841332724, 0.9998708071545195, 0.9801443215885725, 0.9692050785947071, 0.9575021008951926, 0.9715925364442674, 0.9651817148459576, 0.9779707917639213, 0.940247324696071, 0.9821744579869056, 0.9766346269178376, 0.879643217572268]",0.02245630440509891
AR-S3,3,1,PERM,1,0.5913594990008533,0.6500265279431297,0.5915855576811104,[1.0189583067222556],-0.02067275486511833
AR-S3,3,1,PERM,2,0.003944827263008826,0.9997170233395348,0.016821910131289464,"[1.0000494614345814, 0.9999961823292163]",-0.020527908954629456
AR-S3,3,1,PERM,3,0.003835541683896362,0.9997178736216609,0.01679661806254783,"[1.0000460947892993, 0.9999942644858391, 0.9202752865325569]",-0.020527997921436652
AR-S3,3,1,PERM,4,0.0032333767796868633,0.9997221302762703,0.01666942481700012,"[1.0000291125182623, 0.9999993986685549, 0.9472027599229378, 0.9086539636272284]",-0.020527990846200658
AR-S3,3,1,PERM,5,0.0030040925500228553,0.9997235604296207,0.01662647197631849,"[1.0000233358458221, 1.000009861844601, 0.9673246270124861, 0.9373576990729933, 0.8721864082210073]",-0.02052795523686841
AR-S3,3,1,PERM,6,0.002330546264806502,0.9997271535557773,0.01651806417903154,"[1.0000278832466452, 1.0000159483851532, 0.9829122895374249, 0.9579110273139628, 0.8791705676773265, 0.9797357504937286]",-0.020528014425304497
AR-S3,3,1,PERM,7,0.002251491803318491,0.9997275157863293,0.016507095858163897,"[1.0000188724497923, 1.0000044121812746, 0.9899626254882797, 0.9820991302200913, 0.8801031211911017, 0.9876017494971988, 0.9752178017349754]",-0.02052804328718194
AR-S3,3,1,PERM,8,0.0018431820425900932,0.9997291876816277,0.016456376222374353,"[1.0000096694343386, 0.9999900616676016, 0.9982395940456336, 0.9800468354155726, 0.8886027284249364, 0.9816001859870583, 0.9739165594981554, 0.9667876921589007]",-0.02052808639327934
AR-S3,3,1,PERM,9,0.0018501204287182048,0.999729162056069,0.016457154794525142,"[1.0000071228881318, 0.9999826514641695, 0.9990300977629859, 0.9892472240584588, 0.8943352197081935, 0.9705064915011574, 0.9750543971901704, 0.9761095352602639, 0.9727125164348503]",-0.020528113492644086
AR-S3,3,1,PERM,10,0.0013548412179882543,0.9997307494069438,0.016408857152652688,"[1.0000003322722648, 0.9999628460451733, 0.9971628681704185, 0.9737013030865725, 0.9149146568253674, 0.9759662593415879, 0.9772228659486494, 0.9961395907535548, 0.9645188209679522, 0.9797151428782516]",-0.020528112656600254
AR-S3,3,1,PERM,11,0.0009705013288722857,0.9997316431288404,0.016381601605445793,"[1.0000014171811344, 0.999973045038802, 0.9992314279348619, 0.9862546306912646, 0.9568899584518942, 0.9649980198053466, 0.986766509813424, 0.9640356358788006, 0.997715203840324, 0.9608452465256216, 0.9575496869881832]",-0.02052810987399687
AR-S3,3,1,PERM,12,0.0008379027448760047,0.99973188292066,0.01637428103276819,"[0.9999982500553679, 0.999962358109948, 0.9990239523635293, 0.9901660023183494, 0.9676057008435638, 0.9748968523754201, 0.9863296981570793, 0.9708491842674511, 1.0035102037922647, 0.9707151532659946, 0.9721215603852347, 0.9673787794524383]",-0.02052809485101671
AR-S3,3,2,PERM,1,0.7122801123955322,0.49234658029899636,0.7124980138224977,[1.0036029246059717],-0.0434515890679017
AR-S3,3,2,PERM,2,0.003723060331061526,0.9996756776349597,0.0180089523582119,"[1.0000005555258769, 1.0000505317494222]",-0.04342751183039877
AR-S3,3,2,PERM,3,0.0031463710823491225,0.9996796391622005,0.01789862670149486,"[1.0000148070405017, 1.0000105427819557, 0.9625368087049458]",-0.04342756518128699
AR-S3,3,2,PERM,4,0.0028838621508079513,0.9996812221522835,0.017854350946379553,"[1.0000184096220293, 0.9999999862957062, 0.9624247490672698, 0.93441811780609]",-0.04342733595653324
AR-S3,3,2,PERM,5,0.0028674343167661267,0.9996813166336274,0.017851704858992876,"[1.0000200738734333, 1.0000051403017642, 0.9764315785505052, 0.972748920545719, 0.916584665101991]",-0.04342745282953852
AR-S3,3,2,PERM,6,0.0027112183667477347,0.9996821881081562,0.01782727942911683,"[1.000018720538551, 1.0000024690280973, 0.9714375845060421, 0.9860266048166125, 0.9333119259242026, 0.9421047198640013]",-0.04342743939270731
AR-S3,3,2,PERM,7,0.0025323395402347204,0.9996831260696414,0.017800953074446825,"[1.0000264843572033, 0.9999990715382219, 0.9810745495220325, 0.9870848229325118, 0.9560875356105346, 0.9410913153308273, 0.8978590243860747]",-0.043427522245601986
AR-S3,3,2,PERM,8,0.0022329907179830613,0.9996845525656418,0.017760839911395526,"[1.0000224254899404, 1.0000032435688218, 0.9864009484106684, 0.9911206235925322, 0.9680203727919728, 0.9490473369440207, 0.9179640209937611, 0.9130397137417993]",-0.04342749748957106
AR-S3,3,2,PERM,9,0.001890649505904608,0.9996859642576342,0.017721053647167802,"[1.0000204066343512, 1.0000044497173028, 1.0009383336143407, 0.9934870663058802, 0.987214093405957, 0.9891039570653638, 0.9447010517849749, 0.9427654475374373, 0.904479285560944]",-0.04342746427557137
AR-S3,3,2,PERM,10,0.001648778342417161,0.9996868203431659,0.01769688268690409,"[1.0000242384635372, 0.9999998813829706, 1.000585863453965, 1.0018974615272405, 0.9844376735855171, 0.9729230815183075, 0.9241496747532503, 0.9506732630850555, 0.9159054557029324, 1.0037393390902718]",-0.04342744321220906
AR-S3,3,2,PERM,11,0.0016252009027679672,0.999686897535214,0.01769470160206099,"[1.0000299926663858, 0.9999950031406404, 0.9982444787224838, 1.0005716047651523, 0.9822597654044102, 0.9695226240631474, 0.9290992948750881, 0.947905771123038, 0.9436190631442353, 1.0050317286991015, 1.0584083568726144]",-0.04342744924068779
AR-S3,3,2,PERM,12,0.0011712322285805817,0.9996881670282551,0.017658793043265664,"[1.0000117725246394, 0.999995084103237, 1.0020306827570233, 1.0041472294640137, 0.9935022765606001, 0.9620828944966303, 0.9585300976168285, 0.9808135060114519, 0.9644625088715477, 1.0054945214813142, 0.9971173111405236, 0.9763934760106516]",-0.04342743128540889
AR-S3,4,0,PERM,1,0.04470800538537758,0.9979327314514639,0.04546722499269186,[0.9977699512325247],0.004599139637935061
AR-S3,4,0,PERM,2,0.0013763563576388875,0.9999296428401797,0.008387917490076157,"[1.0000157936195877, 1.0000066785764896]",0.004603372222991409
AR-S3,4,0,PERM,3,0.0013145035401612142,0.9999298092774458,0.008377990364891147,"[1.0000185746960502, 1.0000196562275192, 0.9955292035582852]",0.004603385214455509
AR-S3,4,0,PERM,4,0.0012098077150973425,0.9999300735622954,0.00836220292175582,"[1.0000113758713631, 1.0000284201955218, 0.9995272994698684, 0.8907980474522152]",0.004603378271668632
AR-S3,4,0,PERM,5,0.0009957546501599725,0.9999305456696795,0.008333926464784034,"[1.0000131175116853, 1.00007829806112, 1.012929775096686, 0.9363492742025946, 0.9652364400870642]",0.004603366562003399
AR-S3,4,0,PERM,6,0.0008653303426153626,0.9999307884004011,0.008319350912118283,"[1.0000146155114036, 1.0000371885154065, 0.9941899256440805, 0.949203081925025, 0.9812094046369008, 0.9183666790075159]",0.004603358008660609
AR-S3,4,0,PERM,7,0.0007909497000907588,0.9999309115955748,0.008311943480629917,"[1.0000131204630618, 0.999996431634272, 0.9980412424512686, 0.9472789363988013, 0.9760090868977528, 0.925095320590321, 0.9057689803112557]",0.004603352587757855
AR-S3,4,0,PERM,8,0.0007016139733600177,0.9999310449348353,0.008303918663181049,"[1.000011611780481, 0.9999886611999587, 0.9964629214493206, 0.9350582725208118, 0.9736782831758221, 0.941234358393093, 0.9581677322880692, 0.9312193701731922]",0.004603368032143057
AR-S3,4,0,PERM,9,0.000497287418404912,0.9999312899022264,0.008289155431864956,"[1.0000085582640599, 1.000051766091217, 0.9870036936903936, 0.9769488830297919, 0.9900584419851949, 0.9626924954074859, 0.955851969672517, 0.8967566708272573, 0.9973200688364019]",0.004603360422818441
AR-S3,4,0,PERM,10,0.0004302700237455209,0.9999313520647095,0.00828540495633415,"[1.0000065323097367, 1.0001780084602727, 0.9911199918424335, 0.9927005790999011, 0.9926338925515826, 0.9650253567675383, 0.9518816223831333, 0.9138288299495733, 1.0136689917410413, 0.9516233362504165]",0.004603353199139759
AR-S3,4,0,PERM,11,0.00039678490387409245,0.9999313797587429,0.008283733533682435,"[1.0000028747611482, 1.0001019418654726, 0.9936084556845133, 0.9921397451598579, 0.9926576492904992, 0.975205101739521, 0.9554961384238272, 0.913947665371953, 1.0140712365459503, 0.9526583123228664, 0.9579173731111934]",0.004603326955747612
AR-S3,4,0,PERM,12,0.0003957830892632273,0.9999313805527491,0.0082836856079199,"[1.0000037995102575, 1.0000823628520499, 0.9964013243005335, 1.0026154514772427, 0.9952301396634511, 0.9870048192649098, 0.9581948701951418, 0.9242566275935926, 1.0170167132072263, 0.950112056555068, 0.9397359418020491, 1.0358889203286015]",0.004603333621339919
AR-S3,4,1,PERM,1,0.6003854788176501,0.6392585217251533,0.6006175807240799,[0.9782538142544203],0.00224195172814576
AR-S3,4,1,PERM,2,0.003897096177753824,0.9997060575416338,0.017144750169258094,"[1.000043403652853, 1.0000104409449118]",0.0021011510568566694
AR-S3,4,1,PERM,3,0.003483222120456904,0.999709112063912,0.017055437141511563,"[1.0000233228232027, 1.0000120034710374, 0.9655033357064712]",0.0021011500023659577
AR-S3,4,1,PERM,4,0.00302818551075494,0.9997120749927648,0.0169683531091016,"[1.000023039285882, 1.0000069419475608, 0.9799302483234851, 0.9022806398385227]",0.0021011008156807177
AR-S3,4,1,PERM,5,0.0024092770829638277,0.9997154402841899,0.01686889788368246,"[1.0000086360064258, 1.0000196371950778, 0.9612576656828183, 0.9181512561165149, 0.8637681057244484]",0.0021010429383657527
AR-S3,4,1,PERM,6,0.002319764773009966,0.9997158635916503,0.016856346233680358,"[1.0000072506933484, 1.0000028548682844, 0.9777074340758101, 0.9603591717285693, 0.8941497027621091, 0.916599796534048]",0.0021010658079497206
AR-S3,4,1,PERM,7,0.0021764227027010635,0.9997165080844715,0.01683721816478139,"[1.0000087069250734, 1.0000011228519947, 0.9821543439004882, 0.9939284153149567, 0.9228012401142875, 0.9499622670860596, 0.90850181164091]",0.002101034234298673
