scenario,seed,variable,distribution,selected_lag_smoothing,selected_amplitude_smoothing,smoothing_reselected_from_rank,full_validation_contribution_r2,full_empirical_operator_nrmse,full_kkt_relative_residual,predictive_rank_010,predictive_rank_005,predictive_rank_002,normalized_excess_curve,structural_rank_005,predictive_minus_structural_rank_005,seed_full_capacity_pass
AR-S2,3,2,PERM,0.0,0.0,False,0.9996784029797374,0.017933126338219085,4.911318952726841e-16,1,1,1,"[0.004366828039450366, 0.0037346453863740456, 0.00339206072756047, 0.0029253521209560056, 0.0027030990143407604, 0.002717321836121072, 0.001987454533129969, 0.0016486860232529362, 0.0014156221274319477, 0.0011387053625746381, 0.0009917152445332205, 0.0009432377044236471]",1,0,True
AR-S2,4,0,PERM,0.0,0.0,False,0.9998469008674276,0.012373323424707159,5.314096483495808e-16,1,1,1,"[0.0030044885208285973, 0.002930058751252697, 0.0021420811541837505, 0.0020504371410942418, 0.0019073213627970426, 0.001515349307863871, 0.0013627212402045998, 0.0012689897985330672, 0.0009715892169781716, 0.0007832510885261892, 0.0007413374234851558, 0.0006607647404487704]",1,0,True
AR-S2,4,1,PERM,0.0,0.0,False,0.9997705009981266,0.015149224464420097,1.2662271232863186e-15,1,1,1,"[0.004300473775955723, 0.0039961373196720044, 0.003627410595694152, 0.003202501543960485, 0.0025437448796384672, 0.002241272212941003, 0.001957390541647929, 0.0017000470578116577, 0.0014496905505647754, 0.0012564054127617824, 0.0011701705414709355, 0.0009265789737028401]",1,0,True
AR-S2,4,2,PERM,0.0,0.0,False,0.9996511796989361,0.018676731541249988,4.449881184684057e-16,1,1,1,"[0.0048602658292885275, 0.0038880887664917755, 0.0034172770242327285, 0.0029383635388752164, 0.0022692205171319937, 0.002052269002656355, 0.00192900945835771, 0.0015761413656518544, 0.0013302085184975028, 0.0010014836326530199, 0.0007512024638277777, 0.0005531537309480951]",1,0,True
AR-S3,0,0,PERM,0.0,0.0,False,0.9999337423190647,0.008139882120475487,5.182931693268255e-16,1,2,2,"[0.05219892945663701, 0.0012961240372771122, 0.0011611754765860523, 0.0010079165323146422, 0.0008680032729748436, 0.0008983999093176811, 0.0007524713188039104, 0.0006219559675185627, 0.0004784635932014962, 0.0004707116369386896, 0.00043624545833332966, 0.00036891116739515615]",1,1,True
AR-S3,0,1,PERM,0.0,0.0,False,0.9997758819470454,0.01497057290001331,1.1747045166203149e-15,2,2,2,"[0.5491800390903634, 0.003244305251306892, 0.0025849757816455866, 0.002463271351537628, 0.00222324196151583, 0.00205172832713879, 0.0019509625930407039, 0.0015453737882592446, 0.0014441544383277348, 0.0011439962273245984, 0.0011838250301889385, 0.0010550850487122995]",2,0,True
AR-S3,0,2,PERM,0.0,0.0,False,0.9996819230981583,0.017834710590356236,5.898285067160988e-16,2,2,2,"[0.6726112481463086, 0.0044643727287894015, 0.0038864413287219342, 0.0033743617543931224, 0.0029434788953281747, 0.002192253257590151, 0.0019231078267613292, 0.001546261438130598, 0.0015960315216510207, 0.0012129465700446071, 0.0010016975262657918, 0.0010109631245364228]",2,0,True
AR-S3,1,0,PERM,0.0,0.0,False,0.9999352229169843,0.008048421150490176,4.399609440439874e-16,1,1,2,"[0.04943395636448408, 0.0010854767901271331, 0.0008214959512406566, 0.0006917530471733932, 0.0004624873346033082, 0.0002992754498433798, 0.0004445282759907807, 0.0004270122647870747, 0.000362646675521428, 0.000350632815429816, 0.000299280327884563, 0.0002871011834032804]",1,0,True
AR-S3,1,1,PERM,0.0,1e-05,False,0.9997575756637588,0.015569981895983916,1.3830105980132126e-15,2,2,2,"[0.5768933513898158, 0.0032055485590095022, 0.0029820617139669453, 0.0029297388587247422, 0.002113388531569411, 0.001862911308093835, 0.0015184561713061824, 0.0012245597767500977, 0.0009875080943725215, 0.0007134510953435177, 0.0009436291676706796, 0.0005737288163922137]",2,0,True
AR-S3,1,2,PERM,0.0,0.0,False,0.9997043238514692,0.017195236216195977,6.001184535447098e-16,2,2,2,"[0.6584491808649809, 0.004466790413824287, 0.0040197900108508286, 0.003659414544926554, 0.003434972952390039, 0.003248113490888495, 0.002832268502677207, 0.0024931948484900562, 0.002300807719165422, 0.0022303653247346296, 0.0020059220787944326, 0.0009906855108042347]",2,0,True
AR-S3,2,0,PERM,0.0,0.0,False,0.9999469506979181,0.007283495183076726,3.9154571692289584e-16,1,1,2,"[0.046912465918555246, 0.0014411512623960798, 0.0014223638270398928, 0.0012165574984438518, 0.0011829386753585208, 0.0011184550887360313, 0.0009134284595412094, 0.0007928176949989135, 0.0006988699647582141, 0.0006190461003654444, 0.0005895065089605172, 0.00041087830439526875]",1,0,True
AR-S3,2,1,PERM,0.0,0.0,False,0.9997285954069121,0.01647436168984786,9.508305870257954e-16,2,2,2,"[0.5433735362445041, 0.004400807214588547, 0.004221078958169018, 0.0033876511935132395, 0.0030958381114847464, 0.0027492728417394985, 0.00249493377900269, 0.0022389977120741383, 0.002038257881920992, 0.0018678158895807338, 0.0016683622099377383, 0.0012183254448004887]",2,0,True
AR-S3,2,2,PERM,0.0,0.0,False,0.999726588992118,0.016535144628399244,5.730805298982071e-16,2,2,2,"[0.6797122459325277, 0.004485219264195324, 0.004124588680071894, 0.003568231069257213, 0.003378682315040939, 0.0030108453362775772, 0.0025109791405537717, 0.002020823211770661, 0.0017644883500882056, 0.0015880613864602136, 0.0015770565913141668, 0.0014656128662665384]",2,0,True
AR-S3,3,0,PERM,0.0,0.0,False,0.9999413497883121,0.007658342620168189,4.626896946251419e-16,1,1,2,"[0.04601306218340016, 0.00152801733902559, 0.0013774577727706941, 0.0013087263921875317, 0.0012008011164159579, 0.0011269429373431867, 0.0008898401988885995, 0.0007588455103442099, 0.0006073607160757972, 0.0005555318042558172, 0.0005263871259518918, 0.0004683359617181403]",1,0,True
AR-S3,3,1,PERM,0.0,0.0,False,0.9997325850016698,0.016352828450460835,1.1770939700464811e-15,2,2,2,"[0.5913594990008533, 0.003944827263008826, 0.003835541683896362, 0.0032333767796868633, 0.0030040925500228553, 0.002330546264806502, 0.002251491803318491, 0.0018431820425900932, 0.0018501204287182048, 0.0013548412179882543, 0.0009705013288722857, 0.0008379027448760047]",2,0,True
AR-S3,3,2,PERM,0.0,0.0,False,0.9996895388131883,0.017619908819617135,5.210889244538478e-16,2,2,2,"[0.7122801123955322, 0.003723060331061526, 0.0031463710823491225, 0.0028838621508079513, 0.0028674343167661267, 0.0027112183667477347, 0.0025323395402347204, 0.0022329907179830613, 0.001890649505904608, 0.001648778342417161, 0.0016252009027679672, 0.0011712322285805817]",2,0,True
AR-S3,4,0,PERM,0.0,0.0,False,0.9999315371970029,0.008274225220352205,3.8068914535314525e-16,1,1,2,"[0.04470800538537758, 0.0013763563576388875, 0.0013145035401612142, 0.0012098077150973425, 0.0009957546501599725, 0.0008653303426153626, 0.0007909497000907588, 0.0007016139733600177, 0.000497287418404912, 0.0004302700237455209, 0.00039678490387409245, 0.0003957830892632273]",1,0,True
AR-S3,4,1,PERM,0.0,0.0,False,0.9997212449002524,0.016695960581757846,1.0541114516607792e-15,2,2,2,"[0.6003854788176501, 0.003897096177753824, 0.003483222120456904, 0.00302818551075494, 0.0024092770829638277, 0.002319764773009966, 0.0021764227027010635, 0.0019561398953766864, 0.0014563358695869504, 0.0013516182864074956, 0.0012440353170486004, 0.0011434176724229668]",2,0,True
AR-S3,4,2,PERM,0.0,0.0,False,0.9997060807463618,0.0171440734260631,5.151317653337435e-16,2,2,2,"[0.6768849342575797, 0.004553421316555176, 0.00390679890506955, 0.0033547091120730128, 0.0025265336024307273, 0.0019031720996903936, 0.0016821501026735223, 0.001561505099413247, 0.001382284416749178, 0.0012588665905063651, 0.0010312936151145673, 0.000826089573487677]",2,0,True
AR-S4U,0,0,PERM,0.0,0.0,False,0.9996015674925443,0.01996077421984787,5.929414744810092e-16,5,6,7,"[0.612713160574399, 0.3959560537672326, 0.2406924778420327, 0.11960818598753017, 0.050382634582136335, 0.02191058349287555, 0.008730868547142515, 0.004854247584853516, 0.004350655528030323, 0.0037420248586633987, 0.0027493504184411947, 0.0024597486486758104]",5,1,True
AR-S4U,0,1,PERM,0.0,0.0,False,0.999634864273522,0.01910852496866334,1.088054152785518e-15,4,5,6,"[0.6680018462065656, 0.3148229528802101, 0.19147630612662894, 0.08594870760201796, 0.0385482922236707, 0.01618411514176664, 0.010591606573678322, 0.00744516492460204, 0.007188865450269739, 0.006835583342660389, 0.006227813517129467, 0.006040129883756327]",5,0,True
AR-S4U,0,2,PERM,0.0,0.0,False,0.9993262995911453,0.025955739420304654,5.269437567144559e-16,5,6,7,"[0.6099377248362978, 0.4308241656759103, 0.2522814195515288, 0.11333981663715223, 0.05244173307956037, 0.02142834675571191, 0.011518912141518895, 0.009753991008765653, 0.009127413531177601, 0.00798564015416516, 0.007567171778616238, 0.006132931619448547]",5,1,True
AR-S4U,1,0,PERM,0.0,0.0,False,0.999489721769371,0.02258933887100232,5.048868524434221e-16,5,6,7,"[0.6176809894648265, 0.4047812856040827, 0.22932653747541293, 0.12207543138780197, 0.05117634580514792, 0.02171050708215736, 0.011062741070918345, 0.005985246425142298, 0.00529338428389389, 0.0048477389469035025, 0.004585473418082469, 0.004120434419539219]",5,1,True
AR-S4U,1,1,PERM,0.0,0.0,False,0.9996854235498159,0.017736303171293537,1.3186194893853608e-15,4,5,6,"[0.7203234592728389, 0.3275150926827817, 0.20292234231546757, 0.08866880681821178, 0.041566426180502325, 0.017216698308267116, 0.009788512099960631, 0.006287761745564868, 0.005943946389661945, 0.005351593032088411, 0.005290228386233849, 0.005131483673401933]",5,0,True
AR-S4U,1,2,PERM,0.0,0.0,False,0.9995797696133627,0.020499521619717624,4.357483185634697e-16,5,6,7,"[0.6361004561521979, 0.39088751249051923, 0.22913634228286728, 0.10050719211343005, 0.05137925181020142, 0.02166369863829828, 0.010358442482522327, 0.006815302541365033, 0.00588697212425094, 0.0050708800275759, 0.004663732669071127, 0.004331231575645959]",5,1,True
AR-S4U,2,0,PERM,0.0,0.0,False,0.9995708194976985,0.02071667208557876,6.713453116863334e-16,5,6,7,"[0.6218257959956186, 0.40446004506459043, 0.23845069716755296, 0.1156219464386555, 0.05238630845412659, 0.022587598310092185, 0.011196615297128738, 0.007458715272904045, 0.007175482133484917, 0.007009141831440783, 0.0059477241012228154, 0.005633893629406115]",5,1,True
AR-S4U,2,1,PERM,0.0,0.0,False,0.9997146038870343,0.01689367079606394,9.783411967138794e-16,4,5,6,"[0.726340482779135, 0.32352027814283973, 0.2036183488301554, 0.08498275883168899, 0.04156792563355683, 0.017158300207457074, 0.008934039005036856, 0.004947820036771582, 0.00466687382619697, 0.004317396265126516, 0.004093118428626979, 0.003957038839530304]",5,0,True
AR-S4U,2,2,PERM,0.0,0.0,False,0.9989348984245583,0.03263589397337996,6.295413891883367e-16,5,6,7,"[0.6006253811447775, 0.3849175617388063, 0.2272573617266267, 0.10805461944809655, 0.05164696353109398, 0.02232256921945609, 0.014007944810888422, 0.0112355415438042, 0.009677496619296292, 0.009099446960604086, 0.008598067119988704, 0.008219245845008489]",5,1,True
AR-S4U,3,0,PERM,0.0,0.0,False,0.9996415778028072,0.018932041548466,4.2591370003903745e-16,5,6,7,"[0.5908446173660902, 0.3880426797130465, 0.2258539918469387, 0.11347988769402255, 0.05176412476163657, 0.023233891234547503, 0.008809015545397543, 0.004797607509556387, 0.0046748013869087205, 0.004370857964404988, 0.0041986545196402315, 0.003956254478453547]",5,1,True
AR-S4U,3,1,PERM,0.0,0.0,False,0.9997458212676347,0.015942983797436843,1.188216936548185e-15,4,5,6,"[0.7283664135888442, 0.341227924759775, 0.21869565691266785, 0.09098759937114718, 0.0412322530526754, 0.01783703898805883, 0.00910237697526484, 0.005027310960518231, 0.0047692423976174346, 0.00444675978070577, 0.00445458426272175, 0.004105868092153386]",5,0,True
AR-S4U,3,2,PERM,0.0,0.0,False,0.9995201574377733,0.021905308996375772,5.076788077384959e-16,5,6,7,"[0.6450768747981548, 0.4066655662019024, 0.23845413639551918, 0.10995505397480254, 0.054093013522129155, 0.021872117425337557, 0.010556703009258215, 0.007437227421475372, 0.006676525899748748, 0.006451031165869819, 0.006174232808275174, 0.005629094418695328]",5,1,True
AR-S4U,4,0,PERM,0.0,1e-05,False,0.9996202542817285,0.019487065409432215,5.02640574736543e-16,5,6,7,"[0.6162266493724254, 0.3903592025571968, 0.22548679246773878, 0.11372268848466205, 0.05241430546004113, 0.021861043536937567, 0.009349360717572993, 0.004877225789580841, 0.004591954808278989, 0.003963883750305275, 0.0035383901668011616, 0.0031956983179881973]",5,1,True
AR-S4U,4,1,PERM,0.0,0.0,False,0.9997085702332655,0.01707131414784519,1.032498093010867e-15,4,5,6,"[0.7549649512616291, 0.3360645652831772, 0.20474161012588665, 0.09207600500247173, 0.042189505379818415, 0.017592104798547267, 0.010414795804241043, 0.005762801579438822, 0.005457915413176355, 0.005374613578934215, 0.0051556538032180264, 0.0048871317067389584]",5,0,True
AR-S4U,4,2,PERM,0.0,0.0,False,0.9994512174131644,0.023426109084427823,5.882340022711664e-16,5,6,7,"[0.6187186846794218, 0.3993616833677218, 0.2553069215232104, 0.11999105576898737, 0.0553063283725371, 0.020205268232682143, 0.011691285979010391, 0.008852880634049433, 0.007904713926983132, 0.00766415739497693, 0.006774188674468461, 0.006256024448525135]",5,1,True
