scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,surface_nrmse,domain_lower,domain_upper
AR-S3,1,0,discrete_identity,64,24,9.753293707850674e-05,-4.467411914119744,4.780628086959977
AR-S3,1,1,cubic_bspline,32,16,0.01648820154849992,-4.3347064790584895,4.843539839746676
AR-S3,1,1,discrete_identity,64,16,0.0012939590262279008,-4.3347064790584895,4.843539839746676
AR-S3,1,1,cubic_bspline,32,20,0.01644249505672823,-4.3347064790584895,4.843539839746676
AR-S3,1,1,discrete_identity,64,20,0.000410857502394352,-4.3347064790584895,4.843539839746676
AR-S3,1,1,cubic_bspline,32,24,0.01643782865827041,-4.3347064790584895,4.843539839746676
AR-S3,1,1,discrete_identity,64,24,0.00012382452765590343,-4.3347064790584895,4.843539839746676
AR-S3,1,2,cubic_bspline,32,16,0.015540959554015306,-4.039000552347212,4.053828964164553
AR-S3,1,2,discrete_identity,64,16,0.00015993156160570664,-4.039000552347212,4.053828964164553
AR-S3,1,2,cubic_bspline,32,20,0.015540212512721025,-4.039000552347212,4.053828964164553
AR-S3,1,2,discrete_identity,64,20,4.848854851567122e-05,-4.039000552347212,4.053828964164553
AR-S3,1,2,cubic_bspline,32,24,0.015540149169052081,-4.039000552347212,4.053828964164553
AR-S3,1,2,discrete_identity,64,24,1.9537475979782728e-05,-4.039000552347212,4.053828964164553
AR-S3,2,0,cubic_bspline,32,16,0.0077203552610957,-4.407578855833937,4.529240028542886
AR-S3,2,0,discrete_identity,64,16,0.0008101260655966555,-4.407578855833937,4.529240028542886
AR-S3,2,0,cubic_bspline,32,20,0.007681536484650232,-4.407578855833937,4.529240028542886
AR-S3,2,0,discrete_identity,64,20,0.00024165574166295215,-4.407578855833937,4.529240028542886
AR-S3,2,0,cubic_bspline,32,24,0.007678166453873417,-4.407578855833937,4.529240028542886
AR-S3,2,0,discrete_identity,64,24,8.144159759176284e-05,-4.407578855833937,4.529240028542886
AR-S3,2,1,cubic_bspline,32,16,0.016449785902392506,-4.381179318229322,4.1332490099661525
AR-S3,2,1,discrete_identity,64,16,0.0007365772587981334,-4.381179318229322,4.1332490099661525
AR-S3,2,1,cubic_bspline,32,20,0.01643534837615575,-4.381179318229322,4.1332490099661525
AR-S3,2,1,discrete_identity,64,20,0.00026008916350168774,-4.381179318229322,4.1332490099661525
AR-S3,2,1,cubic_bspline,32,24,0.016433538114556775,-4.381179318229322,4.1332490099661525
AR-S3,2,1,discrete_identity,64,24,9.016700700488401e-05,-4.381179318229322,4.1332490099661525
AR-S3,2,2,cubic_bspline,32,16,0.015469952874527062,-4.859696472143043,5.053447684452796
AR-S3,2,2,discrete_identity,64,16,0.00021146206123390905,-4.859696472143043,5.053447684452796
AR-S3,2,2,cubic_bspline,32,20,0.015468629736695085,-4.859696472143043,5.053447684452796
AR-S3,2,2,discrete_identity,64,20,6.136781458939366e-05,-4.859696472143043,5.053447684452796
AR-S3,2,2,cubic_bspline,32,24,0.015468526869444112,-4.859696472143043,5.053447684452796
AR-S3,2,2,discrete_identity,64,24,2.4134738640890043e-05,-4.859696472143043,5.053447684452796
AR-S3,3,0,cubic_bspline,32,16,0.007810060843062849,-4.088237378040108,4.096902322163306
AR-S3,3,0,discrete_identity,64,16,0.000555492645246393,-4.088237378040108,4.096902322163306
AR-S3,3,0,cubic_bspline,32,20,0.007791911000903545,-4.088237378040108,4.096902322163306
AR-S3,3,0,discrete_identity,64,20,0.00015933395634425306,-4.088237378040108,4.096902322163306
AR-S3,3,0,cubic_bspline,32,24,0.007790470905270283,-4.088237378040108,4.096902322163306
AR-S3,3,0,discrete_identity,64,24,5.4279662779797394e-05,-4.088237378040108,4.096902322163306
AR-S3,3,1,cubic_bspline,32,16,0.016446270948936734,-4.047922229626901,4.281113142675546
AR-S3,3,1,discrete_identity,64,16,0.0006860927465849654,-4.047922229626901,4.281113142675546
AR-S3,3,1,cubic_bspline,32,20,0.01643370591284151,-4.047922229626901,4.281113142675546
AR-S3,3,1,discrete_identity,64,20,0.00023975196567831885,-4.047922229626901,4.281113142675546
AR-S3,3,1,cubic_bspline,32,24,0.01643216573062698,-4.047922229626901,4.281113142675546
AR-S3,3,1,discrete_identity,64,24,8.275755232332403e-05,-4.047922229626901,4.281113142675546
AR-S3,3,2,cubic_bspline,32,16,0.015530461495431538,-4.258390977256904,3.9300586486037954
AR-S3,3,2,discrete_identity,64,16,0.00015971253530629897,-4.258390977256904,3.9300586486037954
AR-S3,3,2,cubic_bspline,32,20,0.015529715553886178,-4.258390977256904,3.9300586486037954
AR-S3,3,2,discrete_identity,64,20,4.828031368383644e-05,-4.258390977256904,3.9300586486037954
AR-S3,3,2,cubic_bspline,32,24,0.015529652670579765,-4.258390977256904,3.9300586486037954
AR-S3,3,2,discrete_identity,64,24,1.9421537159502092e-05,-4.258390977256904,3.9300586486037954
AR-S3,4,0,cubic_bspline,32,16,0.007807760262482764,-4.366381614835827,3.9993204059692293
AR-S3,4,0,discrete_identity,64,16,0.0008578158962759428,-4.366381614835827,3.9993204059692293
AR-S3,4,0,cubic_bspline,32,20,0.007762882266224287,-4.366381614835827,3.9993204059692293
