scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,surface_nrmse,domain_lower,domain_upper
AR-S1,2,2,cubic_bspline,32,16,0.002356955887557812,-2.3669960129718848,2.312013011057594
AR-S1,2,2,discrete_identity,64,16,0.002337395884465065,-2.3669960129718848,2.312013011057594
AR-S1,2,2,cubic_bspline,32,20,0.0007657515451177289,-2.3669960129718848,2.312013011057594
AR-S1,2,2,discrete_identity,64,20,0.0007032449341584576,-2.3669960129718848,2.312013011057594
AR-S1,2,2,cubic_bspline,32,24,0.0004112906732885504,-2.3669960129718848,2.312013011057594
AR-S1,2,2,discrete_identity,64,24,0.0002780970841161797,-2.3669960129718848,2.312013011057594
AR-S1,3,0,cubic_bspline,32,16,0.003980977304038759,-2.326804680537102,2.3631348952527333
AR-S1,3,0,discrete_identity,64,16,0.0009179371476474258,-2.326804680537102,2.3631348952527333
AR-S1,3,0,cubic_bspline,32,20,0.003883196911453274,-2.326804680537102,2.3631348952527333
AR-S1,3,0,discrete_identity,64,20,0.0002713577453872114,-2.326804680537102,2.3631348952527333
AR-S1,3,0,cubic_bspline,32,24,0.003874813995252937,-2.326804680537102,2.3631348952527333
AR-S1,3,0,discrete_identity,64,24,9.273238253291908e-05,-2.326804680537102,2.3631348952527333
AR-S1,3,1,cubic_bspline,32,16,0.0007721047578592245,-2.3280646473944784,2.262073526523283
AR-S1,3,1,discrete_identity,64,16,1.2988739155026285e-15,-2.3280646473944784,2.262073526523283
AR-S1,3,1,cubic_bspline,32,20,0.0007721047578592172,-2.3280646473944784,2.262073526523283
AR-S1,3,1,discrete_identity,64,20,1.0890686239512315e-15,-2.3280646473944784,2.262073526523283
AR-S1,3,1,cubic_bspline,32,24,0.0007721047578592232,-2.3280646473944784,2.262073526523283
AR-S1,3,1,discrete_identity,64,24,1.970503223706564e-15,-2.3280646473944784,2.262073526523283
AR-S1,3,2,cubic_bspline,32,16,0.0010484782404520073,-2.4435492940513197,2.1917242862147535
AR-S1,3,2,discrete_identity,64,16,0.0010037353617209325,-2.4435492940513197,2.1917242862147535
AR-S1,3,2,cubic_bspline,32,20,0.0004285420354830635,-2.4435492940513197,2.1917242862147535
AR-S1,3,2,discrete_identity,64,20,0.00030302846032357727,-2.4435492940513197,2.1917242862147535
AR-S1,3,2,cubic_bspline,32,24,0.0003265850808689666,-2.4435492940513197,2.1917242862147535
AR-S1,3,2,discrete_identity,64,24,0.00012180221495064308,-2.4435492940513197,2.1917242862147535
AR-S1,4,0,cubic_bspline,32,16,0.0041484308041778275,-2.257957250031499,2.292153837567368
AR-S1,4,0,discrete_identity,64,16,0.001484562856933645,-2.257957250031499,2.292153837567368
AR-S1,4,0,cubic_bspline,32,20,0.003888678621583355,-2.257957250031499,2.292153837567368
AR-S1,4,0,discrete_identity,64,20,0.00034093816758457626,-2.257957250031499,2.292153837567368
AR-S1,4,0,cubic_bspline,32,24,0.0038751913151454515,-2.257957250031499,2.292153837567368
AR-S1,4,0,discrete_identity,64,24,0.00010734789155581732,-2.257957250031499,2.292153837567368
AR-S1,4,1,cubic_bspline,32,16,0.0007721047578592388,-2.2906900525016143,2.279082864773441
AR-S1,4,1,discrete_identity,64,16,1.891569576671292e-15,-2.2906900525016143,2.279082864773441
AR-S1,4,1,cubic_bspline,32,20,0.0007721047578592532,-2.2906900525016143,2.279082864773441
AR-S1,4,1,discrete_identity,64,20,2.0181428092406022e-15,-2.2906900525016143,2.279082864773441
AR-S1,4,1,cubic_bspline,32,24,0.0007721047578592345,-2.2906900525016143,2.279082864773441
