direction,edf,mean_mse,se_mse,fold_0_mse,fold_0_lambda,fold_0_attained_df,fold_1_mse,fold_1_lambda,fold_1_attained_df,fold_2_mse,fold_2_lambda,fold_2_attained_df,fold_3_mse,fold_3_lambda,fold_3_attained_df
sheet2_to_sheet1,25.395302105230638,0.0333777656432744,0.005323022242638741,0.04368351228713848,1.0384542701675605,25.395302105230797,0.04132718533834338,1.1771364262347137,25.395302105235412,0.022859751855632323,1.2342626330171118,25.395302105251126,0.025641202722938367,1.3694183800011894,25.39530210524001
sheet2_to_sheet1,25.536315411196036,0.03336647559269541,0.0053264885092330185,0.04352695898557654,1.013510925155102,25.53631541119629,0.04149436428348809,1.1495540999352616,25.536315411202967,0.022839979643192353,1.2053498730098995,25.536315411224603,0.02560561616007083,1.3369295373643002,25.536315411209422
sheet2_to_sheet1,25.606822064178733,0.033361529274146755,0.0053288146945194076,0.043449824064369987,1.0013047845560485,25.606822064179052,0.04157913986248453,1.1360523038315107,25.606822064187032,0.02283000704821077,1.1911975679608007,25.606822064212306,0.025588377308843155,1.3210297925188488,25.606822064194656
sheet2_to_sheet1,25.67732871716143,0.03335704014166447,0.005331532550562826,0.04337343425898204,0.9892718420738845,25.67732871716183,0.041664692300195365,1.1227392417644473,25.67732871717133,0.0228199766382338,1.177243572836351,25.67732871720079,0.02557150367309696,1.3053548591126807,25.677328717180323
sheet2_to_sheet1,25.74783537014413,0.033353001819382756,0.005334639253536523,0.0432977778392448,0.9774092961656438,25.747835370144635,0.041751011141168554,1.1096118538503588,25.7478353701559,0.022809888351744433,1.163484659792769,25.747835370190128,0.025554991993839288,1.2899010926091856,25.74783537016646
sheet2_to_sheet1,25.818342023126828,0.03334940800116091,0.005338131938612764,0.043222843311454394,0.9657143966117153,25.81834202312745,0.0418380858944958,1.0966671371918206,25.818342023140776,0.02279974216986326,1.1499176611603545,25.818342023180445,0.025538839046944074,1.2746649148945,25.81834202315317
sheet2_to_sheet1,25.853595349618175,0.03334777582933715,0.005340022117929374,0.0431856432295365,0.9599289685411431,25.853595349618864,0.041881903450522735,1.090262357459944,25.853595349633338,0.022794647373578704,1.1432051559902026,25.853595349676006,0.025530896099976115,1.2671273215001977,25.853595349646753
sheet2_to_sheet1,25.888848676109525,0.03334625245004767,0.005342007699805413,0.04314861941682664,0.9541844434348036,25.8888486761103,0.041925906035175646,1.0839021446603736,25.888848676125995,0.022789538115005465,1.1365394681652292,25.88884867617186,0.02552304164253922,1.259642812920255,25.88884867614051
sheet2_to_sheet1,25.924102002600875,0.033344837094396076,0.0053440883145465645,0.04311177050241665,0.9484804914728312,25.924102002601725,0.04197009232773377,1.0775861389210544,25.924102002618753,0.022784414403180922,1.129920218086462,25.924102002668022,0.025515275281150728,1.2522109599725395,25.92410200263444
sheet2_to_sheet1,25.959355329092226,0.033343528997742865,0.00534626358987823,0.04307509512987362,0.9428167858450404,25.959355329093167,0.04201446100552437,1.0713139837085681,25.959355329111617,0.022779276249559402,1.1233470296815824,25.959355329164524,0.025507596624391997,1.2448313373773983,25.95935532912857
sheet2_to_sheet1,25.994608655583576,0.033342327399688426,0.0053485331509462285,0.04303859195718499,0.9371930027193458,25.99460865558462,0.04205901074396922,1.0650853257925574,25.9946086556046,0.022774123667972067,1.1168195303675446,25.99460865566136,0.02550000528288915,1.237503523717874,25.99460865562291
sheet2_to_sheet1,26.029861982074923,0.03334123154405601,0.005350896620318517,0.04300225965670239,0.931608821210556,26.02986198207608,0.04210374021663178,1.058899815210585,26.029861982097678,0.022768956674587157,1.110337351013634,26.029861982158558,0.025492500869293857,1.2302271014003519,26.02986198211746
sheet2_to_sheet1,26.06511530856627,0.03334024067887463,0.0053533536179879064,0.04296609691508431,0.9260639233495532,26.065115308567545,0.042148648095265015,1.0527571052334066,26.0651153085909,0.02276377528787062,1.1039001259049817,26.065115308656143,0.025485082998264148,1.223001656615678,26.065115308612246
sheet2_to_sheet1,26.10036863505762,0.03333935405636201,0.005355903761375776,0.04293010243323764,0.9205579940528352,26.100368635059024,0.04219373304985967,1.046656852330676,26.10036863508426,0.02275857952854704,1.0975074927065007,26.10036863515415,0.025477751286445176,1.2158267793007038,26.10036863510728
sheet2_to_sheet1,26.13562196154897,0.03333857093290725,0.0053585466653367966,0.042894274926258046,0.915090721092433,26.13562196155052,0.042238993748693304,1.0405987161370525,26.135621961577762,0.02275336941956093,1.0911590924272643,26.135621961652586,0.025470505352450046,1.2087020631002856,26.13562196160258
sheet2_to_sheet1,26.17087528804032,0.033337890569053764,0.005361281942164622,0.04285861312336934,0.909661795066188,26.170875288042026,0.04228442885837969,1.034582359418721,26.170875288071418,0.02274814498603841,1.084854569385289,26.170875288151475,0.025463344816840684,1.2016271053297027,26.170875288098163
sheet2_to_sheet1,26.20612861453167,0.03333731222948191,0.005364109201598573,0.04282311576786147,0.9042709093683838,26.206128614533547,0.04233003704391898,1.0286074480403036,26.206128614565234,0.022742906255249176,1.0785935711727506,26.20612861465085,0.025456269302108703,1.1946015069375127,26.206128614594046
sheet2_to_sheet1,26.24138194102302,0.03333683518299167,0.005367028050831288,0.042787781617027724,0.8989177601607324,26.241381941025082,0.04237581696874816,1.0226736509321805,26.241381941059224,0.02273765325656887,1.0723757486216128,26.241381941150735,0.025449278432656354,1.1876248724688234,26.241381941090243
sheet2_to_sheet1,26.276635267514365,0.03333645870248532,0.005370038094517335,0.042752609442100534,0.8936020463437057,26.276635267516635,0.04242176729479217,1.0167806400581954,26.27663526755339,0.02273238602144178,1.0662007557696505,26.27663526765115,0.025442371834777402,1.1806968100289847,26.276635267586773
sheet2_to_sheet1,26.311888594005715,0.0333361820649499,0.00537313893478277,0.0427175980281865,0.8883234695282184,26.311888594008206,0.04246788668251533,1.0109280903837448,26.311888594047762,0.022727104583343923,1.0600682498268856,26.31188859415215,0.025435549136638227,1.1738169312476907,26.311888594083666
sheet2_to_sheet1,26.347141920497066,0.03333600455143986,0.0053763301712356605,0.04268274617420009,0.8830817340076365,26.347141920499805,0.04251417379097339,1.0051156798442553,26.347141920542327,0.02272180897774639,1.0539778911424202,26.347141920653744,0.025428809968258824,1.1669848512434857,26.347141920580942
sheet2_to_sheet1,26.374073065503463,0.033335935285279235,0.005378828714471163,0.04265622849478604,0.8791020446507063,26.37407306550639,0.042549646166047464,1.0007022393299956,26.37407306555133,0.02271775397269157,1.0493534593182017,26.37407306566839,0.025423717752322637,1.1617975746568119,26.37407306559214
sheet2_to_sheet1,26.382395246988416,0.03333592544705944,0.005379611400977526,0.042648052692796576,0.8778765467301356,26.382395246991408,0.042560627277865914,0.9993430893140306,26.382395247037113,0.022716499242079212,1.0479293431716554,26.382395247155966,0.025422153961493946,1.1602001885886792,26.382395247078627
sheet2_to_sheet1,26.39074012336085,0.03333592104881346,0.005380401234907368,0.042639863391290334,0.8766497356696348,26.39074012336391,0.04257164757029084,0.9979824433150408,26.390740123410392,0.02271524030129988,1.0465036643031325,26.390740123531074,0.02542059053905343,1.1586010785174048,26.390740123452616
sheet2_to_sheet1,26.417648573479767,0.033335944040945094,0.0053829822186156956,0.04261351641030357,0.87270761727137,26.41764857348305,0.042607245799589064,0.9936100025754708,26.417648573532137,0.022711175415695395,1.0419222724438932,26.417648573658862,0.02541558075001423,1.1534625652746469,26.417648573576734
sheet2_to_sheet1,26.452901899971117,0.03333605962624786,0.005386442216276598,0.042579136166651974,0.867574657807487,26.452901899974698,0.042654028011288786,0.9879161062886631,26.452901900027392,0.022705837539835443,1.0359563485303376,26.45290190016245,0.025409089969287486,1.1467716066775298,26.45290190007529
sheet2_to_sheet1,26.488155226462467,0.033336271500115706,0.0053899909836199415,0.04254491081530553,0.8624773830884459,26.488155226466397,0.04270097256691445,0.9822610899613253,26.48815522652292,0.022700485657592185,1.0300312440124484,26.48815522666678,0.025402681256559943,1.1401269415243154,26.488155226574328
sheet2_to_sheet1,26.523408552953814,0.033336578963675735,0.005393628107853785,0.042510839223189684,0.8574155104116687,26.523408552958095,0.042748078119272725,0.9766446459191155,26.523408553018694,0.022695119813875907,1.0241466344506864,26.523408553171883,0.025396354250837666,1.1335282018593071,26.523408553073878
sheet2_to_sheet1,26.55866187944516,0.033336981322016394,0.005397353173750473,0.04247692027061925,0.8523887595959828,26.55866187944983,0.04279534332008182,0.9710664692762814,26.558661879514766,0.022689740055379954,1.0183021983536136,26.558661879677793,0.025390108592867982,1.1269750230109576,26.558661879573965
sheet2_to_sheet1,26.59391520593651,0.03333747788416965,0.005401165763663461,0.042443152851225366,0.847396852955897,26.593915205941613,0.04284276682002609,0.9655262579066721,26.593915206011154,0.02268434643054662,1.0124976171473603,26.593915206184565,0.025383943925120996,1.1204670435590909,26.59391520607462
sheet2_to_sheet1,26.62916853242786,0.03333806796309305,0.005405065457544965,0.04240953587188124,0.8424395152761639,26.629168532433418,0.042890347268810795,0.9600237124150851,26.629168532507855,0.02267893898953332,1.006732575145448,26.62916853269225,0.02537785989177123,1.114003905302475,26.629168532575882
sheet2_to_sheet1,26.664421858919212,0.033338750875651815,0.005409051832964461,0.042376068252627186,0.8375164737866477,26.664421858925266,0.04293808331521732,0.95455853610895,26.664421859004893,0.022673517784179257,1.0010067595189713,26.664421859200885,0.025371856138679316,1.107585253226772,26.66442185907779
sheet2_to_sheet1,26.699675185410563,0.033339525942600756,0.005413124465128013,0.04234274892659465,0.8326274581374943,26.69967518541715,0.04298597360715851,0.9491304349703467,26.69967518550229,0.02266808286797235,0.9953198602671173,26.699675185710515,0.025365932313373744,1.1012107354728358,26.699675185580357
sheet2_to_sheet1,26.734928511901913,0.033340392488566295,0.0054172829268983955,0.042309576839929364,0.8277722003745778,26.73492851190908,0.04303401679173424,0.9437391176283617,26.73492851200006,0.022662634296016518,0.9896715701880369,26.73492851222119,0.02536008806503279,1.0948800033053647,26.734928512083652
sheet2_to_sheet1,26.770181838393263,0.033341349842028245,0.005421526788816008,0.04227655095171363,0.82295043491526,26.77018183840105,0.04308221151528727,0.9383842953317572,26.770181838498235,0.022657172124999354,0.9840615848500527,26.77018183873297,0.025354323044466467,1.088592711081912,26.770181838587696
sheet2_to_sheet1,26.80543516488461,0.03334239733530174,0.005425855619120605,0.04224367023388779,0.8181618985244086,26.80543516489307,0.04313055642345926,0.9330656819219745,26.805435164996815,0.02265169641316011,0.9784896025632027,26.8054351652459,0.025348636904098578,1.0823485162222324,26.805435165092522
sheet2_to_sheet1,26.840688491375957,0.03334353430451894,0.0054302689837737355,0.04221093367117077,0.8134063302907175,26.840688491385134,0.043179050161246915,0.9277829938064401,26.84068849149584,0.022646207220258043,0.9729553243511196,26.840688491760034,0.025343029297948957,1.0761470791779684,26.840688491598197
sheet2_to_sheet1,26.875941817867307,0.033344760089610785,0.005434766446481971,0.042178340260979844,0.8086834716032903,26.875941817877266,0.043227691373058395,0.9225359499321988,26.875941817995344,0.022640704607541147,0.967458453923222,26.87594181827544,0.025337499881615697,1.069988063402682,26.875941818104764
sheet2_to_sheet1,26.911195144358658,0.033346074034288624,0.005439347568720852,0.04214588901334964,0.8039930661285074,26.911195144369454,0.0432764787027697,0.9173242717598517,26.911195144495316,0.022635188637715124,0.9619986976472443,26.911195144792188,0.02533204831225757,1.0638711353222132,26.911195144612268
