scenario,seed,partition,r2_y_x_truth,r2_y_ar_truth,r2_y_xar_truth,r2_x_self,target_variance,x_variance_ratio,ar_variance_ratio,process_variance_ratio,noise_variance_ratio,active_contribution_variances
AR-S2,4,test,0.23531329551916536,0.9460699871305227,0.9873323248441419,1.0,7.720289716468625,0.04311809286459606,0.762235136245882,0.005200728252883818,0.007569835976401133,"[0.10748175031362307, 0.08032137767113, 0.10352020583234368, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S3,0,train,0.2219424063217511,0.914068594432931,0.9820827364678879,1.0,4.846727611737385,0.06686750360098515,0.7586645305738784,0.008329459412061624,0.009650691572404103,"[0.09607990437912088, 0.11238284729329909, 0.12337349703001456, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S3,0,validation,0.19121004687496113,0.9005209505736738,0.9761731133739034,1.0,3.683802311890032,0.08099670012933942,0.7585296145577735,0.010695455561641738,0.012437831753188435,"[0.08046529740249318, 0.08861273404662291, 0.10147127406505628, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S3,0,test,0.22414460459037333,0.9167862519464692,0.9839472746470826,1.0,5.322950135629768,0.06675798823230114,0.7571177929487982,0.0073363808765408555,0.008395134540308746,"[0.10411182135280415, 0.10874050021796913, 0.14074624788963233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S3,1,train,0.1740234609539265,0.9199851926694177,0.9818268733603385,1.0,4.945211694622134,0.0610993390208999,0.7577653004485463,0.008190574244926006,0.010315798628831878,"[0.09561506873389207, 0.10343148526164807, 0.13107822175030492, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S3,1,validation,0.23219022196119232,0.9287947611954323,0.9858725856582974,1.0,6.336509848903815,0.057405828435031635,0.7576193943593368,0.006208780613821644,0.008007234268039195,"[0.09928416016035727, 0.10445730741970063, 0.14859905826452843, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S3,1,test,0.18741805655135202,0.8765572261478439,0.9744768538563697,1.0,3.6282998407430433,0.09943073989423508,0.7638034398236995,0.011078903083503388,0.01380120933837023,"[0.09441520454640676, 0.1163416284655509, 0.12209171909351899, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S3,2,train,0.22710709701806264,0.915749709294991,0.982797612827639,1.0,5.420167234113543,0.06538866824482036,0.7534389039450612,0.007392650675891094,0.010007155829509992,"[0.09882917563723699, 0.11153281527158675, 0.14886983990085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S3,2,validation,0.18692486696345179,0.9097907947024332,0.977476878767362,1.0,4.325723751155041,0.0681050158694015,0.7596572402236264,0.009585058465120496,0.012473406079995548,"[0.10623555278196718, 0.10511029425703694, 0.1044436961209382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S3,2,test,0.15804541102437764,0.9210377796866964,0.9827447567846583,1.0,5.40645440365169,0.05821776689483283,0.7555198682175129,0.007413243245612507,0.009073031948061923,"[0.09992120299489576, 0.11353944983098628, 0.12178920329895353, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
