scenario,seed,variable,truth_class,rank_010,rank_005,rank_002,sigma_1_to_12,tail_1_to_12,cumulative_1_to_12,tail_beyond_rank_max
AR-S2,1,0,near_rank1,1,1,1,"[0.02516093689709385, 5.432392248759452e-07, 4.788141719864694e-18, 7.003352789776072e-19, 6.449604145398233e-19, 6.062405119877743e-19, 5.703473468552456e-19, 5.22672599251713e-19, 4.506879724563386e-19, 3.6278689067455888e-19, 3.3668740243684133e-19, 2.8184829490646695e-19]","[2.159058015093525e-05, 2.0058865997550164e-16, 6.341519651059437e-17, 5.698019696223704e-17, 5.088881546257792e-17, 4.482327520734271e-17, 3.8668969022731737e-17, 3.261539938219664e-17, 2.7256504333714495e-17, 2.313048618765055e-17, 1.8866869314107135e-17, 1.5181501199391712e-17]","[0.9999999995338468, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999]",1.5181501199391712e-17
AR-S2,1,1,near_rank1,1,1,1,"[0.026264771917705612, 9.545975126423921e-07, 6.224230818709641e-18, 8.0553688994729895e-19, 7.532604061709614e-19, 6.799770275191145e-19, 6.419647437387689e-19, 5.5701853781735395e-19, 5.282477826235449e-19, 3.8602176683129076e-19, 3.1404619515243025e-19, 2.774800587496254e-19]","[3.6345166636241784e-05, 2.4652527223041965e-16, 6.793449958352105e-17, 6.061729038617657e-17, 5.340358074845998e-17, 4.6708518074441135e-17, 3.980291553909386e-17, 3.3682346784035595e-17, 2.701835616761975e-17, 2.2671134615931102e-17, 1.926167251363328e-17, 1.6105857350490334e-17]","[0.9999999986790289, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.6105857350490334e-17
AR-S2,1,2,near_rank1,1,1,1,"[0.022336884117496486, 4.3605226535463787e-07, 4.354651091218275e-18, 8.08561747071758e-19, 6.034090792496691e-19, 5.074773327414436e-19, 4.604480071824142e-19, 4.1938535378770954e-19, 3.8830509989518047e-19, 3.2605795424676804e-19, 3.0520894065439783e-19, 2.301685689867827e-19]","[1.9521624546101737e-05, 2.0576783585209992e-16, 6.582994243916863e-17, 5.498408648275601e-17, 4.789042055889463e-17, 4.2158366924642717e-17, 3.677498133680897e-17, 3.16208984782424e-17, 2.6413569716320126e-17, 2.2013537135798722e-17, 1.725959636308776e-17, 1.3846033960349255e-17]","[0.9999999996189061, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999]",1.3846033960349255e-17
AR-S2,2,0,near_rank1,1,1,1,"[0.025394811695843757, 2.7708704784340906e-07, 7.988895369809785e-18, 8.577806746497186e-19, 6.571106396374335e-19, 5.944102645372572e-19, 4.879196161956532e-19, 4.208788112025646e-19, 3.830666561180791e-19, 3.4857004368033446e-19, 3.4199266011092246e-19, 2.921184599509439e-19]","[1.0911167648951868e-05, 3.208147961946873e-16, 6.290241099023374e-17, 5.306386771319173e-17, 4.632729114734842e-17, 3.9979263223147314e-17, 3.5059782523003374e-17, 3.089514832410446e-17, 2.696237545653444e-17, 2.3207018042057626e-17, 1.889986301844045e-17, 1.4996134658546022e-17]","[0.9999999998809465, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.4996134658546022e-17
AR-S2,2,1,near_rank1,1,1,1,"[0.02827382524268272, 1.8354321543410036e-06, 6.4484923903170045e-18, 9.592283756631055e-19, 9.306884439570807e-19, 8.17444225591832e-19, 7.024083927446695e-19, 5.838930198751965e-19, 4.90563847511433e-19, 4.1383259266963616e-19, 3.618634012962787e-19, 3.0157015207155923e-19]","[6.49163010211589e-05, 2.3909368787182247e-16, 7.175346011415365e-17, 6.322626175768153e-17, 5.398179103354462e-17, 4.5586704541311255e-17, 3.822263603280166e-17, 3.216350611971728e-17, 2.708233183058569e-17, 2.2786459122795507e-17, 1.8852595291860322e-17, 1.5545277026439644e-17]","[0.9999999957858738, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.5545277026439644e-17
AR-S2,2,2,near_rank1,1,1,1,"[0.02232643452798129, 1.0330087894092572e-06, 5.923457164629276e-18, 6.945885913505699e-19, 5.632945426248657e-19, 5.088991157245719e-19, 4.605246131781465e-19, 4.1291547260203023e-19, 3.192682205563467e-19, 2.898283021879579e-19, 2.5479196695125563e-19, 1.86554263778738e-19]","[4.626841724364416e-05, 2.719867805807214e-16, 5.988890028488435e-17, 5.117432418841214e-17, 4.4522597889246134e-17, 3.824545668462132e-17, 3.220631791506876e-17, 2.636667709627322e-17, 2.2152006604810428e-17, 1.794978379335777e-17, 1.3854899432658104e-17, 1.1051676875427602e-17]","[0.9999999978592337, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.1051676875427602e-17
AR-S2,3,0,near_rank1,1,1,1,"[0.025452304951876534, 2.1941373568579446e-07, 8.005372557323428e-18, 8.439537540045864e-19, 6.936770156249963e-19, 6.198750620854799e-19, 5.964246048150142e-19, 4.5427359041989e-19, 3.5639200966456504e-19, 3.425267441114728e-19, 3.1330433912653597e-19, 2.4787982518303907e-19]","[8.62058411183168e-06, 3.2108467886197844e-16, 6.457346923600146e-17, 5.540996067746294e-17, 4.8243999088567813e-17, 4.1645500456200935e-17, 3.4427327102276065e-17, 2.9439574606895234e-17, 2.589638637693724e-17, 2.2125009284839655e-17, 1.83845866914939e-17, 1.5593108702888264e-17]","[0.9999999999256856, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.5593108702888264e-17
AR-S2,3,1,near_rank1,1,1,1,"[0.026106608655393517, 1.3279269391637959e-06, 7.64865668237908e-18, 8.391297419395364e-19, 7.587783080565044e-19, 7.262355851698864e-19, 6.390937414322586e-19, 5.920897532230063e-19, 5.165974243063917e-19, 4.346784307003871e-19, 3.5634063595777066e-19, 2.9232539107491214e-19]","[5.0865547301624575e-05, 3.0145493630502995e-16, 7.098654452244321e-17, 6.329260576189382e-17, 5.622457286935182e-17, 4.886059072572296e-17, 4.228568904673559e-17, 3.56890911494311e-17, 2.9700951299417515e-17, 2.4595114887103478e-17, 2.0460019911913317e-17, 1.712399750629333e-17]","[0.9999999974126961, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.712399750629333e-17
AR-S2,3,2,near_rank1,1,1,1,"[0.02246998856416229, 5.930958382859002e-07, 5.1717954049505505e-18, 7.337562332965423e-19, 6.238827971948187e-19, 5.549637287159119e-19, 5.075713406313329e-19, 3.6799459655589256e-19, 3.543816478180851e-19, 2.758051902236887e-19, 2.5086533174645227e-19, 2.332842449296279e-19]","[2.6395021803670754e-05, 2.3882224280682143e-16, 6.372072941233858e-17, 5.471732765941334e-17, 4.714956958703562e-17, 4.016330185675769e-17, 3.320895047554377e-17, 2.888984292424053e-17, 2.4205125777865986e-17, 2.0862111507275512e-17, 1.7623350606146848e-17, 1.4240639084636993e-17]","[0.9999999993033029, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.4240639084636993e-17
AR-S2,4,0,near_rank1,1,1,1,"[0.025195422035957104, 7.208647335636563e-07, 5.520172536057091e-18, 8.51707422417204e-19, 6.473585900246132e-19, 5.971460629969926e-19, 5.898434256463358e-19, 3.977645544724682e-19, 3.5285166477957397e-19, 3.2638452626800986e-19, 3.0211044482856844e-19, 2.4980966226463807e-19]","[2.861094099713213e-05, 2.279593485801534e-16, 6.29536859939523e-17, 5.310793229929905e-17, 4.647898990897425e-17, 3.9982234930533583e-17, 3.241167156873554e-17, 2.830691677942195e-17, 2.459985518565934e-17, 2.091276271542665e-17, 1.7133798342371646e-17, 1.3973623020110638e-17]","[0.999999999181414, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.3973623020110638e-17
