scenario,seed,variable,truth_class,rank_010,rank_005,rank_002,sigma_1_to_12,tail_1_to_12,cumulative_1_to_12,tail_beyond_rank_max,tail_curve_max_abs_error,normalized_spectrum_l1_distance,estimated_tail_after_rank1,task_spectrum_pass,task_class_pass,seed_gate_pass
AR-S1,3,1,near_rank1,1,1,1,"[0.025702712304171413, 8.943541744674397e-08, 5.2392226654316834e-08, 4.713013034177582e-08, 4.136837517093962e-08, 3.7467854778635515e-08, 2.970102810742432e-08, 2.879103822839723e-08, 2.6164253508722012e-08, 2.0227013583616792e-08, 1.8730540436242445e-08, 1.7330614417080367e-08]","[5.513642642172747e-06, 4.2769812609585e-06, 3.7599897647781875e-06, 3.282560052071044e-06, 2.8608963306026165e-06, 2.4616506335294443e-06, 2.1735695892246466e-06, 1.8627012897011367e-06, 1.5599422524453818e-06, 1.3468902531670113e-06, 1.1327199282476835e-06, 9.101713895956207e-07]","[0.9999999999695998, 0.9999999999817074, 0.9999999999858624, 0.9999999999892247, 0.9999999999918152, 0.9999999999939402, 0.9999999999952754, 0.9999999999965302, 0.9999999999975665, 0.9999999999981858, 0.9999999999987168, 0.9999999999991714]",9.101713895956207e-07,5.668437097145017e-05,7.712970321280043e-09,5.513642642172747e-06,True,True,True
AR-S1,3,2,near_rank1,1,1,1,"[0.018771595454399666, 6.867374147634339e-08, 5.491439011409452e-08, 5.243634357944568e-08, 5.0713005297338836e-08, 4.239533501513382e-08, 3.9697728934466125e-08, 3.6480053636709e-08, 3.434769996139563e-08, 3.098374644305213e-08, 2.944497033981087e-08, 2.743341924431734e-08]","[8.215427000860712e-06, 7.355912784258827e-06, 6.749185040451446e-06, 6.1439794880269315e-06, 5.518146281692246e-06, 5.034798062477839e-06, 4.569125943250125e-06, 4.135244371399377e-06, 3.7083942883382647e-06, 3.320816461852131e-06, 2.9270021863832796e-06, 2.536051441527005e-06]","[0.9999999999325065, 0.9999999999458903, 0.9999999999544482, 0.9999999999622512, 0.9999999999695497, 0.9999999999746504, 0.9999999999791227, 0.9999999999828996, 0.9999999999862477, 0.999999999988972, 0.9999999999914325, 0.9999999999935683]",2.536051441527005e-06,3.1925711779079426e-05,3.1958543168135325e-09,8.215427000860712e-06,True,True,True
AR-S1,4,0,near_rank1,1,1,1,"[0.027791434449429005, 9.17050976429306e-08, 7.462341438957249e-08, 6.058370877249198e-08, 5.75678696001603e-08, 4.892739091837242e-08, 4.6017313551510264e-08, 4.100750863328686e-08, 3.677574896767515e-08, 3.169976350599735e-08, 3.071876455497763e-08, 2.7633736936844082e-08]","[6.484065681438505e-06, 5.581638079721661e-06, 4.893342332393023e-06, 4.380942029589563e-06, 3.8602916870990784e-06, 3.435464942557893e-06, 3.0101021876967606e-06, 2.623639172277327e-06, 2.2654849613274038e-06, 1.957392066457486e-06, 1.615433271395642e-06, 1.2731618506363789e-06]","[0.999999999957957, 0.9999999999688454, 0.9999999999760553, 0.9999999999808075, 0.9999999999850983, 0.9999999999881977, 0.9999999999909394, 0.9999999999931165, 0.9999999999948675, 0.9999999999961686, 0.9999999999973904, 0.9999999999983791]",1.2731618506363789e-06,5.581638079501425e-06,1.5461651529536652e-10,6.484065681438505e-06,True,True,True
AR-S1,4,1,near_rank1,1,1,1,"[0.025436979475029542, 3.6133989775163946e-08, 3.341717259093818e-08, 2.7877264269846718e-08, 2.6403713484718843e-08, 2.4036024352701083e-08, 2.090089791520995e-08, 1.8760697812214948e-08, 1.58641405556718e-08, 1.4368511184761228e-08, 1.3793863071424092e-08, 1.27329175424175e-08]","[3.1363752961912527e-06, 2.7962376180933984e-06, 2.4684152496770357e-06, 2.211786911096156e-06, 1.9530864878731777e-06, 1.7092877390393228e-06, 1.4988385000247036e-06, 1.3048206521659595e-06, 1.1461237070046115e-06, 9.972586345158315e-07, 8.369358048503158e-07, 6.707413970296271e-07]","[0.9999999999901632, 0.9999999999921811, 0.999999999993907, 0.999999999995108, 0.9999999999961855, 0.9999999999970783, 0.9999999999977535, 0.9999999999982976, 0.9999999999986865, 0.9999999999990056, 0.9999999999992997, 0.9999999999995502]",6.707413970296271e-07,4.363511139004349e-05,4.371108109834924e-09,3.1363752961912527e-06,True,True,True
AR-S1,4,2,near_rank1,1,1,1,"[0.018701994735300834, 7.615944319696591e-08, 5.841565352181096e-08, 5.180608305731591e-08, 4.7892733316417735e-08, 4.645730046028787e-08, 4.460541335894643e-08, 4.0003526649833446e-08, 3.5845492134223977e-08, 3.327993992484309e-08, 2.985495139776833e-08, 2.798945126219479e-08]","[8.584750297647995e-06, 7.5574209130891144e-06, 6.881741613749253e-06, 6.299603655773597e-06, 5.75561703142431e-06, 5.19196117562627e-06, 4.611717795588529e-06, 4.085661414833502e-06, 3.608187582399704e-06, 3.138860749083828e-06, 2.702611645553891e-06, 2.250397919049827e-06]","[0.9999999999263022, 0.9999999999428855, 0.9999999999526417, 0.999999999960315, 0.9999999999668728, 0.9999999999730435, 0.999999999978732, 0.9999999999833075, 0.9999999999869811, 0.9999999999901477, 0.999999999992696, 0.9999999999949357]",2.250397919049827e-06,2.221903741897706e-05,1.8645801093688422e-09,8.584750297647995e-06,True,True,True
AR-S2,0,0,near_rank1,1,1,1,"[0.025225634595873483, 6.836112712982126e-07, 4.0798595826673887e-07, 3.5284783802126554e-07, 3.271227255957423e-07, 2.843049593401097e-07, 2.525383886677725e-07, 2.3588694983472336e-07, 2.1838956550900322e-07, 1.9464249607873325e-07, 1.612533796186092e-07, 1.5437169498381625e-07]","[4.4013873949888526e-05, 3.468167330376316e-05, 3.067959325385419e-05, 2.7305357466463948e-05, 2.40295010260573e-05, 2.1222470304469747e-05, 1.8712816598806105e-05, 1.620884916489244e-05, 1.3703117264874866e-05, 1.1324215183932649e-05, 9.347435385846164e-06, 7.0657346964543904e-06]","[0.9999999980627788, 0.9999999987971815, 0.9999999990587625, 0.9999999992544174, 0.999999999422583, 0.9999999995496067, 0.9999999996498304, 0.9999999997372732, 0.9999999998122245, 0.9999999998717621, 0.9999999999126254, 0.9999999999500754]",7.0657346964543904e-06,3.4681673303555205e-05,3.5398872664857462e-09,4.4013873949888526e-05,True,True,True
AR-S2,0,1,near_rank1,1,1,1,"[0.02743646355885916, 1.5747493774914021e-06, 1.1465231948544682e-06, 9.052144558847534e-07, 8.360696141938775e-07, 6.847138936784124e-07, 6.215639130418405e-07, 5.811523113038666e-07, 5.072339692229727e-07, 3.8581428563532036e-07, 3.565949882702997e-07, 3.4461674265058193e-07]","[9.82641292710691e-05, 7.975909184665132e-05, 6.793563613361665e-05, 5.938606645759089e-05, 5.0971610079058104e-05, 4.444418752916731e-05, 3.823678761275516e-05, 3.183371482043577e-05, 2.5915141913944644e-05, 2.1768140359478067e-05, 1.7462154160459324e-05, 1.2130940401482782e-05]","[0.999999990344161, 0.9999999936384874, 0.9999999953847494, 0.9999999964732952, 0.999999997401895, 0.9999999980247143, 0.9999999985379482, 0.9999999989866146, 0.9999999993284054, 0.999999999526148, 0.9999999996950731, 0.9999999998528403]",1.2130940401482782e-05,7.975909184641362e-05,1.3981650103867784e-08,9.82641292710691e-05,True,True,True
AR-S2,0,2,near_rank1,1,1,1,"[0.022495377326671576, 7.894993765432952e-07, 7.274624919077623e-07, 6.727339164092426e-07, 5.828943919625151e-07, 5.421711161086561e-07, 4.826596692994363e-07, 4.275410356311057e-07, 4.027294358277492e-07, 3.6396866137686387e-07, 3.247849378762051e-07, 2.962530219613888e-07]","[8.070053803171262e-05, 7.266940618195571e-05, 6.507746376229732e-05, 5.779914872587677e-05, 5.166549403526435e-05, 4.569949223771338e-05, 4.034954578513241e-05, 3.559309102629549e-05, 3.076295117440837e-05, 2.6164406737146173e-05, 2.1820279532790267e-05, 1.7397950851675764e-05]","[0.999999993487423, 0.9999999947191572, 0.9999999957649235, 0.9999999966592582, 0.9999999973306766, 0.9999999979115562, 0.999999998371914, 0.9999999987331317, 0.9999999990536407, 0.9999999993154237, 0.9999999995238753, 0.9999999996973112]",1.7397950851675764e-05,7.266940618167314e-05,1.056168549987124e-08,8.070053803171262e-05,True,True,True
AR-S2,1,0,near_rank1,1,1,1,"[0.025160902039260025, 4.372156615988419e-07, 3.8868933148779757e-07, 3.610059028958313e-07, 3.5599169795152644e-07, 2.880728394216265e-07, 2.675227427036255e-07, 2.388989806465571e-07, 2.1787852504015866e-07, 1.9496613113403677e-07, 1.7536240029892905e-07, 1.6467447789690852e-07]","[3.9605151055800746e-05, 3.55895381830721e-05, 3.206197062656995e-05, 2.8672425053201396e-05, 2.4938422114531074e-05, 2.215491220621017e-05, 1.943683467370786e-05, 1.6959904874743038e-05, 1.4582627356700559e-05, 1.2353522973459472e-05, 1.019968941992815e-05, 7.822948658645038e-06]","[0.9999999984314322, 0.999999998733385, 0.9999999989720302, 0.9999999991778922, 0.9999999993780753, 0.9999999995091601, 0.9999999996222096, 0.9999999997123619, 0.9999999997873472, 0.9999999998473907, 0.9999999998959667, 0.9999999999388018]",7.822948658645038e-06,3.558953818287151e-05,2.5332302213182216e-09,3.9605151055800746e-05,True,True,True
AR-S2,1,1,near_rank1,1,1,1,"[0.026264791108817805, 9.856912824458685e-07, 8.899203284780526e-07, 8.076945077753656e-07, 7.086568370433609e-07, 5.680548628651914e-07, 4.967506357066197e-07, 4.677898119908323e-07, 4.5759987218202027e-07, 3.9729260281011104e-07, 3.5868502158693934e-07, 3.2097720929657127e-07]","[8.068901384599764e-05, 7.143032481983493e-05, 6.288289403321707e-05, 5.485046654315306e-05, 4.7755480863135104e-05, 4.2577172711839936e-05, 3.814586982741969e-05, 3.37326616146248e-05, 2.8885063617432007e-05, 2.4607680235029942e-05, 2.047041859911677e-05, 1.642223088031034e-05]","[0.9999999934892831, 0.9999999948977087, 0.9999999960457416, 0.9999999969914263, 0.9999999977194141, 0.9999999981871843, 0.9999999985448925, 0.9999999988621076, 0.9999999991656531, 0.999999999394462, 0.999999999580962, 0.9999999997303104]",1.642223088031034e-05,7.143032481958841e-05,1.0379491561884092e-08,8.068901384599764e-05,True,True,True
