scenario,seed,variable,rank,validation_contribution_r2,empirical_operator_nrmse,normalized_excess_rmse,core_surface_nrmse,modal_gains,refit_intercept
AR-S4U,0,1,12,0.9998975103406486,0.010123717664548448,0.0,0.009815350294111184,"[1.000000897786825, 1.000000248684616, 1.0000292721854618, 1.0001643492323857, 1.0005941474397275, 1.0013105748135895, 1.0032451111814842, 1.0054294674302193, 1.0146147694502192, 1.0252240704090818, 1.0354283234757422, 1.1090588454639543]",0.4205500968664333
AR-S4U,0,2,1,0.6433240690960366,0.5972235183781393,0.5969714601315803,0.5963418159953835,[0.9988578123385086],-0.00014853748949525134
AR-S4U,0,2,2,0.8646718614837461,0.36786973036151527,0.36746038129834013,0.36597563039734027,"[0.9995831308735352, 1.0001597635036514]",-0.00015511981544438807
AR-S4U,0,2,3,0.9439723333403919,0.2367016405934021,0.23606494862066174,0.23577566045127038,"[0.9992709970503632, 1.0003140417083394, 1.0004042869614729]",-0.00015557983477803788
AR-S4U,0,2,4,0.9905986763379688,0.09696042317374215,0.09539558149987212,0.09750836078268106,"[1.0000653295019115, 1.0000364864477116, 0.9997982498608857, 1.001429465156857]",-0.00016045050724732522
AR-S4U,0,2,5,0.9977716151913314,0.04720577092547736,0.043901914722893766,0.0476708162970715,"[0.999977873385882, 0.9999707327923933, 0.9998072142187426, 1.0007610189478182, 1.0010683915126142]",-0.00015999452072688693
AR-S4U,0,2,6,0.9994052110891066,0.024388294546633525,0.017140076387255322,0.02420669107142881,"[0.9999643906939473, 1.000013122953884, 1.000071592090399, 1.0001960211506153, 1.0008685236245685, 1.0023486047196524]",-0.00015862498459613689
AR-S4U,0,2,7,0.9996658278192853,0.018280376930325092,0.005758948548333693,0.018166150717467685,"[0.9999902406597232, 1.0000144736322, 1.0000976306129672, 1.0000727580297817, 1.0005525840873684, 1.0013318350033478, 1.005273711399578]",-0.0001591704307132183
AR-S4U,0,2,8,0.9997027751322224,0.017240210781124782,0.0,0.017040398305046153,"[1.000008725237335, 1.0000164551099957, 1.0000516839979157, 1.0001442247252263, 1.000727093994201, 1.0014817036191563, 1.0040434576855366, 1.0034949077802422]",-0.00015923143720773754
AR-S4U,0,2,9,0.9997034142214246,0.01722166596399415,0.0,0.016948008650433253,"[0.999998843135489, 1.0000123268804002, 1.0000440536136954, 1.0001427431929149, 1.0007572545313448, 1.0014932846436266, 1.0037989160796927, 1.0035966840643336, 1.0059939214748843]",-0.00015920184957917658
AR-S4U,0,2,10,0.999702887177127,0.01723696095235614,0.0,0.016937592987830964,"[0.9999994847666314, 1.000012489084693, 1.0000525108629768, 1.000139641852277, 1.000750370727835, 1.0014020265898325, 1.0037300224243022, 1.0042443851828085, 1.0060570402011815, 1.001655011304189]",-0.00015920960337069778
AR-S4U,0,2,11,0.9997013056611647,0.017282775785023307,0.0,0.016944849690543058,"[1.000001838937343, 1.0000155452074042, 1.0000521588010405, 1.000132498414286, 1.0007561566079348, 1.0014144389553437, 1.003726136042956, 1.004175172049412, 1.0076476479516396, 0.9992391171249326, 1.0773001522436016]",-0.00015924682941989983
AR-S4U,0,2,12,0.9997003880415963,0.01730930265503658,0.0,0.016954963151747215,"[1.0000045093083776, 1.0000097522566946, 1.0000534903200637, 1.0001452135168254, 1.0007709108249938, 1.0014494550695154, 1.0042128253019973, 1.0042463714416914, 1.011088139367657, 1.0101577296094995, 1.0742177395604104, 1.3717691466009283]",-0.0001592806224999807
AR-S4U,1,0,1,0.7440920279557983,0.5058734743433398,0.5057234516828032,0.5082277553025528,[1.000616206372072],-0.015623264458990236
AR-S4U,1,0,2,0.9090153361855462,0.3016366420288719,0.30138497200792985,0.30006810931357597,"[1.0002554212164878, 1.0013924659224132]",-0.015621399220019686
AR-S4U,1,0,3,0.9677680185468382,0.17953267516851,0.17910951675142384,0.1773527850010765,"[1.0004007043209233, 1.0006618332911694, 0.9991027382456676]",-0.015622694883844653
