scenario,seed,variable,distribution,resolution_role,lag_basis_type,lag_basis_count,amplitude_basis_count,selected_lag_smoothing,selected_amplitude_smoothing,validation_contribution_mse,validation_contribution_r2,test_contribution_mse,test_contribution_r2,empirical_operator_nrmse,core_surface_nrmse,fit_surface_nrmse,e1b_projection_core_nrmse,estimator_to_projection_core_nrmse,kkt_relative_residual,design_condition_number,effective_rank,truth_rank_class,estimated_sigma1,estimated_sigma2,rank1_validation_mse,rank2_validation_mse,rank2_reducible_gap_capture,candidate_count,seed_gate_pass
AR-S1,3,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,3.4446945495023565e-16,0.9999999999999919,3.322348054657615e-16,0.9999999999999921,9.019856364188596e-08,6.317456149614133e-05,0.8681680651903889,6.599890118512185e-15,nan,4.837276526016407e-16,75.41718039385292,652.2918689645137,rank1,0.02570271411357695,1.4824949553609597e-10,3.16370445203871e-16,3.20118801444612e-16,nan,25,True
AR-S1,3,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,8.692319235476862e-11,0.9999999961411307,8.011042782782114e-11,0.9999999964397143,6.211979810082506e-05,7.176757332566067e-05,0.5535065597691347,5.83658398380795e-05,nan,5.521251701318759e-16,535.093141974208,668.2686942302645,rank1,0.018771595554883468,7.903947058753251e-08,7.890351114125954e-11,7.973734428497856e-11,nan,25,True
AR-S1,4,0,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.091099218323392e-10,0.9999999977938064,1.0045725828682313e-10,0.9999999979668688,4.6970134293679e-05,4.658083848168691e-05,0.624587434596676,4.494969445648664e-05,nan,4.4367688405050134e-16,138.22532377522364,643.0357816515808,rank1,0.02779143424979312,9.954768542645685e-08,1.01513289205599e-10,1.0223302939206283e-10,nan,25,True
AR-S1,4,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,5.421667184219647e-16,0.9999999999999869,5.915280697052076e-16,0.9999999999999857,1.1449511903894791e-07,4.7495725617454386e-05,0.8945906755125367,3.0746301719533515e-10,nan,5.464695585677794e-16,73.41339226069383,608.5050553865228,rank1,0.02543698048235559,2.4861885680719136e-10,5.079644651962061e-16,5.134489093589358e-16,nan,25,True
AR-S1,4,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.3798139538393741e-10,0.999999993815502,1.2559107681439364e-10,0.99999999442315,7.864157922419403e-05,8.15319414314032e-05,0.5563383573434973,7.479064677927694e-05,nan,5.16901292603282e-16,158.68870640249958,632.8331667484774,rank1,0.01870199434273619,8.217916200125108e-08,1.2932697901194914e-10,1.3008962715067714e-10,nan,25,True
AR-S2,0,0,SPACE,MOTHER,discrete_identity,64,28,0.0,1e-05,1.3247822804735056e-10,0.9999999967491605,1.279591423996555e-10,0.9999999968704121,5.7016133773440666e-05,5.693961041696088e-05,0.013361766850828578,5.461320091568118e-05,nan,5.024812462332949e-16,1217.5806995822336,618.58231091958,rank1,0.02522568188852196,8.2670748566515e-08,1.2345207901352124e-10,1.2396241135452535e-10,nan,25,True
AR-S2,0,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.024422105370398e-12,0.9999999999785416,9.986144830917054e-13,0.9999999999792127,4.632325395997417e-06,5.4200424392214015e-05,0.8802503805354107,1.5272858125126726e-13,nan,5.765020845563436e-16,3801.528612434303,568.9524667562797,rank1,0.02743641933630257,1.041512661756084e-08,9.510524253890112e-13,9.567829590415055e-13,nan,25,True
AR-S2,0,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,2.706736085527774e-10,0.9999999915821003,2.383772205137147e-10,0.9999999926447982,9.174911284606124e-05,0.00010478546068625682,0.5687409566951122,8.636764816562396e-05,nan,3.5452448965666917e-16,97801.55607836359,602.9304176395706,rank1,0.02249538649307682,1.662715269717363e-07,2.423951181239644e-10,2.464091048233124e-10,nan,25,True
AR-S2,1,0,SPACE,MOTHER,discrete_identity,64,28,0.0,1e-05,2.3326416909818644e-10,0.9999999942508405,2.3362338786685963e-10,0.999999994204783,7.582321190764345e-05,7.748603423899094e-05,0.016299147645882188,7.382851645050019e-05,nan,4.484910171572099e-16,52100.97023128712,579.5546099592971,rank1,0.025160937560782283,9.806199860323324e-08,2.1770914913790237e-10,2.1992651988103451e-10,nan,25,True
AR-S2,1,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.7302577012378707e-15,0.9999999999999605,1.7767317560753985e-15,0.99999999999996,1.989004790995867e-07,3.6829093286334064e-05,0.88425868878282,2.2615421398625656e-14,nan,4.88052601265364e-16,147.5580774614929,588.7632351606787,rank1,0.026264771798339415,5.017227305976591e-10,1.6195167963253075e-15,1.6302311418294044e-15,nan,25,True
AR-S2,1,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.0698909148666809e-10,0.999999996637015,1.0029334853377443e-10,0.9999999969028406,5.799124966170338e-05,5.974391848538811e-05,0.5644246229218127,5.553664780974195e-05,nan,4.132709625081827e-16,224.85510379297315,682.6760698075076,rank1,0.0223368825059702,8.008124739772637e-08,9.755104398761677e-11,9.887608015413532e-11,nan,25,True
AR-S2,2,0,SPACE,MOTHER,discrete_identity,64,28,0.0,1e-05,1.6642923345626862e-10,0.9999999959594295,1.5625577268770788e-10,0.9999999962315937,6.356548216657848e-05,6.249531671245451e-05,0.011418284691168288,6.076079896537972e-05,nan,5.003129240829386e-16,20871.9595735281,616.4576950385175,rank1,0.025394807969543246,9.38177349406171e-08,1.5355917998625508e-10,1.550399561500738e-10,nan,25,True
AR-S2,2,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.0079980353218665e-13,0.9999999999980111,1.244244208551983e-13,0.9999999999976071,1.4102500343462358e-06,6.715016848183411e-05,0.8734070303013606,2.7513312500117466e-12,nan,4.751709390118383e-16,43.69228517530769,664.5590379199322,rank1,0.02827382326361405,3.7069148839698534e-09,9.464907364930644e-14,9.512187782632576e-14,nan,25,True
AR-S2,2,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,5.982414144680757e-10,0.9999999813028734,5.894376153136875e-10,0.9999999814247386,0.00013673743685608546,0.00014463160743723543,0.5846098683637236,0.0001312805341639728,nan,4.3475998984955924e-16,105085.01983506526,556.9758755946012,rank1,0.022326446584092823,3.2638871449762333e-07,5.558856964038452e-10,5.637215406050422e-10,nan,25,True
AR-S2,3,0,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,6.911501291466619e-11,0.9999999983306479,6.91391864578316e-11,0.9999999983296711,4.085770511698502e-05,4.117165298545291e-05,0.5842124655155169,3.943794112442034e-05,nan,4.570153385855662e-16,209.79428865624035,676.6817397018326,rank1,0.025452306701381145,1.1448997871328688e-07,6.314153392075954e-11,6.364972462053989e-11,nan,25,True
AR-S2,3,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,3.8659660169151177e-16,0.9999999999999911,3.3768801018040557e-16,0.9999999999999923,9.419731695338568e-08,5.0740739635024626e-05,0.8681681133832152,6.6269304877852475e-15,nan,3.98944018562785e-16,75.41718039385292,652.2918689645137,rank1,0.026106608565840725,1.6220317562566e-10,3.548685137828408e-16,3.592710767476157e-16,nan,25,True
AR-S2,3,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.2070759446271223e-10,0.9999999962506566,1.1936992254497556e-10,0.9999999962960865,6.123188212179e-05,6.56799890904685e-05,0.5534993870944421,5.836583983807861e-05,nan,4.483015680770602e-16,535.093141974208,668.2686942302645,rank1,0.022469988730230085,1.759795262093774e-07,1.0947280523945261e-10,1.1001426190817443e-10,nan,25,True
AR-S2,4,0,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,9.304906315904849e-11,0.9999999977075891,8.446825700122305e-11,0.9999999979082421,4.787912858216403e-05,5.3869083860777625e-05,0.6245886526981207,4.494969445648564e-05,nan,4.693907306544405e-16,138.22532377522364,643.0357816515808,rank1,0.02519542433405908,7.175045464087123e-08,8.49073020195032e-11,8.637201919389522e-11,nan,25,True
AR-S2,4,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,6.177636666127015e-16,0.9999999999999853,6.14846790939696e-16,0.9999999999999856,1.21020388507098e-07,3.3593731323022474e-05,0.8945906883246177,3.074630186525827e-10,nan,4.2355214776485384e-16,73.41339226069383,608.5050553865228,rank1,0.02583669914063184,2.436530654410129e-10,5.790549393194384e-16,5.841495051870874e-16,nan,25,True
AR-S2,4,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.9506232513079e-10,0.9999999939406908,1.7986423815998473e-10,0.9999999943914735,7.784156482938308e-05,7.953301643138173e-05,0.5563384833862389,7.479064677926684e-05,nan,3.7179986972569893e-16,158.68870640249958,632.8331667484774,rank1,0.022386679830726643,1.1337771003815638e-07,1.8064394044660348e-10,1.8243119834260936e-10,nan,25,True
AR-S3,0,0,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,9.461200018311308e-11,0.9999999977340044,9.234353807347173e-11,0.999999997804006,4.76024747918974e-05,4.93491894071797e-05,0.5721681789087694,4.6023547617210844e-05,nan,4.929518514661429e-16,1217.5806995822336,618.58231091958,weak_rank2,0.025557268743472306,0.000883663473266842,5.0090749040015956e-05,8.801125231116743e-11,1.0000001317760356,25,True
AR-S3,0,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,4.967722034903504e-09,0.9999999027794148,4.675687159289155e-09,0.9999999068384129,0.0003118021571660636,0.0003042209854271979,0.8766580120644656,0.00027866789828266366,nan,4.813618831760282e-16,3801.528612434303,568.9524667562797,strong_rank2,0.023339023661405223,0.015799564579468805,0.01597679491833401,4.672138581834791e-09,1.0000000185008036,25,True
AR-S3,0,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.944529008894137e-10,0.9999999962723398,1.873364469926678e-10,0.9999999964575169,6.105456714741612e-05,7.567934448028714e-05,0.9667841155409677,5.7499713650067744e-05,nan,4.905702368866833e-16,97801.55607836359,602.9304176395706,strong_rank2,0.02322637638403418,0.016805628429574268,0.01800247695701857,1.8040965177353703e-10,1.0000000007800731,25,True
AR-S3,1,0,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.7074578369385586e-10,0.9999999958869157,1.7043341668224526e-10,0.9999999958941485,6.41333321967325e-05,6.654682033746322e-05,0.606857128011035,6.221522562482147e-05,nan,4.549660466885757e-16,52100.97023128712,579.5546099592971,weak_rank2,0.02548792847884548,0.0008856919045642305,5.14333129075374e-05,1.58495336217988e-10,1.0000002381819768,25,True
AR-S3,1,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,3.897523881756303e-09,0.9999999180903946,3.614126385025669e-09,0.9999999249356518,0.00028619854195990066,0.0002746664378395718,0.8796584419690985,0.00025177557975445666,nan,4.705780093457101e-16,147.5580774614929,588.7632351606787,strong_rank2,0.02240855132176139,0.015625527045134893,0.015580191059829043,3.524733672390125e-09,1.0000000239271971,25,True
AR-S3,1,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,7.81049009207138e-11,0.9999999986090862,7.011908840649148e-11,0.9999999987444734,3.72949575276254e-05,4.20008689467408e-05,0.9307741551200168,3.5665976995873266e-05,nan,4.0070368595822536e-16,224.85510379297315,682.6760698075076,strong_rank2,0.023842214011038452,0.01744891962339052,0.019488322825842428,7.324785697023512e-11,1.0000000002492284,25,True
AR-S3,2,0,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.2590141036593917e-10,0.9999999970152494,1.164266624244678e-10,0.9999999972755143,5.4632870480208465e-05,5.323447392978182e-05,0.5806170113864632,5.118601797055714e-05,nan,4.324400532858914e-16,20871.9595735281,616.4576950385175,weak_rank2,0.025738302094834697,0.0008790504457438213,4.969712506564396e-05,1.1681126936976319e-10,1.0000001829112652,25,True
AR-S3,2,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.6265600699530382e-09,0.9999999687918373,1.5719674350830534e-09,0.9999999708972281,0.00017665832209054586,0.00018018031672540453,0.8661473739670581,0.00015283481143281926,nan,4.592269363404181e-16,43.69228517530769,664.5590379199322,strong_rank2,0.024004686685841072,0.015925747718469697,0.016201176611480995,1.4990646013796587e-09,1.00000000786952,25,True
