regime,seed,selected_stages,truth_stages,exact_stage_vector,false_admission,folds_json
K_ONLY,20,K,K,1,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K"", ""rmse"": 0.010243914879203297, ""scores_json"": ""{\""A\"": 0.010243914879203297, \""C\"": 0.010243914879203297, \""K\"": 0.010243914879203297, \""W\"": 0.010243914879203297}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.010744935567188644, ""scores_json"": ""{\""A\"": 0.010744935567188644, \""C\"": 0.010744935567188644, \""K\"": 0.010744935567188644, \""W\"": 0.010744935567188644}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.010635091206503156, ""scores_json"": ""{\""A\"": 0.010635091206503156, \""C\"": 0.010635091206503156, \""K\"": 0.010635091206503156, \""W\"": 0.010635091206503156}""}]"
K_ONLY,21,K+W,K,0,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K+W"", ""rmse"": 0.010757686411969856, ""scores_json"": ""{\""A\"": 0.010757686411969856, \""C\"": 0.010760900224352608, \""K\"": 0.010760900224352608, \""W\"": 0.010757686411969856}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K+C"", ""rmse"": 0.009971729796832514, ""scores_json"": ""{\""A\"": 0.009971729796832514, \""C\"": 0.009971729796832514, \""K\"": 0.009985787717741819, \""W\"": 0.009971729796832514}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.010422626182128056, ""scores_json"": ""{\""A\"": 0.010422626182128056, \""C\"": 0.010422626182128056, \""K\"": 0.010422626182128056, \""W\"": 0.010422626182128056}""}]"
K_ONLY,22,K,K,1,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K"", ""rmse"": 0.009368205537016077, ""scores_json"": ""{\""A\"": 0.009368205537016077, \""C\"": 0.009368205537016077, \""K\"": 0.009368205537016077, \""W\"": 0.009368205537016077}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.009279235550362867, ""scores_json"": ""{\""A\"": 0.009279235550362867, \""C\"": 0.009279235550362867, \""K\"": 0.009279235550362867, \""W\"": 0.009279235550362867}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.010971436576202025, ""scores_json"": ""{\""A\"": 0.010971436576202025, \""C\"": 0.010971436576202025, \""K\"": 0.010971436576202025, \""W\"": 0.010971436576202025}""}]"
K_ONLY,23,K,K,1,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K"", ""rmse"": 0.009890617884212556, ""scores_json"": ""{\""A\"": 0.009890617884212556, \""C\"": 0.009890617884212556, \""K\"": 0.009890617884212556, \""W\"": 0.009890617884212556}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.010737050174633904, ""scores_json"": ""{\""A\"": 0.010737050174633904, \""C\"": 0.010737050174633904, \""K\"": 0.010737050174633904, \""W\"": 0.010737050174633904}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.009644544639117812, ""scores_json"": ""{\""A\"": 0.009644544639117812, \""C\"": 0.009644544639117812, \""K\"": 0.009644544639117812, \""W\"": 0.009644544639117812}""}]"
K_ONLY,24,K+C,K,0,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K+C"", ""rmse"": 0.010115870770036641, ""scores_json"": ""{\""A\"": 0.010115870770036641, \""C\"": 0.010115870770036641, \""K\"": 0.010128734393511536, \""W\"": 0.010115870770036641}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K+C"", ""rmse"": 0.010249971989973444, ""scores_json"": ""{\""A\"": 0.010249971989973444, \""C\"": 0.010249971989973444, \""K\"": 0.010277853506063295, \""W\"": 0.010249971989973444}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.011064974327465626, ""scores_json"": ""{\""A\"": 0.011064974327465626, \""C\"": 0.011064974327465626, \""K\"": 0.011064974327465626, \""W\"": 0.011064974327465626}""}]"
K_ONLY,25,K,K,1,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K"", ""rmse"": 0.00913999508013561, ""scores_json"": ""{\""A\"": 0.00913999508013561, \""C\"": 0.00913999508013561, \""K\"": 0.00913999508013561, \""W\"": 0.00913999508013561}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.010328163276525585, ""scores_json"": ""{\""A\"": 0.010328163276525585, \""C\"": 0.010328163276525585, \""K\"": 0.010328163276525585, \""W\"": 0.010328163276525585}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.010625634066265714, ""scores_json"": ""{\""A\"": 0.010625634066265714, \""C\"": 0.010625634066265714, \""K\"": 0.010625634066265714, \""W\"": 0.010625634066265714}""}]"
K_ONLY,26,K,K,1,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K"", ""rmse"": 0.010190340962254544, ""scores_json"": ""{\""A\"": 0.010190340962254544, \""C\"": 0.010190340962254544, \""K\"": 0.010190340962254544, \""W\"": 0.010190340962254544}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K+C"", ""rmse"": 0.010152832602314019, ""scores_json"": ""{\""A\"": 0.010152832602314019, \""C\"": 0.010152832602314019, \""K\"": 0.010153015528818112, \""W\"": 0.010152832602314019}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.009842285972788325, ""scores_json"": ""{\""A\"": 0.009842285972788325, \""C\"": 0.009842285972788325, \""K\"": 0.009842285972788325, \""W\"": 0.009842285972788325}""}]"
K_ONLY,27,K,K,1,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K"", ""rmse"": 0.01105446452315425, ""scores_json"": ""{\""A\"": 0.01105446452315425, \""C\"": 0.01105446452315425, \""K\"": 0.01105446452315425, \""W\"": 0.01105446452315425}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.011701903157739321, ""scores_json"": ""{\""A\"": 0.011701903157739321, \""C\"": 0.011701903157739321, \""K\"": 0.011701903157739321, \""W\"": 0.011701903157739321}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K+C"", ""rmse"": 0.010092090311978628, ""scores_json"": ""{\""A\"": 0.010092090311978628, \""C\"": 0.010092090311978628, \""K\"": 0.010115962347244111, \""W\"": 0.010092090311978628}""}]"
K_ONLY,28,K+W,K,0,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K+W"", ""rmse"": 0.009586773621395978, ""scores_json"": ""{\""A\"": 0.009586773621395978, \""C\"": 0.009592685869526746, \""K\"": 0.009592685869526746, \""W\"": 0.009586773621395978}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K+C+W"", ""rmse"": 0.009371902565232694, ""scores_json"": ""{\""A\"": 0.009371902565232694, \""C\"": 0.00944736851352454, \""K\"": 0.009473866577324179, \""W\"": 0.009371902565232694}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K+A"", ""rmse"": 0.010313336770406089, ""scores_json"": ""{\""A\"": 0.010313336770406089, \""C\"": 0.01031592069164455, \""K\"": 0.01031592069164455, \""W\"": 0.01031592069164455}""}]"
K_ONLY,29,K+W,K,0,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K+W"", ""rmse"": 0.010897230338735284, ""scores_json"": ""{\""A\"": 0.010897230338735284, \""C\"": 0.010913499684543852, \""K\"": 0.010913499684543852, \""W\"": 0.010897230338735284}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.00880385395530627, ""scores_json"": ""{\""A\"": 0.00880385395530627, \""C\"": 0.00880385395530627, \""K\"": 0.00880385395530627, \""W\"": 0.00880385395530627}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.009835709560997241, ""scores_json"": ""{\""A\"": 0.009835709560997241, \""C\"": 0.009835709560997241, \""K\"": 0.009835709560997241, \""W\"": 0.009835709560997241}""}]"
