task,Lx,Ly,horizon,fold,block,block_index,ridge_alpha,eigen_index,eigenvalue,trace,effective_rank,entropy_rank,lambda1_fraction,lambda10_over_lambda1,condition_estimate,coercive_dimension_1e-2,coercive_dimension_1e-3,coercive_dimension_1e-4
medium,256,32,15,1,埚转速度,4,0.0001,13,1.3754650714329786,55.215102145977625,20.608883696274532,28.62967758731549,0.10987453837563084,0.2832753020760408,1051.208211331916,49,55,56
medium,256,32,15,1,埚转速度,4,0.0001,14,1.287433141195813,55.215102145977625,20.608883696274532,28.62967758731549,0.10987453837563084,0.2832753020760408,1051.208211331916,49,55,56
medium,256,32,15,1,埚转速度,4,0.0001,15,1.2639027772886837,55.215102145977625,20.608883696274532,28.62967758731549,0.10987453837563084,0.2832753020760408,1051.208211331916,49,55,56
medium,256,32,15,1,埚转速度,4,0.0001,16,1.1655569070914746,55.215102145977625,20.608883696274532,28.62967758731549,0.10987453837563084,0.2832753020760408,1051.208211331916,49,55,56
medium,256,32,15,1,埚转速度,4,0.0001,17,1.1043291254947447,55.215102145977625,20.608883696274532,28.62967758731549,0.10987453837563084,0.2832753020760408,1051.208211331916,49,55,56
medium,256,32,15,1,埚转速度,4,0.0001,18,1.0439339325676067,55.215102145977625,20.608883696274532,28.62967758731549,0.10987453837563084,0.2832753020760408,1051.208211331916,49,55,56
medium,256,32,15,1,埚转速度,4,0.0001,19,1.0036594652549595,55.215102145977625,20.608883696274532,28.62967758731549,0.10987453837563084,0.2832753020760408,1051.208211331916,49,55,56
medium,256,32,15,1,埚转速度,4,0.0001,20,0.9198008595122238,55.215102145977625,20.608883696274532,28.62967758731549,0.10987453837563084,0.2832753020760408,1051.208211331916,49,55,56
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,1,37.87312699630762,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,2,36.364732064906285,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,3,12.696669118201218,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,4,12.063811835026227,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,5,10.698099120631525,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,6,7.802560358188849,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,7,7.017831548085353,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,8,6.999999999999959,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,9,6.559585965641025,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,10,5.638493481507191,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,11,5.220075546271562,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,12,4.446041994314179,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,13,4.279224966691215,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,14,3.81067763810341,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,15,3.373782673511924,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,16,3.1560568101633413,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,17,2.8175717299709775,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,18,2.7275019651841093,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,19,2.510545961512717,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,1,JOINT_EXTERNAL,joint,1e-08,20,2.323816058051924,221.58678898153488,13.686841894075148,28.17555858622139,0.17091780232197704,0.14887847739788973,683439818006.8053,56,98,139
medium,256,32,15,2,主加热功率,0,1e-08,1,16.662900708600606,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,2,7.00000000000001,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,3,6.7623854094417615,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,4,5.776528872848228,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,5,1.7015710158536157,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,6,1.1591645918698572,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,7,0.9429625697064571,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,8,0.5552930692042899,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,9,0.46026715735536317,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,10,0.4519943243951636,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,11,0.36809711192899647,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,12,0.15067995117312732,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,13,0.1206891774036422,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,14,0.10346334167848643,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,15,0.0940779622167817,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,16,0.07320104095621402,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,17,0.0661456708559105,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,18,0.04123365650795863,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,19,0.02471450687492157,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,主加热功率,0,1e-08,20,0.01511379137895913,42.61682216964225,4.410288326581089,6.359832339582117,0.3909935058571845,0.02712578873868374,7488073669.69324,11,19,32
medium,256,32,15,2,晶升速度,1,1e-08,1,12.97153274525445,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,2,7.8146091979290375,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
