scenario,seed,variable,distribution,rank,normalized_excess_rmse,validation_contribution_r2,empirical_operator_nrmse,modal_gains,refit_intercept
AR-S4U,0,1,NAT,11,0.0,0.9998119058107248,0.013714743500161778,"[1.000076439485456, 1.0000784966377605, 1.0003465156241635, 1.0018109079151285, 1.003401080928698, 1.0149488073028425, 1.0395364020380167, 1.085837149099557, 1.0793208449814489, 1.1243248390604912, 1.001928912493798]",0.009266907935230528
AR-S4U,0,1,NAT,12,0.0,0.9998118299982891,0.013717507124506116,"[1.0000661892674576, 1.0001239197039258, 1.0003974234253774, 1.0016262995099325, 1.0033577839390657, 1.012870470532997, 1.0392151003202394, 1.0757316048287686, 1.0448449180902912, 1.124832735204517, 1.0281384206396091, 1.0529259294220878]",0.009266930881378027
AR-S4U,0,2,NAT,1,0.48291522880193666,0.7663973700891806,0.48332455959822623,[0.9888650887554953],-0.0032695892334206884
AR-S4U,0,2,NAT,2,0.293845857670004,0.9132591002281873,0.29451808055162365,"[1.0057659555353027, 0.9670714333157616]",-0.0032180453013290495
AR-S4U,0,2,NAT,3,0.1808970010328782,0.9668807633153184,0.18198691349842058,"[0.9996964446188854, 0.9976899908413661, 0.9709623439755048]",-0.0033921382852639395
AR-S4U,0,2,NAT,4,0.08154992075960689,0.9929540987221094,0.08393986703522127,"[0.9995921895464741, 1.0004638622082873, 1.0003023681391545, 0.9743449334594965]",-0.0034295739309238194
AR-S4U,0,2,NAT,5,0.035486975710401235,0.998345162852937,0.04067968961365205,"[0.99976109401101, 1.0011465215273152, 1.000875819475598, 0.9943397908296773, 0.9815466291550708]",-0.0034702558520593035
AR-S4U,0,2,NAT,6,0.012639932918244074,0.9994447203938298,0.023564371542015992,"[0.999383809685679, 1.000142285103414, 1.0013257204226012, 1.000716245749835, 1.00380890092496, 1.0217987860047677]",-0.003465915991618845
AR-S4U,0,2,NAT,7,0.005086176798731253,0.9995786191035796,0.020527564308032622,"[0.9999532447146757, 0.9997701067197784, 1.0005066515157646, 1.0010791247352189, 1.0023739104717595, 1.014329229544259, 0.9965371857276474]",-0.003466564409942533
AR-S4U,0,2,NAT,8,0.0,0.9996116681240758,0.019706138026620412,"[0.9999810065267735, 0.9998791974277939, 1.000296199799877, 1.000701055337477, 1.0029901776213983, 1.0101743857204957, 1.0036514128655931, 0.999870928967086]",-0.003467688602112498
