direction,log10_lambda,lambda,effective_df,gcv,reml_diagnostic,rss,penalty_norm,target_energy,used_for_selection
sheet2_to_sheet1,-10.475592565378111,3.3450871318132775e-11,668.8015856178572,0.012068525463339317,-22159.818831865407,28.86155602131774,4806460.106471314,748.246766808388,0.0
sheet2_to_sheet1,-9.475592565378111,3.3450871318132775e-10,645.7458777556883,0.012187186367179676,-21742.409728612125,29.60483915662303,480215.6021718087,748.246766808388,0.0
sheet2_to_sheet1,-8.475592565378111,3.3450871318132774e-09,597.5168586869918,0.012330583971560819,-21174.706995951212,30.93746885956314,62127.019565612165,748.246766808388,0.0
sheet2_to_sheet1,-7.475592565378111,3.345087131813278e-08,529.4990001550741,0.01245329209232745,-20434.582412756303,32.674627909945656,10749.184866671008,748.246766808388,0.0
sheet2_to_sheet1,-6.475592565378111,3.3450871318132777e-07,443.09292360704353,0.012885782821567314,-19390.84802153564,35.73581929995023,1764.2290853854365,748.246766808388,0.0
sheet2_to_sheet1,-5.475592565378111,3.345087131813278e-06,336.6560171233668,0.013754917511659507,-17973.361613270186,40.75756576521735,248.68207430197782,748.246766808388,0.0
sheet2_to_sheet1,-4.475592565378111,3.345087131813278e-05,228.2220777783815,0.015102296659861009,-16204.454612019517,47.76862355459008,36.30790235084642,748.246766808388,0.0
sheet2_to_sheet1,-3.4755925653781112,0.00033450871318132776,145.2321765673914,0.017384690394521476,-14101.22173602841,57.723891579868024,5.8848205580641295,748.246766808388,0.0
sheet2_to_sheet1,-2.4755925653781112,0.003345087131813278,92.18107743192992,0.02184906302813897,-11591.807878646563,74.78923233483611,0.8770784669281528,748.246766808388,0.0
sheet2_to_sheet1,-1.4755925653781112,0.03345087131813278,57.98658756377008,0.0282525416349532,-8921.177053440237,98.60022725754514,0.14166682062768782,748.246766808388,0.0
sheet2_to_sheet1,-0.47559256537811123,0.33450871318132774,35.20985055669521,0.039117974086271726,-5963.085645636093,138.2790729276815,0.030201302547327676,748.246766808388,0.0
sheet2_to_sheet1,0.5244074346218888,3.3450871318132775,20.583556288615725,0.06217908274489801,-2481.512140978817,221.60316768182582,0.0058227983728213134,748.246766808388,0.0
sheet2_to_sheet1,1.5244074346218888,33.450871318132776,11.300899452117617,0.11259089075316464,1486.0384280888566,403.3493931262608,0.0007846819141781703,748.246766808388,0.0
sheet2_to_sheet1,2.5244074346218888,334.5087131813278,5.056774130396741,0.17139279655173584,4839.364793071478,616.1388579718968,3.857148463500655e-05,748.246766808388,0.0
sheet2_to_sheet1,3.5244074346218888,3345.0871318132777,1.798573307548085,0.19865058908532068,7215.092541964905,715.4209766131193,1.2393460091716776e-06,748.246766808388,0.0
sheet2_to_sheet1,4.524407434621889,33450.87131813278,1.0914063292447953,0.20652151993582288,9197.888048617877,744.0593498197262,1.7173719256547703e-08,748.246766808388,0.0
sheet2_to_sheet1,5.524407434621889,334508.71318132774,1.0092820366320092,0.2075546390781879,11058.026493939673,747.8155701870575,1.7858751031041472e-10,748.246766808388,0.0
sheet2_to_sheet1,6.524407434621889,3345087.1318132775,1.0009296502944067,0.207661350630302,12901.955905575807,748.2035179269623,1.7930150953448113e-12,748.246766808388,0.0
