baseline,candidate,direction,block_min,observed_relative_improvement,median_relative_improvement,lower_95,upper_95,positive_probability
LIN-UOI,FULL-UOI,sheet1_to_sheet2,40,-0.31471855683975514,-0.30127871913755944,-0.4541939704902041,-0.16207391746475736,0.0
LIN-UOI,FULL-UOI,sheet1_to_sheet2,60,-0.31471855683975514,-0.3029705984502421,-0.45694141219948664,-0.1619736267267706,0.0
LIN-UOI,FULL-UOI,sheet2_to_sheet1,10,0.0049332274896322584,0.0053938765689696975,-0.005566421361841374,0.014274425951205448,0.864
LIN-UOI,FULL-UOI,sheet2_to_sheet1,22,0.0049332274896322584,0.0050890187531208355,-0.00714398264802138,0.017337445192189462,0.83
LIN-UOI,FULL-UOI,sheet2_to_sheet1,40,0.0049332274896322584,0.0038773045253509865,-0.006648802611755848,0.016773304600564448,0.735
LIN-UOI,FULL-UOI,sheet2_to_sheet1,60,0.0049332274896322584,0.003597894051497039,-0.006691066467947042,0.016967205972353076,0.716
LIN-UOI,FULL-UOI,pooled,10,-0.07260847347410654,-0.06982564653627066,-0.10555688641802054,-0.04281722441090624,0.0
LIN-UOI,FULL-UOI,pooled,22,-0.07260847347410654,-0.06775397837523053,-0.10877904068786874,-0.035288203541710944,0.0
LIN-UOI,FULL-UOI,pooled,40,-0.07260847347410654,-0.06722982019701924,-0.11044824562040738,-0.028869098824319973,0.0
LIN-UOI,FULL-UOI,pooled,60,-0.07260847347410654,-0.06826718404770982,-0.11586423503777173,-0.034256596268664855,0.0
R1-LIN-DERIVED,LIN-UOI,sheet1_to_sheet2,10,0.004427947624028102,0.004284698838908154,-0.022543697977743943,0.03084684046260591,0.614
R1-LIN-DERIVED,LIN-UOI,sheet1_to_sheet2,22,0.004427947624028102,0.0012712774834521651,-0.03478595927278475,0.039188129335884975,0.531
R1-LIN-DERIVED,LIN-UOI,sheet1_to_sheet2,40,0.004427947624028102,-0.0009338816692515588,-0.03697574493919601,0.0449575743970014,0.488
R1-LIN-DERIVED,LIN-UOI,sheet1_to_sheet2,60,0.004427947624028102,-0.0003350389134532699,-0.040242765777806756,0.042265744286968714,0.492
R1-LIN-DERIVED,LIN-UOI,sheet2_to_sheet1,10,-0.0049367939462572,-0.00493105509143719,-0.0062955032904052025,-0.003766201668162521,0.0
