scenario,seed,variable,distribution,resolution_role,lag_basis_type,lag_basis_count,amplitude_basis_count,selected_lag_smoothing,selected_amplitude_smoothing,validation_contribution_mse,validation_contribution_r2,test_contribution_mse,test_contribution_r2,empirical_operator_nrmse,core_surface_nrmse,fit_surface_nrmse,e1b_projection_core_nrmse,estimator_to_projection_core_nrmse,kkt_relative_residual,design_condition_number,effective_rank,truth_rank_class,estimated_sigma1,estimated_sigma2,rank1_validation_mse,rank2_validation_mse,rank2_reducible_gap_capture,candidate_count,seed_gate_pass
AR-S1,4,0,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,1.122992382552554e-10,0.9999999977293188,1.0485022431147647e-10,0.9999999978779606,4.765166552732757e-05,4.7567564263069904e-05,0.6245875491781586,4.6143885169567833e-05,nan,4.381603119022241e-16,775.9197227113631,364.9325738127974,rank1,0.027791434449429005,9.17050976429306e-08,1.0649082696481309e-10,1.0722610112679308e-10,nan,25,True
AR-S1,4,1,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,2.1567050909740248e-10,0.9999999947852697,2.131984159456063e-10,0.9999999948254222,7.221308977956839e-05,8.589855887000616e-05,0.8945887867235368,7.165228360709964e-05,nan,4.643209733835951e-16,413.77619226813556,345.2708511635553,rank1,0.025436979475029542,3.6133989775163946e-08,2.125191229899468e-10,2.1317710496186388e-10,nan,25,True
AR-S1,4,2,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,1.4290019784850114e-10,0.9999999935950352,1.3212498525568743e-10,0.9999999941330129,8.003102420439314e-05,8.330262178335604e-05,0.5563371126974813,7.687817357165177e-05,nan,4.685747038580744e-16,895.4487393795641,359.1389604587454,rank1,0.018701994735300834,7.615944319696591e-08,1.362913836243534e-10,1.3691496157157615e-10,nan,25,True
AR-S2,0,0,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0001,4.8331353926722404e-08,0.999998814012859,4.811593096965862e-08,0.9999988231944,0.0010890303673899591,0.0010851766660146243,0.022889267820425465,0.0010839072454196547,nan,4.257768803299827e-16,6759.3935689298005,351.11190719391413,rank1,0.025225634595873483,6.836112712982126e-07,4.758203540065198e-08,4.7842073252439495e-08,nan,25,True
AR-S2,0,1,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,1e-05,8.120739808767291e-08,0.9999982989590379,7.788151449261364e-08,0.9999983788147202,0.0013042396106686671,0.0012626142128287002,0.17770109599913603,0.0012551015671772075,nan,1.0493441532276471e-15,21259.29805704825,322.88212698703296,rank1,0.02743646355885916,1.5747493774914021e-06,7.676611306412452e-08,7.86414611668729e-08,nan,25,True
AR-S2,0,2,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,7.562562631382835e-08,0.9999976480568569,7.486382041763334e-08,0.9999976900539987,0.0015336046241291581,0.0015179011872662757,0.6281983416422396,0.0015144122746239186,nan,3.666200249288633e-16,311414.7913022924,342.20914342790553,rank1,0.022495377326671576,7.894993765432952e-07,7.427769505565757e-08,7.449325307586072e-08,nan,25,True
AR-S2,1,0,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0001,4.812712787722921e-08,0.9999988138318294,4.81472746938481e-08,0.999998805667925,0.0010891134791806603,0.001086310104295653,0.026062106126937656,0.00108504514279729,nan,4.0143819265962877e-16,290550.1526057435,328.83450928591526,rank1,0.025160902039260025,4.372156615988419e-07,4.750958987863288e-08,4.7650189205344176e-08,nan,25,True
AR-S2,1,1,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,1e-05,7.330355023999871e-08,0.9999983239542217,7.041472493080459e-08,0.9999984181857856,0.0012946218668932656,0.0012639307104946713,0.16870682830228392,0.001255101567177184,nan,8.659921651487391e-16,832.5579970041651,334.0799404736974,rank1,0.026264791108817805,9.856912824458685e-07,7.057037606801676e-08,7.119276984721441e-08,nan,25,True
AR-S2,1,2,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,1e-05,7.565571187302238e-08,0.9999976219161834,7.282637822640938e-08,0.9999977510481981,0.0015421036983939746,0.0015225996667791852,0.9676914085174307,0.0015129671166727945,nan,3.4418111546421733e-16,1264.9848933176959,387.51742405460504,rank1,0.022336803366736324,1.0561902607323644e-06,7.299053870643155e-08,7.341130408452507e-08,nan,25,True
AR-S2,2,0,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0001,4.9187213222991344e-08,0.9999988058323666,4.864169716264207e-08,0.999998826912603,0.001092779773556591,0.0010854904349337949,0.01995092387462016,0.001084234379098315,nan,3.8982284785362063e-16,115075.42949605198,349.81958707554804,rank1,0.025394792225410943,5.930288696666078e-07,4.838407980396353e-08,4.860016081388249e-08,nan,25,True
