direction,seed,arm,candidate_fit_budget,selected_candidate,support_hash,rmse_delta,mae_delta,r2_delta,r2_level_reconstructed,persistence_skill,parameter_count,prediction_hash
Rod_2_to_Rod_1,2,UNIFORM_SCALE,6,U:h=240|a=10000,3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.1642520835464652,0.13923633698658966,0.014864730198579812,-1.2242862394988667,0.008896483738420446,31,936bbeba1d341d1d828231b8cc675ff560c7261974ca280c9b7769dcc3d959a4
Rod_2_to_Rod_1,2,CHANNEL_SPECIFIC_MULTISCALE,6,"M:h=480,240,480,240|a=10000",3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.1672631074985538,0.14268424443621447,-0.02158478342016701,-1.3065837209350462,-0.009272152920722032,31,09c5c7a18b0cd1f786c272eb6086a2b820f0afd0dc4e9d4aa7e1e966f65ce65a
Rod_2_to_Rod_1,3,UNIFORM_SCALE,6,U:h=240|a=10000,3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.1642520835464652,0.13923633698658966,0.014864730198579812,-1.2242862394988667,0.008896483738420446,31,936bbeba1d341d1d828231b8cc675ff560c7261974ca280c9b7769dcc3d959a4
Rod_2_to_Rod_1,3,CHANNEL_SPECIFIC_MULTISCALE,6,"M:h=240,240,240,480|a=10000",3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.16640736186410177,0.14137009467771605,-0.01115833118879106,-1.2830423708931313,-0.004108550188760551,31,4e14194a83375e5168e6f9895c34e0dddad47282ec44bef63f6881d33dc98168
Rod_2_to_Rod_1,4,UNIFORM_SCALE,6,U:h=240|a=10000,3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.1642520835464652,0.13923633698658966,0.014864730198579812,-1.2242862394988667,0.008896483738420446,31,936bbeba1d341d1d828231b8cc675ff560c7261974ca280c9b7769dcc3d959a4
Rod_2_to_Rod_1,4,CHANNEL_SPECIFIC_MULTISCALE,6,"M:h=480,240,240,240|a=10000",3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.1642600318704782,0.139392021954106,0.014769384512766326,-1.2245015156172419,0.008848523239487593,31,8e7a68992b4e388c3d33543d0e78e878833f1148fdd1420e58ad5d6224a9772e
Rod_2_to_Rod_1,5,UNIFORM_SCALE,6,U:h=240|a=10000,3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.1642520835464652,0.13923633698658966,0.014864730198579812,-1.2242862394988667,0.008896483738420446,31,936bbeba1d341d1d828231b8cc675ff560c7261974ca280c9b7769dcc3d959a4
Rod_2_to_Rod_1,5,CHANNEL_SPECIFIC_MULTISCALE,6,"M:h=480,240,480,240|a=10000",3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.1672631074985538,0.14268424443621447,-0.02158478342016701,-1.3065837209350462,-0.009272152920722032,31,09c5c7a18b0cd1f786c272eb6086a2b820f0afd0dc4e9d4aa7e1e966f65ce65a
Rod_2_to_Rod_1,6,UNIFORM_SCALE,6,U:h=240|a=10000,3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.1642520835464652,0.13923633698658966,0.014864730198579812,-1.2242862394988667,0.008896483738420446,31,936bbeba1d341d1d828231b8cc675ff560c7261974ca280c9b7769dcc3d959a4
Rod_2_to_Rod_1,6,CHANNEL_SPECIFIC_MULTISCALE,6,"M:h=240,480,480,480|a=10000",3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.1748453525282818,0.14664262692791788,-0.11630348203237029,-1.5204441971606526,-0.05502371690617647,31,16a40d400c61dca64189a26b84c62015b3c6c3a05fa268c5d1c650e5fa6814a1
Rod_2_to_Rod_1,7,UNIFORM_SCALE,6,U:h=240|a=10000,3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.1642520835464652,0.13923633698658966,0.014864730198579812,-1.2242862394988667,0.008896483738420446,31,936bbeba1d341d1d828231b8cc675ff560c7261974ca280c9b7769dcc3d959a4
Rod_2_to_Rod_1,7,CHANNEL_SPECIFIC_MULTISCALE,6,"M:h=240,960,240,480|a=10000",3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.17967149557528028,0.15049019883025833,-0.1787791866710815,-1.6615048762275157,-0.08414485339701705,31,120e0d441e785c53edf1e44f4f34b9733c684319bf9d6f5ce1d035b7fbae8429
Rod_2_to_Rod_1,8,UNIFORM_SCALE,6,U:h=240|a=10000,3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.1642520835464652,0.13923633698658966,0.014864730198579812,-1.2242862394988667,0.008896483738420446,31,936bbeba1d341d1d828231b8cc675ff560c7261974ca280c9b7769dcc3d959a4
Rod_2_to_Rod_1,8,CHANNEL_SPECIFIC_MULTISCALE,6,"M:h=240,960,240,480|a=10000",3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.17967149557528028,0.15049019883025833,-0.1787791866710815,-1.6615048762275157,-0.08414485339701705,31,120e0d441e785c53edf1e44f4f34b9733c684319bf9d6f5ce1d035b7fbae8429
Rod_2_to_Rod_1,9,UNIFORM_SCALE,6,U:h=240|a=10000,3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.1642520835464652,0.13923633698658966,0.014864730198579812,-1.2242862394988667,0.008896483738420446,31,936bbeba1d341d1d828231b8cc675ff560c7261974ca280c9b7769dcc3d959a4
Rod_2_to_Rod_1,9,CHANNEL_SPECIFIC_MULTISCALE,6,"M:h=240,240,240,960|a=10000",3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.16328350999296273,0.13863926594164425,0.026448907659396892,-1.198130921227483,0.014740894560537732,31,8d5dedcc467415fd1f501223b8212f4b3ede4ba30f24e24074068a15f0b09755
