scenario,seed,variable,lag_basis_count,amplitude_basis_count,lag_smoothness,amplitude_smoothness,train_contribution_rmse,train_contribution_r2,validation_contribution_rmse,validation_contribution_r2,test_contribution_rmse,test_contribution_r2,surface_nrmse,e1r_projection_nrmse,excess_surface_error,relative_kkt_residual,condition_number,full_validation_mse,rank1_validation_mse,rank2_validation_mse,eta1,eta2,eta3,capacity_pass
AR-S1,4,2,32,16,0.1,0.01,0.008056387620560532,0.9991541307237812,0.00895763669818473,0.9991129649559781,0.008706301506569682,0.9989750569157163,0.06771024622595155,0.0016011836477846074,0.06610906257816694,3.41170007571191e-16,6494792217.261103,8.023925521666585e-05,7.258233345661143e-05,7.450945480434414e-05,0.00017070031175140413,0.00010537969975288709,6.082118181873723e-05,False
AR-S2,0,0,32,16,0.0001,0.01,0.001345879531077219,0.9999816246651828,0.0014247223722876456,0.9999744569268787,0.0014287816908968457,0.9999815844813252,0.013508372671390522,0.01231762987401179,0.0011907427973787323,3.770686706896851e-16,6538780108.4520235,2.0298338380969367e-06,1.98059382656622e-06,2.0000777328867857e-06,6.288310532564698e-06,1.5748713455297207e-06,9.903871497961072e-07,True
AR-S2,1,0,32,16,0.0001,0.01,0.0013522468104171259,0.9999811315151519,0.001387233879604752,0.9999819234035646,0.0013981552061409794,0.9999800171987939,0.013701597151994337,0.012317622904476109,0.0013839742475182278,3.721695350744077e-16,6370588377.927403,1.9244178367232514e-06,1.856471545771795e-06,1.8854508971535909e-06,5.240413244254806e-06,1.219566419719813e-06,7.39435219330509e-07,True
AR-S2,2,0,32,16,0.0001,0.01,0.0012936608511303085,0.9999829882021625,0.001368504338292192,0.9999820334029943,0.001386026900032489,0.9999803047722013,0.013658738700310554,0.012317658001163677,0.0013410806991468772,4.0260091093743177e-16,6508389556.6964245,1.8728041239245503e-06,1.7943517848558382e-06,1.856631200210089e-06,5.211856079959204e-06,1.5584834274866957e-06,8.511824407083267e-07,True
AR-S2,3,0,32,16,0.0001,0.01,0.001285409324249052,0.9999847883938007,0.0013821729126387429,0.9999816110177695,0.0013454730134814684,0.9999853037214412,0.013609933642716282,0.012317627319773138,0.0012923063229431445,4.1470545753866963e-16,7002332450.075046,1.9104019604322658e-06,1.8105040868300883e-06,1.8938063397639022e-06,6.091985128700504e-06,1.73639312744352e-06,8.202247175237876e-07,True
AR-S2,4,0,32,16,0.0001,0.01,0.0013429908354859743,0.9999831039586325,0.0013863988309948333,0.9999808583945118,0.0014133727063233993,0.9999814143107909,0.013366772670121343,0.012317584027297022,0.001049188642824321,3.611103694020809e-16,7880444356.8820305,1.9221017185838406e-06,1.8277138550163931e-06,1.891562138664008e-06,4.518809307264162e-06,1.045873806081372e-06,6.201147129133356e-07,True
AR-S2,0,1,32,16,0.01,0.1,0.04718032813346032,0.977089442341155,0.05389972749921838,0.9621261449893481,0.04199462659951094,0.9817887482687542,0.18699699186597543,0.023084459524086973,0.16391253234188846,6.597008668863306e-16,6748583471.586951,0.002905180624489998,0.002704545969683929,0.002750488524342147,0.0031952312132049764,0.0015809755924108611,0.0008659541826680346,False
AR-S2,1,1,32,16,0.01,0.1,0.04135231203198898,0.9797859814442369,0.04114725505730849,0.9779334079122873,0.06199187355586505,0.9645880750705356,0.17409154090224907,0.023903932597537914,0.15018760830471115,6.589366312900907e-16,7581000909.685736,0.0016930965987511995,0.0016022643745589437,0.0016565003071403752,0.003748010366593328,0.0016917939469935205,0.0008160843136785183,False
AR-S2,2,1,32,16,0.01,0.1,0.03914307907026659,0.9839841379634418,0.050212032579641575,0.9740107755137399,0.039496719614216476,0.9864318052784329,0.15461887084269188,0.02102569409608489,0.13359317674660698,5.902774009935635e-16,7150232635.344008,0.002521248215778987,0.00244398936933956,0.002492112755887289,0.0018829500093325317,0.0009274226773607957,0.00065530071840755,False
AR-S2,3,1,32,16,0.01,0.1,0.03600560836391397,0.9811938063154285,0.07453119296342173,0.9427804375041193,0.03281268878596622,0.9873750397953379,0.15265712210521412,0.021501739881762842,0.13115538222345127,5.346653113090656e-16,6488644132.091769,0.005554898724550805,0.005428711648680022,0.005461353457693286,0.0019408103721293226,0.0008316116586800804,0.000530813782480363,False
AR-S2,4,1,32,16,0.01,0.1,0.04244645959477343,0.975370955576288,0.06595642269563022,0.96470892285057,0.06320553203580664,0.9502630632621073,0.16397576895191648,0.0204443286051911,0.14353144034672538,6.942384934703916e-16,7733465538.063279,0.004350249694804646,0.004275880347850811,0.004298596038657783,0.003188442117702969,0.0011982317105248266,0.0007608826561326062,False
